"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","yearIdentified","monthIdentified","individualCount","occurrenceRemarks","class","scientificNameAuthorship","identifiedBy","country","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","recordedBy","stateProvince","year","month","day","barcode","recordNumber","continentOcean","locality","imagecode","verbatimLongitude","verbatimLatitude","dayIdentified"
"1","2019-06-10 10:10:29-03","FZB-BH","CVJBFZB","3906","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","schileriana","Cattleya schileriana","2016","10","3","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2244","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","schilleriana","Cattleya schilleriana","2009",NA,NA,"254","Equisetopsida","Rchb.f.","Carlos A. Ferreira Jr.","Brasil","Domingos Martins","-40.6591987609863","-20.3633003234863","48150","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-07-05 11:14:16-03","FFCLRP","LBMBP","504","S","Plantae",NA,NA,"Orchidaceae","Cattleya","schilleriana","Cattleya schilleriana",NA,NA,NA,NA,NA,"Rchb.f.","E.R. Pansarin","Brasil",NA,NA,NA,NA,NA,"E.R. Pansarin","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-07-05 11:14:16-03","FFCLRP","LBMBP","356","S","Plantae",NA,NA,"Orchidaceae","Cattleya","schilleriana","Cattleya schilleriana",NA,NA,NA,NA,NA,"Rchb.f.","E.R. Pansarin","Brasil",NA,NA,NA,NA,NA,"E.R. Pansarin","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-07-05 11:14:16-03","FFCLRP","LBMBP","150","S","Plantae",NA,NA,"Orchidaceae","Cattleya","schilleriana","Cattleya schilleriana",NA,NA,NA,NA,NA,"Rchb.f.","E.R. Pansarin","Brasil",NA,NA,NA,NA,NA,"E.R. Pansarin","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-07-05 11:14:16-03","FFCLRP","LBMBP","152","S","Plantae",NA,NA,"Orchidaceae","Cattleya","schilleriana","Cattleya schilleriana",NA,NA,NA,NA,NA,"Rchb.f.","E.R. Pansarin","Brasil",NA,NA,NA,NA,NA,"E.R. Pansarin","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-07-05 11:14:16-03","FFCLRP","LBMBP","287","S","Plantae",NA,NA,"Orchidaceae","Cattleya","schilleriana","Cattleya schilleriana",NA,NA,NA,NA,NA,"Rchb.f.","E.R. Pansarin","Brasil",NA,NA,NA,NA,NA,"E.R. Pansarin","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-07-05 11:14:16-03","FFCLRP","LBMBP","495","S","Plantae",NA,NA,"Orchidaceae","Cattleya","schilleriana","Cattleya schilleriana",NA,NA,NA,NA,NA,"Rchb.f.","E.R. Pansarin","Brasil",NA,NA,NA,NA,NA,"E.R. Pansarin","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-07-05 11:14:16-03","FFCLRP","LBMBP","496","S","Plantae",NA,NA,"Orchidaceae","Cattleya","schilleriana","Cattleya schilleriana",NA,NA,NA,NA,NA,"Rchb.f.","E.R. Pansarin","Brasil",NA,NA,NA,NA,NA,"E.R. Pansarin","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-07-05 11:14:16-03","FFCLRP","LBMBP","498","S","Plantae",NA,NA,"Orchidaceae","Cattleya","schilleriana","Cattleya schilleriana",NA,NA,NA,NA,NA,"Rchb.f.","E.R. Pansarin","Brasil",NA,NA,NA,NA,NA,"E.R. Pansarin","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
