"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","day","continentOcean","locality","preparationType","barcode","imagecode","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","typeStatus","fieldNumber","sex"
"1","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","106","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","capixabae","Aechmea capixabae","L.B.Sm.","Elton. C. M. Leme","2011","08","Roberto Menescal; R. Bello; Roberto A. Kautsky","1987","01","Brasil","Espírito Santo","Santa Leopoldina","-40.5297012329102","-20.1005992889404","23799","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","36","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","capixabae","Aechmea capixabae","L.B.Sm.","Elton. C. M. Leme","2011","08","J. L. Moutinho;",NA,NA,"Brasil","Espírito Santo",NA,NA,NA,NA,"1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","8","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","capixabae","Aechmea capixabae","L.B.Sm.","Elton. C. M. Leme","2011","08","Roberto A. Kautsky;","1980",NA,"Brasil","Espírito Santo",NA,NA,NA,NA,"1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","376303","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","capixabae","Aechmea capixabae","L.B.Sm.","L. B. Smith",NA,NA,"R. P. Belém","1968","07","Brazil","Espírito Santo","Ibiraçu","-40.3694","-19.8319",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282016' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"3830","09","South America","Margem da Rodovia Colatina-Vitoria. 45 km leste de Colatina. Zona calcárea","sheet","NY00376303","NY00376303_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","376374","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","capixabae","Aechmea capixabae","L.B.Sm.","T. S. Coser",NA,NA,"H. Q. B. Fernandes","1986","05","Brazil","Espírito Santo","Santa Teresa","-40.6003","-19.9358",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=755981' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"1965","07","South America","25 de Julho, Alto do Juliao","sheet","NY00376374","NY00376374_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","376302","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Aechmea","capixabae","Aechmea capixabae","L.B.Sm.","L. B. Smith",NA,NA,"R. P. Belém","1968","07","Brazil","Espírito Santo","Ibiraçu","-40.3694","-19.8319",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282015' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"3830","09","South America","Margem da Rodovia Colatina-Vitoria. 45 km leste de Colatina. Zona calcárea","sheet","NY00376302","NY00376302_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:29:35-03","UFRJ","RFA","30912","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","capixabae","Aechmea capixabae","L.B.Sm.","T. Wendt; et al.","2002","09","A.P.G. de Faria; T. Wendt; G.K. Brown; D.M.C. Santos; L.F.G. Silva","2002","09","Brasil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813",NA,"Escapo e brácteas escapais esverdeadas, raquis e ramos alaranjados, ovário alaranjado, sépalas alaranjadas com um pequeno ápice roxo, pétalas azul escuro com lateral branca","auto","67","20",NA,"Estação Biológica de Santa Lúcia",NA,"RFA20431",NA,"26",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:25:26-03","MN","R","193469","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","capixabae","Aechmea capixabae","L.B. Sm.","Coser, T.S.","2010","10","Boone, W.","1988","06","Brasil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813",NA,NA,"auto","1199","24",NA,NA,NA,"R010000156","R010000156","25",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-01-14 15:25:26-03","MN","R","206998","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","capixabae","Aechmea capixabae","L.B. Sm.",NA,NA,NA,"Almeida, V.R. 50; Lobão, A.Q.; Costa, A.F.; Rodrigues, P. & Coser, T.S.","2005","04","Brasil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813",NA,NA,"auto",NA,"23",NA,"Reserva Biológica de Santa Lúcia",NA,"R010000161,R010000162","R010000161 R010000162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:25:26-03","MN","R","206996","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Aechmea","capixabae","Aechmea capixabae","L.B. Sm.","Almeida, V.R.","2005",NA,"Almeida, V.R. 48; Lobão, A.Q.; Costa, A.F.; Rodrigues, P. & Coser, T.S.","2005","04","Brasil","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813",NA,NA,"auto",NA,"23",NA,"Reserva Biológica de Santa Lúcia",NA,"R010000157,R010000158","R010000157 R010000158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
