"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","scientificNameAuthorship","continentOcean","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","imagecode","class","order","typeStatus","individualCount"
"1","2020-11-04 10:58:47-03","ESALQ","ESA","69570","PreservedSpecimen","Plantae","Magnoliophyta","Acanthaceae","Staurogyne","elegans","Staurogyne elegans","D. M. Biaz","2004","10","07","Foster, M.B. ; Mello Barreto","10834.0","1940","07","13","Brasil","Minas Gerais","Conceição do Mato Dentro","-43.4249992370605","-19.0372009277344","60318","ESA069570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-11 11:31:16-03","UFMG","BHCB","184406","PreservedSpecimen","Plantae","Dicotyledon","Acanthaceae","Staurogyne","elegans","Staurogyne elegans",NA,"2017","01","19","Mota, RC da; Vasconcelos, MF de","3763","2016","06","15","Brasil","Minas Gerais","Riacho dos Machados","-42.721944","-16.1125",NA,"BHCB039919",NA,"Kuntze","Southern America","Vale do Esmeril","-42.721944","-16.1125","745","745","Projeto desenvolvido pelo Instituto Prístino!; Subarbusto; flores amarelas.; Mata de Galeria.","BHCB039919",NA,NA,NA,NA
"3","2020-06-15 15:28:10-03","UNESP-RC","HRCB","34339","PreservedSpecimen","Plantae",NA,"Acanthaceae","Staurogyne","elegans","Staurogyne elegans","Braz, D.M.","2004","10","07","Campos, M.T.V. do A.","13756","1994","06","25","Brasil","Minas Gerais","Santana do Riacho","-43.7144012451172","-19.1688995361328","26557",NA,"auto","(Ness) Kuntze",NA,NA,NA,NA,NA,NA,"Erva 1,5m, cálice verde-amarelo-vivo",NA,NA,NA,NA,NA
"4","2020-06-15 15:28:10-03","UNESP-RC","HRCB","34340","PreservedSpecimen","Plantae",NA,"Acanthaceae","Staurogyne","elegans","Staurogyne elegans","Braz, D.M.","2004","12","18","Kameyama, C.","11542","1989","07","05","Brasil","Minas Gerais","Santana do Riacho","-43.7144012451172","-19.1688995361328","26557",NA,"auto","(Ness) Kuntze",NA,"Parque Nacional da Serra do Cipó",NA,NA,NA,NA,"Subarbusto semi-escandente ,ca. 1,4m alt., cálice viscoso verde-amarelo, no interior da mata à sombra",NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","98967","PreservedSpecimen","Plantae",NA,"Acanthaceae","Ebermaiera","elegans","Ebermaiera elegans",NA,NA,NA,NA,"J. B. E. Pohl","3151",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,"US01117708",NA,"Nees","South America - Neotropics",NA,NA,NA,NA,NA,"Fragmentary material of type specimen ex herb. W; protologue (mis?) cites as Pohl 5151. Sheet also mounted with photograph of Vauthier 182 in Delessert Herbarium (Vauthier 182 is cited under both E. vauthieranum Nees & E. elegans Nees).","US01117708_01","Dicotyledonae","Scrophulariales","Syntype","1"
"6","2019-11-13 11:14:04-03","USP","SPF","62672","PreservedSpecimen","Plantae",NA,"Acanthaceae","Staurogyne","elegans","Staurogyne elegans","Braz, DM","2004","10",NA,"Novelino, RF","CFSC11427","1989","04","16","Brasil","Minas Gerais","Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","SPF00062672","auto","(Nees) Kuntze",NA,"Serra do Cipó",NA,NA,NA,NA,NA,"SPF00062672",NA,NA,NA,NA
"7","2019-09-04 20:06:32-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Acanthaceae","Ebermaiera","elegans","Ebermaiera elegans",NA,NA,NA,NA,"A.-C. Vauthier","182",NA,NA,NA,"Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"Syntype",NA
"8","2019-01-23 10:05:23-02","F","FMNH-SEEDPLANTS","V0047348F","PreservedSpecimen","Plantae","Spermatophyta","Acanthaceae","Ebermaiera","elegans","Ebermaiera elegans",NA,NA,NA,NA,"J. B. E. Pohl",NA,NA,NA,NA,"Brazil",NA,NA,"-52.8731","-10.8339",NA,"V0047348F",NA,NA,"South America",NA,NA,NA,NA,NA,NA,"V0047348F_01","Dicotyledoneae",NA,"Isosyntype",NA
"9","2015-03-13 19:08:12-03","F","FMNH-SEEDPLANTS","V0251408F","PreservedSpecimen","Plantae","Spermatophyta","Acanthaceae","Staurogyne","elegans","Staurogyne elegans",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peru",NA,NA,"-74.14","-9.1839",NA,"V0251408F",NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"10","2017-09-11 16:26:09-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Acanthaceae","Ebermaiera","elegans","Ebermaiera elegans",NA,NA,NA,NA,"Riedel, L","s.n.",NA,NA,NA,"Brazil","Minas Gerais","Mariana","-43.42","-20.38",NA,NA,NA,"Nees","Southern America","Pico do Italacomi. In sylvis montis Itacolumi","-43.42","-20.38",NA,NA,NA,NA,NA,NA,NA,NA
"11","2017-09-11 16:26:09-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Acanthaceae","Ebermaiera","elegans","Ebermaiera elegans",NA,NA,NA,NA,"Vauthier, AC","s.n.",NA,NA,NA,"Brazil","Minas Gerais","Ouro Preto","-43.51","-20.29",NA,NA,NA,"Nees","Southern America","ad Villam Ricam","-43.51","-20.29",NA,NA,NA,NA,NA,NA,NA,NA
"12","2017-09-11 17:06:35-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Acanthaceae","Ebermaiera","elegans","Ebermaiera elegans",NA,NA,NA,NA,"Pohl, JBE","s.n.",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"Nees","Southern America","In prov. Minarum, ad Vieira do Mato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
