"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","stateProvince","locality","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","414752","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Brachystele","camporum","Brachystele camporum","(Lindl.) Schltr.","P. Jorgensen","3945","South America","Paraguay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708569' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414752","NY00414752_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","414753","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Brachystele","camporum","Brachystele camporum","(Lindl.) Schltr.","T. M. Pedersen","9324","South America","Paraguay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708566' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414753","NY00414753_01","T. M. Pedersen","1969","11","16","Central","Near Villeta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","414751","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Brachystele","camporum","Brachystele camporum","(Lindl.) Schltr.","E. Hassler","6332","South America","Paraguay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708570' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414751","NY00414751_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","414748","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Brachystele","camporum","Brachystele camporum","(Lindl.) Schltr.","R. A. Wasum","12238","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708567' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414748",NA,"S. F. Smith","1997","12","12","Rio Grande do Sul","Minas de Camaqua","Caçapava do Sul","-53.4914","-30.5122","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","414749","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Brachystele","camporum","Brachystele camporum","(Lindl.) Schltr.","G. G. Hatschbach","23109","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=708565' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414749","NY00414749_01","G. F. J. Pabst","1969","12","04","Paraná","Lagoa Sêca","Guarapuava","-51.925602","-25.447968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:20:27-03","UFRJ","RFA","9382","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Brachystele","camporum","Brachystele camporum","(Lindl.) Schltr.","G.G. Hatschbach; P. Ravenna","23109",NA,"Brasil",NA,"Flor alvecente","RFA31543",NA,"G.F.J. Pabst","1969","12","04","Paraná","Lagoa Seca","Guarapuava","-51.4580993652344","-25.395299911499",NA,NA,"1970","53832","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-08 17:45:20-03","EAO","IAN","22904","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Orchidaceae","Spiranthes","camporum","Spiranthes camporum","Lindl.","Larentz","1128","Southern America","Uruguai",NA,NA,"IAN022904","IAN022904_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:46:01-03","NBC","NL-BOTANY","L 0836042","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Brachystele","camporum","Brachystele camporum","(Lindl.) Schltr.","Pedersen TM",NA,"Southern America","Paraguay",NA,"Rather low ground.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200836042 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0836042",NA,NA,"1969","11","16","Central",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:46:01-03","NBC","NL-BOTANY","U.1457842","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Brachystele","camporum","Brachystele camporum","(Lindl.) Schltr.","Herter WGF",NA,"Southern America","Uruguay",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1457842 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1457842","NL-U1457842",NA,"1937","01","01",NA,"Dep. de Candones, Floresta.",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:46:55-03","NBC","NL-BOTANY","L.1533465","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Spiranthes","camporum","Spiranthes camporum","Lindl.","Herter",NA,"Southern America","Uruguay",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1533465 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1533465","NL-L1533465",NA,"1929","09","01",NA,"Inv. & Montevideo.",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
