"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","yearIdentified","decimalLongitude","decimalLatitude","coordinatePrecision","imagecode","geoFlag","scientificNameAuthorship","monthIdentified","dayIdentified","typeStatus","verbatimLongitude","verbatimLatitude","continentOcean","class","order"
"1","2020-11-04 10:59:43-03","ESALQ","ESA","121960","PreservedSpecimen","Plantae","Magnoliophyta","Apocynaceae","Ditassa","leonii","Ditassa leonii","Matozinhos, C.N.","Kuntz, J.","851.0","2013","01","01","Brasil","Espírito Santo","Pedra Menina","Estrada para Macieira. Parque Nacional do Caparaó.","2209","2209","Subarbusto ca. 40 cm alt., flores creme, látex branco.","ESA121960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 10:59:43-03","ESALQ","ESA","64543","PreservedSpecimen","Plantae","Magnoliophyta","Apocynaceae","Ditassa","leonii","Ditassa leonii","Rapini, A.","Souza, V.C.; Souza, J.P.; Forster, W.; Mazine, F.F.","23387.0","2000","02","18","Brasil","Espírito Santo","Iúna","Parque Nacional do Caparaó. Entre o Terreirão e Arrozal. Campo de altitude",NA,NA,"Subarbusto prostrado; flores alvas","ESA064543","2008","-41.5358009338379","-20.3458003997803","32198","ESA064543","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:20:56-03","MN","R","231978","PreservedSpecimen","Plantae",NA,"Apocynaceae","Ditassa","leonii","Ditassa leonii","Matozinhos, C.N.","Kuntz, J. 851; Colleta, G.D.",NA,"2013","01","13","Brasil","Espírito Santo","Pedra Menina","Estrada para Macieira. Parque Nacional do Caparaó",NA,NA,NA,"R010032000","2014",NA,NA,NA,NA,NA,"Fontella & T.U.P. Konno","04",NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:20:56-03","MN","R","111114","PreservedSpecimen","Plantae",NA,"Apocynaceae","Ditassa","leonii","Ditassa leonii","Rapini, A.","Mello Barreto, H.L.","982","1933","04","13","Brasil","Minas Gerais","São Bento Abade",NA,NA,NA,NA,NA,"2010","-45.0758018493652","-21.5816993713379","9325",NA,"auto","Fontella & T.U.P. Konno",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:20:56-03","MN","R","231979","PreservedSpecimen","Plantae",NA,"Apocynaceae","Ditassa","leonii","Ditassa leonii","Matozinhos, C.N.","Kuntz, J. 604; Rigon, J.,Flores, T.B. & Campos, O.R.",NA,"2012","03","22","Brasil","Espírito Santo","Dores do Rio Preto","Subida para Macieira. Parque Nacional do Caparaó",NA,NA,NA,"R010032001","2014","-41.8452987670898","-20.6888999938965","23972",NA,"auto","Fontella & T.U.P. Konno","04",NA,NA,NA,NA,NA,NA,NA
"6","2015-07-02 14:00:20-03","JBP","HPL","5151","S","Plantae",NA,"Apocynaceae","Ditassa","leoni","Ditassa leoni","R. Tsuji","H. Lorenzi","5509","2005","08","24","Brasil","MG","Alto Caparaó","Coletada na estrada que da acesso ao Parque pelo estado de ES, em área de campo de altitude, pouco comum.",NA,NA,NA,NA,"2005","-41.8683","-20.4333","21645",NA,"auto",NA,"08","24",NA,NA,NA,NA,NA,NA
"7","2020-12-20 21:15:34-03","UFV","VIC","20779","PreservedSpecimen","Plantae",NA,"Asclepiadaceae","Ditassa","leonii","Ditassa leonii",NA,"Valente, G.E.; et al.","1440","2004","03","10","Brasil","Minas Gerais","Araponga","Parque Estadual Serra do Brigadeiro (PESB), Serra das 3 Cabeças, Totem Deitado. Altitude de 1722 metros. Afloramento Rochoso Granitóide.",NA,NA,"Planta latescente com cerca de 50 cm de altura, crescendo em solo raso. Inflorescência axilar umbeliflora com flores variando de brancas a creme-amareladas.","VIC020779",NA,"-42.5208015441895","-20.6667003631592","16385","VIC020779","auto","Fontella & T.U.P. Konno",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-20 21:15:34-03","UFV","VIC","2541","PreservedSpecimen","Plantae",NA,"Asclepiadaceae","Ditassa","leonii","Ditassa leonii","Konno, T.","Kuhlmann, J.G.","132","1935","04","19","Brasil","Minas Gerais","Carangola","Alto da Serra da Grama, Campo ácido.",NA,NA,"Arbusto ereto; flor alva.","VIC002541","2002","-42.0293998718262","-20.7331008911133","21913","VIC002541","auto","Fontella & T.U.P. Konno","10",NA,NA,NA,NA,NA,NA,NA
"9","2020-12-20 21:15:34-03","UFV","VIC","25398","PreservedSpecimen","Plantae",NA,"Asclepiadaceae","Ditassa","leonii","Ditassa leonii","Konno, T.","Valente, G.E.; et al.","617","2001","02","14","Brasil","Minas Gerais","Araponga","Parque Estadual Serra do Brigadeiro (PESB), Serra das Cabeças; Platô da Serra. Afloramento de rocha granitóide.",NA,NA,"Subarbusto, c.a. de 1,0 metro de altura, portando flores com pétalas creme. Crescendo em mancha de solo.","VIC025398","2002","-42.475278","-20.702778",NA,"VIC025398",NA,"Fontella & T.U.P. Konno","10",NA,"Parátipo","-42.475278","-20.702778",NA,NA,NA
"10","2020-12-20 21:15:34-03","UFV","VIC","25492","PreservedSpecimen","Plantae",NA,"Asclepiadaceae","Ditassa","leonii","Ditassa leonii","Konno, T.","Tostes, R.B.","s.n.","2000","11","13","Brasil","Minas Gerais","Ibitipoca","Parque Florestal da Serra de Ibitipoca, Coletada na Janela do Céu.",NA,NA,"Erva rasteira, sobre pedra. Flor branca.","VIC025492","2002",NA,NA,NA,"VIC025492",NA,"Fontella & T.U.P. Konno","10",NA,NA,NA,NA,NA,NA,NA
"11","2020-12-20 21:15:34-03","UFV","VIC","5411","PreservedSpecimen","Plantae",NA,"Asclepiadaceae","Ditassa","leonii","Ditassa leonii","Konno, T.","Coons, M.P.; et al.","278","1977","02","24","Brasil","Minas Gerais",NA,"Parque Florestal da Serra de Ibitipoca, No campos altos; altitude de 1700 metros.",NA,NA,"Cipó pequeno prostrado. Flores alvas, com frutos submaduros.","VIC005411","2002",NA,NA,NA,"VIC005411",NA,"Fontella & T.U.P. Konno","10",NA,NA,NA,NA,NA,NA,NA
"12","2020-12-20 21:15:34-03","UFV","VIC","037909","PreservedSpecimen","Plantae",NA,"Asclepiadaceae","Ditassa","leonii","Ditassa leonii",NA,"Tinti, B.V.","s.n.","2010","04","23","Brasil","Minas Gerais","Fervedouro","Parque Estadual da Serra do Brigadeiro, Pedra do pato.",NA,NA,"Liana de campo graminoso.","VIC037909",NA,"-42.2789001464844","-20.7255992889404","20038","VIC037909","auto","Fontella & T.U.P. Konno",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-11-21 14:30:21-03","UFJF","CESJ","22366","PreservedSpecimen","Plantae","Angiosperma","Apocynaceae","Ditassa","leonii","Ditassa leonii",NA,"R.F. Novelino","s.n.","1988","03","20","Brasil","Minas Gerais",NA,"Serra do Caparaó",NA,NA,"Subarbusto, sobre rochas.","CESJ022366",NA,NA,NA,NA,"CESJ022366",NA,"Fontella & Konno",NA,NA,NA,NA,NA,"América do Sul",NA,NA
"14","2021-03-01 16:21:49-03","UNICAMP","UEC","180447","S","Plantae","Magnoliopsida","Apocynaceae","Ditassa","leonii","Ditassa leonii","Leoni, BS","Shimizu, GH; Monge, M; Leoni, BS; Ribeiro, IA","540","2011","08","13","Brazil","Minas Gerais","Espera Feliz","Parque Nacional do Caparaó, Lajedo, caminho para o Terreirão",NA,NA,"Subarbusto decumbente, frutos imaturos verdes a vináceos, látex branco.; Entre rochas","UEC086766","2011","-41.9071998596191","-20.6502990722656","21988","UEC086766","auto","Fontella & T.U.P.Konno","08",NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:12:28-03","MBM","MBM","270307","PreservedSpecimen","Plantae",NA,"Apocynaceae","Ditassa","leonii","Ditassa leonii","Rapini, A.","Lombardi, J.A.; et al.; et al.","4727","2002","04","23","Brazil","Minas Gerais","São Gonçalo do Rio Abaixo","Estação Ambiental de Peti -CEMIG",NA,NA,"Afloramento rochoso. Liana, com látex, folhas papiráceas, acinzentadas na face adaxial, flores brancas com odor suave.","MBM270307","2009","-43.3622016906738","-19.826099395752","17525","MBM270307","auto","Fontella & T.U.P. Konno","01",NA,NA,NA,NA,"Southern America",NA,NA
"16","2020-12-11 11:31:45-03","UFMG","BHCB","69878","PreservedSpecimen","Plantae","Dicotyledon","Apocynaceae","Ditassa","leonii","Ditassa leonii",NA,"Lombardi, JA; Salino, A; Stehmann, JR; Mota, RC da; Viana, PL","4727","2002","04","23","Brasil","Minas Gerais","São Gonçalo do Rio Abaixo","Estação Ambiental de Peti - CEMIG, Mirante do Cruzeiro.","810","810","Liana, com látex, folhas papiráceas, acinzentadas na face adaxial, flores brancas com odor suave.; Afloramento rochoso.",NA,NA,"-43.3622016906738","-19.826099395752","17525",NA,"auto","Fontella",NA,NA,NA,NA,NA,"Southern America",NA,NA
"17","2021-01-15 17:51:35-03","UFMG","BHCB","83682","PreservedSpecimen","Plantae","Dicotyledon","Apocynaceae","Ditassa","leonii","Ditassa leonii",NA,"Barreto, HLM","982","1933","04","13","Brasil","Minas Gerais","Santa Bárbara","São Bento.",NA,NA,"Muito frequente.; Arbusto 0,5m.; Sujo.",NA,"2005","-43.4152984619141","-19.959400177002","33136",NA,"auto","Fontella","08",NA,NA,NA,NA,"Southern America",NA,NA
"18","2016-02-18 05:27:00-02","MO","MOBOT","2836365","PreservedSpecimen","Plantae",NA,"Apocynaceae","Ditassa","leonii","Ditassa leonii",NA,"Lúcio de Souza Leoni","Leoni 4089","1999","1","9","Brazil","Minas Gerais",NA,"Alto Caparaó, Parque Nacional, Arrozal","2300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fontella & T.U.P. Konno",NA,NA,"Holotype",NA,NA,"South America",NA,NA
"19","2008-05-27 22:02:00-03","MO","MOBOT","2836374","PreservedSpecimen","Plantae",NA,"Apocynaceae","Ditassa","leonii","Ditassa leonii","J. Fontella P.","* VALENTE","VALENTE 617","2001","2","14","Brazil","Minas Gerais",NA,"Araponga, Parque Estadal da Serra do Brigadeiro, Serra das Cabeças, Platô da Serra","1723.00000000",NA,NA,NA,NA,"-42.47527","-20.46944",NA,NA,NA,"Fontella & T.U.P. Konno",NA,NA,NA,NA,NA,"South America",NA,NA
