"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","typeStatus","dayIdentified","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1033226","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","minarum","Pfaffia minarum","Pedersen","M. S. Marchioretto","H. S. Irwin","13623","1966","03","06","South America","Brazil","Goiás","Cristalina","Serra dos Cristais, ca. 15 km W. of Cristalina","-47.7405556","-16.75","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1216490' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033226","NY01033226_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 10:59:01-03","ESALQ","ESA","39498","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Amaranthaceae","Pfaffia","minarum","Pfaffia minarum","Pedersen","M.S.Marchioretto","Souza, V.C.; Souza, J.P.; Capellari Jr., L.; Scalon, V.R.","11768.0","1996","07","05",NA,"Brasil","Minas Gerais","Conceição do Mato Dentro","Estrada Santana do Riacho-Serro, km 155. Próximo à ponte do rio Santo Antônio","-43.4249992370605","-19.0372009277344",NA,NA,NA,"Subarbusto, ca. 30 cm alt.; flores creme.","ESA039498",NA,"60318","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:28:34-03","IAP","PACA-AGP","118198","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","minarum","Pfaffia minarum","Pedersen","Marchioretto, M.S.","Melo, P.H.A.","6560","2017","04","04",NA,"Brasil","MG","Matozinhos","haras veredas, proximo ao povoado de são bento","-44.034889","-19.42675","663","663",NA,"formação aberta do corste e floresta estacional decidual. Envolto por lagoa, floresta estacional decidual, pastagens e áreas agrícolas&nf;hrcb 72425 Habitat: morro com afloramentos de calcario em paredes grnades fendas e cmapos de lapiá","PACA118198",NA,NA,NA,"Magnoliatae","2018","08","-44º02'05.6w","-19º25'36.3s",NA,NA,NA
"4","2019-08-27 13:28:34-03","IAP","PACA-AGP","118163","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","minarum","Pfaffia minarum","Pedersen","Marchioretto, M.S.","Pastore, J.F.B.","532","2003","04","20",NA,"Brasil","GO","Cavalcante","trilha para a ponte de pedra","-47.4583015441895","-13.7974996566772",NA,NA,NA,"inflorescencia branca Habitat: campo","PACA118163",NA,"92497","auto","Magnoliatae","2018","07",NA,NA,NA,NA,NA
"5","2019-08-27 13:28:34-03","IAP","PACA-AGP","102855","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","minarum","Pfaffia minarum","Pedersen","M.S. Marchioretto","A.M. Giulietti","s/n","1981","08","29",NA,"Brasil","MG","Gouveia","Fazenda Contagem, 13Km direita no Km 65 da rod. Curvelo-Diamantina","-43.7407989501953","-18.4543991088867",NA,NA,NA,"Herbário CFSC número: 1754 e SPF número: 21508&nf;Flores alvas Hábito: subarbusto","PACA102855",NA,"37970","auto","Magnoliatae","2004","08",NA,NA,NA,NA,NA
"6","2019-08-27 13:28:34-03","IAP","PACA-AGP","102854","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia","minarum","Pfaffia minarum","Pedersen","M.S. Marchioretto","L. Rossi","s/n","1981","04","19",NA,"Brasil","MG","Santana do Riacho","km 146 ao longo da rodovia Belo Horizonte-Conceição do Mato Dentro","-43.7144012451172","-19.1688995361328",NA,NA,NA,"Herbário CFSC número: 7263 e SPF número: 19953&nf;Flores creme;&nf;ramos jovens rosados Habitat: beira do rio santo Antônio, entre rochas Hábito: subarbusto prostado","PACA102854",NA,"26557","auto","Magnoliatae","2004","09",NA,NA,NA,NA,NA
"7","2020-12-21 16:11:29-03","MBM","MBM","21222","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Pfaffia","minarum","Pfaffia minarum","Pedersen","Marchioreto, M.S.","Hatschbach, G.; Smith, L.B.; Ayensu, E.; Smith, L.B.; Ayensu, E.","28884","1972","01","18","Southern America","Brazil","Minas Gerais","Conceição do Mato Dentro","Rio Santo Antônio","-43.4249992370605","-19.0372009277344",NA,NA,NA,"Subarbusto 1m, flor creme.; Afloramentos rochosos junto ao rio.","MBM021222","MBM021222","60318","auto",NA,"2004","07",NA,NA,"PARATYPE",NA,NA
"8","2020-12-11 11:31:24-03","UFMG","BHCB","186760","PreservedSpecimen","Plantae","Dicotyledon",NA,"Amaranthaceae","Pfaffia","minarum","Pfaffia minarum","Pedersen",NA,"Rocha, MJR; Giorni, VT","1263","2017","02","08","Southern America","Brasil","Minas Gerais","Itambé do Mato Dentro",NA,"-43.271667","-19.4175",NA,NA,NA,"Folhas abaxialmente alvas, inflorescência creme; Campo rupestre.","BHCB186760","BHCB186760",NA,NA,NA,"2017","02","-43.271667","-19.4175",NA,"14",NA
"9","2020-12-11 11:31:24-03","UFMG","BHCB","186811","PreservedSpecimen","Plantae","Dicotyledon",NA,"Amaranthaceae","Pfaffia","minarum","Pfaffia minarum","Pedersen",NA,"Rocha, MJR; Oliveira, CT","1339","2017","01","24","Southern America","Brasil","Minas Gerais","Itambé do Mato Dentro",NA,"-43.271667","-19.4175",NA,NA,NA,"Folhas abaxialmente alvas, inflorescência creme.","BHCB186811","BHCB186811",NA,NA,NA,"2017","02","-43.271667","-19.4175",NA,"14",NA
"10","2020-12-11 11:31:24-03","UFMG","BHCB","60643","PreservedSpecimen","Plantae","Dicotyledon",NA,"Amaranthaceae","Pfaffia","minarum","Pfaffia minarum","Pedersen",NA,"Souza, VC de; Souza, JP; Capellari Jr, L; Scalon, VR","11768","1996","07","05","Southern America","Brasil","Minas Gerais","Conceição do Mato Dentro","Estrada Santana do Riacho - Serro, km 155. Próximo à ponte do rio Santo Antônio.","-43.4249992370605","-19.0372009277344",NA,NA,NA,"Subarbusto, ca. 30cm alt., flores creme.","BHCB055049","BHCB055049","60318","auto",NA,"2004","07",NA,NA,NA,NA,NA
"11","2020-12-11 11:31:24-03","UFMG","BHCB","86148","PreservedSpecimen","Plantae","Dicotyledon",NA,"Amaranthaceae","Pfaffia","minarum","Pfaffia minarum","Pedersen",NA,"Mota, RC da","2201","2003","05","31","Southern America","Brasil","Minas Gerais","Conceição do Mato Dentro","Parque Natural Municipal do Ribeirão do Campo, Próximo de rio na parte de baixo da Cachoeira de Tabuleiro.","-43.4249992370605","-19.0372009277344",NA,NA,NA,"Erva, inflorescência branca.; Barranco.","BHCB055047","BHCB055047 BHCB055047_1","60318","auto",NA,"2007","03",NA,NA,NA,NA,NA
"12","2020-12-11 11:31:24-03","UFMG","BHCB","48296","PreservedSpecimen","Plantae","Dicotyledon",NA,"Amaranthaceae","Pfaffia","minarum","Pfaffia minarum","Pedersen",NA,"Hatschbach, G; Smith, LB; Ayensu, E","28884","1972","01","18","Southern America","Brasil","Minas Gerais","Conceição do Mato Dentro","Santo Antônio.","-43.4249992370605","-19.0372009277344",NA,NA,NA,"Arbusto, 1m, flor creme.; Afloramentos rochosos junto ao rio.","BHCB055048","BHCB055048","60318","auto",NA,"2004","07",NA,NA,"Paratypus",NA,NA
"13","2020-09-12 05:00:02-03","US","US","2818761","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Pfaffia","minarum","Pfaffia minarum","Pedersen",NA,"H. S. Irwin, J. W. Grear, R. Souza & R. G. P. Santos","13623","1966","3","6","South America - Neotropics","Brazil","Goiás",NA,"Campo ca. 15 Km W of Cristalina",NA,NA,NA,NA,NA,NA,"US01332937","US01332937_01",NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,"1"
