"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","class","order","coordinatePrecision","geoFlag","continentOcean","preparationType","infraspecificEpithet","relatedCatalogItem","relationshipType","individualCount","fieldNumber","previousCatalogNumber"
"1","2021-04-05 14:33:50-03","UNESC","CRI","3438","PreservedSpecimen","Plantae","Orchidaceae","Hadrolaelia","coccinea","Hadrolaelia coccinea","(Lindl.) Chiron & V.P.Castro","Marcos Sobral","1995","01","02","Robson dos Santos; Clair Maria Martinello","151","1992","11","12","Brasil","Rio Grande do Sul","Cambará do Sul","Interior do Canion do Itaimbezinho.","-50.144167","-29.047778","50º8'39''W","29º2'52''S","1019","1019","Habitat: mata atlântica Habito: epífita","CRI005979","CRI005979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:50-03","UNESC","CRI","5391","PreservedSpecimen","Plantae","Orchidaceae","Hadrolaelia","coccinea","Hadrolaelia coccinea","(Lindl.) Chiron & V.P.Castro","J. L. Waechter","1996","11","23","Terezinha Silva",NA,"1996","10","05","Brasil","Santa Catarina","Maracajá",NA,"-49.453056","-28.847222","49º27'11''W","28º50'50''S","12","12",NA,"CRI005982","CRI005982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2800","S","Plantae","Orchidaceae","Sophronitis","coccinea","Sophronitis coccinea","Rchb. f.","Carlos A. Ferreira Jr.","2013","09","10","Carlos Alberto F. Jr. ; Juliana Ordones, Clemens e Reisla","CAF1208","2013","09","09","Brasil","Minas Gerais","Catas Altas","Pico do Inficcionados, Serra do Caraça","-43.4075012207031","-20.0746994018555","20º 08' 08S","43º 27' 23W","1947","1947","254",NA,NA,"Magnoliophyta","Equisetopsida","Asparagales","11966","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2799","S","Plantae","Orchidaceae","Sophronitis","coccinea","Sophronitis coccinea","Rchb. f.","Carlos A. Ferreira Jr.","2013","09","10","Carlos Alberto F. Jr. ; Juliana Ordones, Clemens e Reisla","CAF1208","2013","09","09","Brasil","Minas Gerais","Catas Altas","Pico do Inficcionados, Serra do Caraça","-43.4075012207031","-20.0746994018555","20º 08' 08S","43º 27' 23W","1947","1947","254",NA,NA,"Magnoliophyta","Equisetopsida","Asparagales","11966","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","625735","PreservedSpecimen","Plantae","Orchidaceae","Sophronitis","coccinea","Sophronitis coccinea","(Lindl.) Rchb.f.","G. F. J. Pabst",NA,NA,NA,"L. B. Smith","7718","1956","11","17","Brazil","Santa Catarina","Bom Retiro","Fazenda Campo dos Padres, Campo dos Padres.","-49.4892","-27.7972",NA,NA,"1650","1650","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=771133' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625735","NY00625735_01","Magnoliophyta",NA,"Asparagales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","625731","PreservedSpecimen","Plantae","Orchidaceae","Sophronitis","coccinea","Sophronitis coccinea mantiqueirae","Fowlie","G. F. J. Pabst",NA,NA,NA,"R. Reitz","13.502","1962","10","25","Brazil","Santa Catarina","Santa Cecília","Campo Alto.","-50.4267","-26.9608",NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=261941' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625731","NY00625731_01","Magnoliophyta",NA,"Asparagales",NA,NA,"South America","sheet","mantiqueirae",NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","625737","PreservedSpecimen","Plantae","Orchidaceae","Sophronitis","coccinea","Sophronitis coccinea","(Lindl.) Rchb.f.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","24668","1970","09","03","Brazil","Paraná","Piraquara","Serra do Emboque.","-49.0631","-25.4419",NA,NA,"1100","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=771136' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625737","NY00625737_01","Magnoliophyta",NA,"Asparagales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","625734","PreservedSpecimen","Plantae","Orchidaceae","Sophronitis","coccinea","Sophronitis coccinea","(Lindl.) Rchb.f.",NA,NA,NA,NA,"G. F. J. Pabst","6453","1961","10","24","Brazil","Rio Grande do Sul","Aparados da Serra",NA,NA,NA,NA,NA,"1300","1300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=771138' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625734","NY00625734_01","Magnoliophyta",NA,"Asparagales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","625728","PreservedSpecimen","Plantae","Orchidaceae","Sophronitis","coccinea","Sophronitis coccinea","(Lindl.) Rchb.f.","F. C. Hoehne",NA,NA,NA,"F. C. Hoehne","742","1917","10","20","Brazil","São Paulo",NA,"Alto da Serra.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=771134' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625728","NY00625728_01","Magnoliophyta",NA,"Asparagales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","625738","PreservedSpecimen","Plantae","Orchidaceae","Sophronitis","coccinea","Sophronitis coccinea","(Lindl.) Rchb.f.","L. B. Smith; S. F. Smith",NA,NA,NA,"G. G. Hatschbach","14565","1966","08","04","Brazil","Paraná","Quatro Barras","Encosta Morro Mae Catira.","-48.901883","-25.349613",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=771129' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625738","NY00625738_01","Magnoliophyta",NA,"Asparagales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","625736","PreservedSpecimen","Plantae","Orchidaceae","Sophronitis","coccinea","Sophronitis coccinea","(Lindl.) Rchb.f.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","24668","1970","09","03","Brazil","Paraná","Piraquara","Serra do Emboque.","-49.0631","-25.4419",NA,NA,"1100","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=771135' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625736","NY00625736_01","Magnoliophyta",NA,"Asparagales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","625733","PreservedSpecimen","Plantae","Orchidaceae","Sophronitis","coccinea","Sophronitis coccinea","(Lindl.) Rchb.f.","G. F. J. Pabst",NA,NA,NA,"F. Dungs","s.n.","1964","05",NA,"Brazil","Rio de Janeiro","Nova Friburgo","Alto Nacaé, pr. Murí.","-42.5308","-22.2819",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=771130' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625733","NY00625733_01","Magnoliophyta",NA,"Asparagales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","625729","PreservedSpecimen","Plantae","Orchidaceae","Sophronitis","coccinea","Sophronitis coccinea","(Lindl.) Rchb.f.","F. W. L. Kraenzlin",NA,NA,NA,"R. Lange","8535","1909","08","03","Brazil","Paraná",NA,"Serra do Mar, Monte Alegre.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=771131' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625729","NY00625729_01","Magnoliophyta",NA,"Asparagales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","625730","PreservedSpecimen","Plantae","Orchidaceae","Sophronitis","coccinea","Sophronitis coccinea","(Lindl.) Rchb.f.","G. F. J. Pabst",NA,NA,NA,"L. B. Smith","14236","1965","01","03","Brazil","Santa Catarina","Sao Joaquim","Base of Morro da Igreja.","-49.47","-28.12",NA,NA,"1400","1400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=771132' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625730","NY00625730_01","Magnoliophyta",NA,"Asparagales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","625732","PreservedSpecimen","Plantae","Orchidaceae","Sophronitis","coccinea","Sophronitis coccinea","(Lindl.) Rchb.f.",NA,NA,NA,NA,"G. F. J. Pabst","s.n.","1946","01","25","Brazil","São Paulo",NA,"Campos do Jordao.","-45.540301","-22.687374",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=771137' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625732","NY00625732_01","Magnoliophyta",NA,"Asparagales",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA
"16","2019-12-12 15:31:47-03","UFABC","HUFABC","000067","PreservedSpecimen","Plantae","Orchidaceae","Hadrolaelia","coccinea","Hadrolaelia coccinea","(Lindl.) Chiron & V.P.Castro",NA,NA,NA,NA,"Guidini, C; Escames, FR","1","2014","08","07","Brasil","São Paulo","Biritiba Mirim","Pedra do Garrafão, Interior da floresta, localizada na sombra, no tronco de uma árvore.",NA,NA,NA,NA,NA,NA,"Erva, herbaceae, corola e cálice parecidos (Tépala) e de cor vermelha com tons de amarelo, pétala interior com mais distintas das outras e com mais tons de amarelo, sem exsudados, sem odor, folha simples, com margem inteira, sem est","HUFABC000067","HUFABC000067","Angiospermas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-12-04 15:26:36-03","PUCPR","HUCP","20354","S","Plantae","Orchidaceae","Cattleya","coccinea","Cattleya coccinea",", F. & Lindl.","Ariati, V",NA,NA,NA,"Ariati, V","045","2008","07","18","Brasil","Paraná","Campina Grande do Sul","Morro Caratuva","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,NA,"HUCP00006747","HUCP00006747","Monocotiledonea",NA,NA,"55154","auto",NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-12-04 15:26:36-03","PUCPR","HUCP","19771","S","Plantae","Orchidaceae","Cattleya","coccinea","Cattleya coccinea",", F. & Lindl.","Selusniaki, M",NA,NA,NA,"Selusniaki, M","2200","2008","07","14","Brasil","Paraná","Piraquara","Morro do Canal","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,NA,"HUCP00006628","HUCP00006628","Monocotiledonea",NA,NA,"12577","auto",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-02-27 20:28:30-03","PUCPR","HUCP","25663","S","Plantae","Orchidaceae","Cattleya","coccinea","Cattleya coccinea",", F. & Lindl.","Kersten, RA","2019","10",NA,"Kersten, RA","2012","2019","09","28","Brasil","Parana","Campina Grande do Sul","Morro Capivari Grande","-48.8216","-25.1283","-48.8216","-25.1283","1600","1600","Flroesta de Altomontana do Capivari Grande.&nf;Epífita, flores vermelhas.","HUCP00025663","HUCP00025663","Monocotiledonea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-12-04 15:26:36-03","PUCPR","HUCP","13279","S","Plantae","Orchidaceae","Cattleya","coccinea","Cattleya coccinea",", F. & Lindl.","Libsch, D",NA,NA,NA,"Libsch, D","210","2001","07","20","Brasil","Paraná","Antonina","Pico Paraná","-48.7118988037109","-25.4286003112793",NA,NA,NA,NA,NA,"HUCP00006576","HUCP00006576","Monocotiledonea",NA,NA,"38300","auto",NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-12-04 15:26:36-03","PUCPR","HUCP","8576","S","Plantae","Orchidaceae","Cattleya","coccinea","Cattleya coccinea",", F. & Lindl.","Jaszczerski, JC",NA,NA,NA,"Bohme, E","004","1996","04","10","Brasil","Paraná","Curitiba","Boqueirão","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"HUCP00006574","HUCP00006574","Monocotiledonea",NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-12-04 15:26:36-03","PUCPR","HUCP","22126","S","Plantae","Orchidaceae","Cattleya","coccinea","Cattleya coccinea",", F. & Lindl.",NA,NA,NA,NA,"Baréa, CFS","019","2011","09","18","Brasil","Paraná","Quatro Barras","Morro Sete","-49.0769004821777","-25.3656005859375",NA,NA,NA,NA,NA,"HUCP00006626","HUCP00006626","Monocotiledonea",NA,NA,"17116","auto",NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-12-04 15:26:36-03","PUCPR","HUCP","21050","S","Plantae","Orchidaceae","Cattleya","coccinea","Cattleya coccinea",", F. & Lindl.","Kersten, RA",NA,NA,NA,"Kersten, RA","1108","2006","08","20","Brasil","Paraná","Tijucas do Sul","Morro dos Perdidos","-49.1988983154297","-25.9281005859375",NA,NA,NA,NA,NA,"HUCP00006643","HUCP00006643","Monocotiledonea",NA,NA,"25228","auto",NA,NA,NA,NA,NA,NA,NA,NA
