"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","coordinatePrecision","geoFlag","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","487251","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","bahiensis","Alternanthera bahiensis","Pedersen","T. M. Pedersen","M. M. Arbo","7299","1997","01","16","South America","Brazil","Bahia","Itiúba","Serra de Itiúba, 1 kmal E de Itiúba camino a Cansançao","-39.83","-10.7","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=195503' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487251","NY00487251_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:08:10-03","UFBA","ALCB","35212","PreservedSpecimen","Plantae","Dicotyledon",NA,"Amaranthaceae","Alternanthera","bahiensis","Alternanthera bahiensis","Pedersen","Souza, VC","Sano, PT; Atkins, S; Sakuragui, CM; Harley, RM; Souza, VC","PCD14697","1994","03","01","Southern America","Brasil","Bahia","Rio de Contas","Chapada Diamantina, estrada entre o distrito de Mato Grosso eo pé do Morro do Itabira","-41.853611","-13.408333","1400","1400",NA,"até 1 m alt.; tépalas creme-esverdeadas; tubo estaminal alaranjado. Ao longo de uma trilha no interior da mata.; com mata no pé do morro entre 13°24'30'S, 41°51'13'W e 13°22'50'S, 41°52'57'W, 1400-1600 m.s.m.",NA,NA,"1996","05","-41.853611","-13.408333",NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:00:09-03","JBP","HPL","1800","S","Plantae",NA,NA,"Amaranthaceae","Alternanthera","bahiensis","Alternanthera bahiensis","Pedersen","J. Paula-Souza","E.R. Salviani & H. Lorenzi","1025","2000","01","25",NA,"Brasil","BA","V. Conquista","Aeroporto.",NA,NA,NA,NA,NA,NA,NA,NA,"2004","07",NA,NA,"01",NA,NA,NA,NA,NA
"4","2019-08-27 13:28:21-03","IAP","PACA-AGP","102792","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","bahiensis","Alternanthera bahiensis","Pedersen","M. S. Marchioretto","M. M. Arbo","7299","1997","01","16",NA,"Brasil","BA","Itiúba","Serra de Itiúba, 1 Km de Itiúba, caminho para Cansanção. Na ladeira da Serra.","-39.833333","-10.7","600","600",NA,"Herbario Del Instituto de Botanica del Nordeste (CTES), Corrientes -Rep. Argentina.&nf;En colaboración con Herbario CEPEC, viaje subsidiado por Nacional geographic Society. Habitat: Caatinga, local com solo úmido.","PACA102792",NA,"2018","05","39° 50'W","10° 42'S",NA,"Magnoliatae",NA,NA,NA,NA
"5","2019-08-27 13:28:21-03","IAP","PACA-AGP","118166","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","bahiensis","Alternanthera bahiensis","Pedersen","Marchioretto, M.S.","Da Silva, P. H.","112","2017","12","20",NA,"Brasil","PI","Parnaíba",NA,"-41.7766990661621","-2.90472006797791",NA,NA,NA,"baixa-média frequencia, sem fruto, flor branco amarelada Habitat: cultivo de acerola (organico)","PACA118166",NA,"2018","06",NA,NA,NA,"Magnoliatae","25571","auto",NA,NA
"6","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0000077","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","bahiensis","Alternanthera bahiensis","T.M.Pedersen","T. M. Pedersen","G. Hatschbach; O. S. Ribas, F. Deodato","65692","1997","1","13",NA,"Brazil","Minas Gerais",NA,"Rod. BR-122, km 145 (Mun. Janauba).","-43.3167","-15.8",NA,NA,NA,"Erva ascendente, flor amarela. Carrascal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-12 18:11:50-03","UFES","VIES","41276","S","Plantae",NA,NA,"Amaranthaceae","Alternanthera","bahiensis","Alternanthera bahiensis","Pedersen",NA,"Gurtler, J.; Dutra, S.C.","JAC 549","2018","02","27",NA,"Brasil","Espírito Santo","Nova Venécia","Fazenda Santa Rita. Ao pé da pedra da torre (P8).","-40.439722","-18.781111",NA,NA,NA,NA,"VIES041276","VIES041276",NA,NA,"40º26'23''W","18º46'52''S",NA,NA,NA,NA,NA,NA
"8","2019-09-27 18:03:26-03","UFES","VIES","38757","S","Plantae",NA,NA,"Amaranthaceae","Alternanthera","bahiensis","Alternanthera bahiensis","Pedersen","Pena, N.T.L.","Pena, N.T.L.; Alves-Araújo, A.; Schwartsburd, P.B.; Luber, J. & Miranda, C.V.","414","2015","09","18",NA,"Brasil","Espírito Santo","Nova Venécia","APA Pedra do Elefante.","-40.4006004333496","-18.710599899292",NA,NA,NA,NA,"VIES038757","VIES038757","2015","10",NA,NA,"10",NA,"42400","auto",NA,NA
"9","2019-11-01 15:27:44-03","PUC-RIO","FCAB","5722","PreservedSpecimen","Plantae",NA,"Angiospermae","Amaranthaceae","Alternanthera","bahiensis","Alternanthera bahiensis","Pedersen","Luisa Senna","M.L. Fonseca; F.C.A. Oliveira; E. Cardoso; N.R. Oliveira","s.n.","2000","06","14",NA,"Brasil",NA,"Monte Alegre","Fazenda Nica",NA,NA,NA,NA,NA,"Subarbusto semi-ciófito, 1m alt; folhas cor verde membranáceas; inflorescência alva. Comum.","005722",NA,"2014","10",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-01 15:33:01-03","PUC-RIO","FCAB","5924","PreservedSpecimen","Plantae",NA,"Angiospermae","Amaranthaceae","Alternanthera","bahiensis","Alternanthera bahiensis","Pedersen","L. Senna","Demasceno Junior, G.A.; J.N. Nakajima; R. Romero; V.J. Pott","3079","2001","11","24",NA,"Brasil","Mato Grosso do Sul","Corumbá","Morro na margem da baía Gaíva, separando as águas da baía com as do rio Paraguai","-57.694917","-17.745694","90","90",NA,"erva com 40cm, flor, fruto; Cerradão; Solo - litólico; Relevo - Morro","005924",NA,"2015","07","-57.694917","-17.745694",NA,NA,NA,NA,NA,NA
"11","2019-11-01 15:27:44-03","PUC-RIO","FCAB","6024","PreservedSpecimen","Plantae",NA,"Angiospermae","Amaranthaceae","Alternanthera","bahiensis","Alternanthera bahiensis","Pedersen","L. Senna","G. Hatschbach","21556","1969","05","18",NA,"Brasil","Paraná","Terra Boa","Rio Ligeiro","-52.4441986083984","-23.7681007385254",NA,NA,NA,"Planta decumbente; Orla da mata de galeria. Solo arenoso","006024",NA,"2015","07",NA,NA,NA,NA,"26445","auto",NA,NA
"12","2020-08-31 09:17:46-03","INPA","INPA","200455","S","Plantae","Dicotyledon Superasterids","Caryophyllales","Amaranthaceae","Alternanthera","bahiensis","Alternanthera bahiensis","Pedersen","Senna, LR","Hatschbach, GG","65692","1997","01","13","Southern America","Brasil","Minas Gerais","Janaúba","Rod. BR 122, km 145.","-43.3088989257812","-15.8024997711182",NA,NA,NA,NA,"INPA0200455","INPA0200455 INPA0200455_e","2012","09",NA,NA,NA,NA,"55466","auto",NA,NA
"13","2019-11-13 11:14:07-03","USP","SPF","79471","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","bahiensis","Alternanthera bahiensis","Pedersen","Senna, L","Martens, LA","574","1993","06","24",NA,"Brasil","Minas Gerais","Perdizes",NA,"-47.266667","-19.333333","935","935",NA,NA,"SPF00079471",NA,"2014","10","-47.266667","-19.333333",NA,NA,NA,NA,NA,NA
"14","2019-10-07 09:18:22-03","UEFS","HUEFS","147232","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Amaranthaceae","Alternanthera","bahiensis","Alternanthera bahiensis","Pedersen","L.Senna","Harley, R.M.","25915","1988","11","06",NA,"Brasil","Bahia","Rio de Contas","Pico das Almas. Vertente leste. Junco. Brejo e área cultivada. Solo arenoso. Beira da estrada.","-41.883333","-13.533333","1120","1120",NA,NA,"HUEFS0147232","HUEFS0147232 HUEFS0147232_01","2015","07","41W53'","13S32'",NA,"Caryophyllanae",NA,NA,"Isótipo",NA
"15","2019-10-07 09:18:22-03","UEFS","HUEFS","206194","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Amaranthaceae","Alternanthera","bahiensis","Alternanthera bahiensis","Pedersen","L.Senna","Marinho, L.C.","632","2014","02","16",NA,"Brasil","Bahia","Itamaraju","Serra ao lado do Morro do Pescoço, entrando pela Faz. Novo Horizonte e passando pela propriedade do Sr. Ailton.","-39.583333","-16.983333",NA,NA,NA,"Floresta Ombrófila Densa.","HUEFS0206194","HUEFS0206194","2015","07","39W35'","16S59'",NA,"Caryophyllanae",NA,NA,NA,NA
"16","2019-10-07 09:18:22-03","UEFS","HUEFS","62484","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Amaranthaceae","Alternanthera","bahiensis","Alternanthera bahiensis","Pedersen","L.R.Senna","Jardim, J.G.","3352","2001","04","01",NA,"Brasil","Bahia","Palmas de Monte Alto","Torre da Embratel e Estrada do Cristo, ca. 1,8 km W da cidade.","-43.170556","-14.266667","640","640",NA,"Caatinga.","HUEFS0062484","HUEFS0062484","2015","10","43W10'14''","14S16'0''",NA,"Caryophyllanae",NA,NA,NA,NA
"17","2019-10-07 09:18:22-03","UEFS","HUEFS","69220","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Amaranthaceae","Alternanthera","bahiensis","Alternanthera bahiensis","Pedersen","L.R.Senna","Senna, L.R.","53","2003","01","15",NA,"Brasil","Bahia","Rio de Contas","Estrada Real - Rio de contas.","-41.814444","-13.604722","931","931",NA,"Cerrado com áreas de pasto e cultivo.","HUEFS0069220","HUEFS0069220","2014","10","41W48'52''","13S36'17''",NA,"Caryophyllanae",NA,NA,NA,NA
"18","2019-10-07 09:18:22-03","UEFS","HUEFS","90163","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Amaranthaceae","Alternanthera","bahiensis","Alternanthera bahiensis","Pedersen","L.Senna","Lyra-Lemos, R.P.","5917","2001","10","26",NA,"Brasil","Alagoas","São Miguel dos Campos","Próx. Á Faz. Santa Tereza Mata da Atol.","-36.145","-9.749722",NA,NA,NA,"Mata Atlântica.","HUEFS0090163","HUEFS0090163","2015","07","36W8'42''","9S44'59''",NA,"Caryophyllanae",NA,NA,NA,NA
"19","2019-10-07 09:18:22-03","UEFS","HUEFS","146159","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Amaranthaceae","Alternanthera","bahiensis","Alternanthera bahiensis","Pedersen","L.Senna","Duarte, A.P.","296","1966","02","15",NA,"Brasil","Espírito Santo","Vitória",NA,"-40.3377990722656","-20.3194007873535",NA,NA,NA,NA,"HUEFS0146159","HUEFS0146159","2015","10",NA,NA,NA,"Caryophyllanae","15291","auto",NA,NA
"20","2019-10-07 09:18:22-03","UEFS","HUEFS","145840","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Amaranthaceae","Alternanthera","bahiensis","Alternanthera bahiensis","Pedersen","L.R.Senna","Oliveira, C.M.","55","1981","03","17",NA,"Brasil","São Paulo","Mogi Guaçu","Martinho Prado. Reserva Biológica daFazenda Campininha.","-46.9421997070312","-22.372200012207",NA,NA,NA,NA,"HUEFS0145840","HUEFS0145840","2015","07",NA,NA,NA,"Caryophyllanae","39309","auto",NA,NA
"21","2020-02-20 14:36:41-03","IAC","IAC","52444","S","Plantae",NA,NA,"Amaranthaceae-06.Gomphrenoideae","Alternanthera","bahiensis","Alternanthera bahiensis","Pedersen","R. Tsuji","J. Paula-Souza & R. Tsuji","9773-A","2009","07","04",NA,"Brasil","Bahia","Casa Nova","Arredores da barragem de Sobradinho","-40.786111","-9.340833",NA,NA,NA,"Coordenadas originais do material: -40.78614W , -09.34074S",NA,NA,"2009","09","-40.786111","-9.340833","04",NA,NA,NA,NA,NA
"22","2020-07-23 11:56:36-03","CEPLAC","CEPEC","46086","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","bahiensis","Alternanthera bahiensis",NA,"Flora do Pico das Almas","R. M. Harley","25915","1992","12","08",NA,"Brasil","Bahia","RIO DE CONTAS","9-11Km ao NW cidade. Pico das Almas. Vertente leste.","-41.883333","-13.533333",NA,NA,NA,NA,NA,NA,NA,NA,"41W53'","13S32'",NA,NA,NA,NA,NA,"30/12/1995"
"23","2020-07-23 11:56:36-03","CEPLAC","CEPEC","46583","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","bahiensis","Alternanthera bahiensis",NA,"L. R. Senna","A. M. de Carvalho","2796","1990","03","14",NA,"Brasil","Bahia","JACOBINA","Ca. 10Km na estrada Jacobina/Morro do Chapeu.","-40.5182991027832","-11.1806001663208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62396","auto",NA,"30/10/2001"
"24","2020-07-23 11:56:36-03","CEPLAC","CEPEC","77036","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","bahiensis","Alternanthera bahiensis",NA,"T. M. Pedersen","G. Hatschbach","65066","1996","04","19",NA,"Brasil","Bahia","PARATINGA","Marg. da Rod. Bom Jesus da Lapa/Ibotirama, Km 46, prox de Volta da Serra.","-43.1842002868652","-12.6906003952026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61248","auto",NA,"30/12/1996"
"25","2019-11-21 09:57:54-03","IBt","SP","168142","S","Plantae",NA,NA,"Amaranthaceae","Alternanthera","bahiensis","Alternanthera bahiensis","Pedersen","Senna, LR","Wunderlin, RP; Arcuri, A; Hansen, B","6060","1978","10","27",NA,"Estados Unidos","Florida","Sanibel Island","Coastal hammock and mangroves along San Carlos Bay",NA,NA,NA,NA,NA,NA,NA,NA,"2015","02",NA,NA,"12",NA,NA,NA,NA,NA
"26","2019-11-21 09:57:54-03","IBt","SP","344381","S","Plantae",NA,NA,"Amaranthaceae","Alternanthera","bahiensis","Alternanthera bahiensis","Pedersen","Senna, LR","Hatschbach, G; Ribas, OS; Deodato, F","65692","1997","01","13",NA,"Brasil","Minas Gerais","Janaúba","Rod. BR-122, Km 145. Carrascal","-43.3088989257812","-15.8024997711182",NA,NA,NA,"Erva ascendente, flor amarela",NA,NA,"2015","07",NA,NA,NA,NA,"55466","auto",NA,NA
