"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","fieldNumber","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","identifiedBy","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","02642190","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Actinocephalus","heterotrichus","Actinocephalus heterotrichus","(Silveira) Sano","L. Echternacht","2182","2011","11","26","South America","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó. Próximo à cachoeira Congonhas de Baixo.","-43.5639","-19.3292","1071","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2964284' target='other'> <mi>dwc_moreinfo</mi></a>","NY02642190","NY02642190_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-03-09 17:11:56-03","MNHN","RECOLNAT_MNHN_P","P00847884","PreservedSpecimen",NA,NA,NA,"Eriocaulaceae","Actinocephalus","heterotrichus","Actinocephalus heterotrichus","(Silveira) Sano","Echternacht, L.|Bastos, T.V.|Barbosa, A.C.|Cassimiro, R.T.F.|Savino, C.|Campos, N.S.|Nogueira, S.S.|Lima, A.M.S.",NA,"2012","4","6",NA,"Brasil","Minas Gerais","Itambé do Mato Dentro","Parque Nacional da Serra do Cipó. Trilha entre o Travessão e a Casa da Tábua. Subindo a montanha ao sul do Travessão","-43.51917","-19.34222","1177","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00847884' target='other'> <mi>dwc_moreinfo</mi></a>","P00847884","P00847884_01","2206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-09-03 21:21:45-03","MNHN","RECOLNAT_MNHN_P","P01641961","PreservedSpecimen",NA,NA,NA,"Eriocaulaceae","Actinocephalus","heterotrichus","Actinocephalus heterotrichus","(Silveira) Sano","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Brésil. Brasil, América do Sul",NA,NA,NA,"hb",". s.d. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01641961' target='other'> <mi>dwc_moreinfo</mi></a>","P01641961","P01641961_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-03-09 17:11:53-03","MNHN","RECOLNAT_MNHN_P","P00847892","PreservedSpecimen",NA,NA,NA,"Eriocaulaceae","Actinocephalus","heterotrichus","Actinocephalus heterotrichus","(Silveira) Sano","Echternacht, L.|Giacomin, L.|Pignal, M.|Almeira, T.E.|Bastos, T.V.|Garcia, G.D.|Vilaça, F.|Junior, E.M.M.",NA,"2011","11","26",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó. Próximo à cachoeira Congonhas de Baixo","-43.7144012451172","-19.1688995361328","1071","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00847892' target='other'> <mi>dwc_moreinfo</mi></a>","P00847892","P00847892_01","2182","26557","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-11 11:43:58-03","UFMG","BHCB","166372","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Actinocephalus","heterotrichus","Actinocephalus heterotrichus","(Silveira) Sano","Echternacht, LA; Bastos, TV; Pignal, M; Almeida, TE; Giacomin, LL; Junior, EMM; Garc, GD","2182","2011","11","26","Southern America","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Próximo à Cachoeira Congonhas de Baixo.","-43.563889","-19.329167","1071",NA,"Erva ca. 0.5 m de altura. Bráctea involucral marrom.; Campo rupestre, solo pedregoso arenoso quartzitico.",NA,NA,NA,NA,NA,"2011","11","26","-43.563889","-19.329167","1071",NA,NA
"6","2020-12-11 11:43:58-03","UFMG","BHCB","166396","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Actinocephalus","heterotrichus","Actinocephalus heterotrichus","(Silveira) Sano","Echternacht, LA; Bastos, TV; Cassimiro, RTF; Campos, NS; Savino, AC; Barbosa, AM;","2206","2012","04","06","Southern America","Brasil","Minas Gerais","Itambé do Mato Dentro","Parque Nacional da Serra do Cipó, Trilha entre o Travessão e a Casa de Tábua. Subindo a montanha ao","-43.519167","-19.342222","1177",NA,"Erva ca. 50 cm de altura. População com mais de 50 indivíduos.; Campo rupestre, vegetação herbáceo-arbustiva rala. Solo cascalhento, q",NA,NA,NA,NA,NA,"2012","04","06","-43.519167","-19.342222","1177",NA,NA
"7","2021-03-15 18:26:42-03","USP","SPF","221571","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","heterotrichus","Actinocephalus heterotrichus","(Silveira) Sano","Echternacht, L","2206","2012","04","06",NA,"Brasil","Minas Gerais","Itambé do Mato Dentro","Parque Nacional da Serra do Cipó, Trilha entre o Travessão e a Casa de Tábua. Subindo a montanha ao sul do Travessão.","-43.519167","-19.342222","1177",NA,"Erva ca. 50 cm de altura. População com mais de 50 indivíduos.; Campo rupestre, vegetação herbáceo-arbustiva rala. Solo cascalhento, quartzítico, seco.","SPF00221571",NA,NA,NA,NA,"2012","04","06","-43.519167","-19.342222","1177","Echternacht, L",NA
"8","2021-03-15 18:26:42-03","USP","SPF","221577","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","heterotrichus","Actinocephalus heterotrichus","(Silveira) Sano","Echternacht, L","2182","2011","11","26",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Próximo à cachoeira Congonhas de Baixo.","-43.563889","-19.329167","1071",NA,"Erva ca. 0,5 m de altura. Bráctea involucral marrom.; Campo rupestre, solo pedregoso arenoso quartzítico.","SPF00221577",NA,NA,NA,NA,"2011","11","26","-43.563889","-19.329167","1071","Echternacht, L",NA
"9","2021-03-08 15:43:54-03","MN","R-TIPOS","180912a","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","heterotrichus","Actinocephalus heterotrichus","(Silveira) Sano","Michaeli, J.G.","s.n.","1921","08",NA,NA,"Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,NA,"R000180912a","R000180912a_001",NA,NA,NA,"2016","01","14",NA,NA,NA,"Ramos, R.","Isotypus de Paepalanthus heterotrichus Silveira"
"10","2021-03-08 15:43:54-03","MN","R-TIPOS","180912","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","heterotrichus","Actinocephalus heterotrichus","(Silveira) Sano","Michaeli, J.G.","s.n.","1921","08",NA,NA,"Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,NA,"R000180912","R000180912_001",NA,NA,NA,"2016","01","14",NA,NA,NA,"Ramos, R.","Holotypus de Paepalanthus heterotrichus Silveira"
