"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","individualCount","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","674393","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","M. H. Nee","M. H. Nee","48321","1998","02","15","South America","Bolivia","Santa Cruz","Florida","Zone of massive red sandstone mountains along highway from Santa Cruz to Samaipata, 7 km (by winding road) SW of bridge over Río Laja [upstream extension of Río Bermejo], 7.7 km (by winding road) SW of bridge over Río Las Cruces (Río Vicoquín).","-63.73","-18.17","980","980","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70729' target='other'> <mi>dwc_moreinfo</mi></a>","NY00674393",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-27 05:51:00-03","NY","NYBG","627840","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Aristida","macrophylla","Aristida macrophylla",NA,"H. M. Longhi-Wagner","S. A. Renvoize","3163","1978","10","17","South America","Argentina","Misiones",NA,"Apostoles. San Jose, Escuela Agrotecnico Don Bosco",NA,NA,"200","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34450' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627840","NY00627840_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 05:51:00-03","NY","NYBG","627839","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Aristida","macrophylla","Aristida macrophylla",NA,"H. M. Longhi-Wagner","E. Hassler","11323",NA,NA,NA,"South America","Paraguay",NA,NA,"Sierra de Amambay",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34449' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627839",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","802511","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","M. H. Nee","M. H. Nee","48199","1998","02","01","South America","Bolivia","Santa Cruz","Florida","Along highway from Santa Cruz to Samaipata, 3 km (by road) SW of bridge over Río Laja.","-63.7","-18.15","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=70728' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","627751","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","H. M. Longhi-Wagner","R. M. Klein","4328","1963","10","31","South America","Brazil","Santa Catarina","Sao José do Cerrito","Sao José do Cerrito","-50.58","-27.6633","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34452' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627751","NY00627751_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 14:56:00-03","NY","NYBG","627841","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Aristida","macrophylla","Aristida macrophylla",NA,"T. J. Killeen","T. J. Killeen","794","1985","01","29","South America","Bolivia","Santa Cruz","Ñuflo de Chávez","30 km S of Concepción on the road to San Antonio de Lomerido","-62","-16.42","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34451' target='other'> <mi>dwc_moreinfo</mi></a>","NY00627841",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:16:04-03","NBC","NL-BOTANY","L.1214779","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Aristida","kleinii","Aristida kleinii",NA,NA,"Klein RM",NA,"1963","10","29","Southern America","Brazil",NA,NA,"SANTA CATARINA. Campos Novos.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1214779 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1214779","NL-L1214779","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:16:09-03","NBC","NL-BOTANY","L.1215294","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Aristida","macrophylla","Aristida macrophylla","Hack.",NA,"Hassler E",NA,"1907","01","01","Southern America","Paraguay",NA,NA,"Plantae Paraguariensis. Surra de Amanday.[!].",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1215294 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1215294","NL-L1215294","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:16:09-03","NBC","NL-BOTANY","L.1215295","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Aristida","macrophylla","Aristida macrophylla","Hack.",NA,"Parodi LR",NA,"1922","01","17","Southern America","Argentina",NA,NA,"Santa Inés - Posadas (Misiones).",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1215295 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1215295","NL-L1215295","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-02-02 14:38:13-02","BGBM","B","B 10 0250768","S","Plantae",NA,NA,"Gramineae","Aristida","macrophylla","Aristida macrophylla","Hack.",NA,NA,NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100250768 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100250768","B100250768",NA,"type",NA,NA,NA,NA,NA,NA,NA,NA
