"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:32-03","UNESC","CRI","10208","PreservedSpecimen","Plantae","Fabaceae","Pterodon","emarginatus","Pterodon emarginatus","Vogel","A.R. Silva","2007","12","03","A.R. Silva; E.L. Siqueira","614","2007","10","13","Brasil","Minas Gerais","Boa Esperança","Fazenda Rancharia, BR 265 Km 2.","-45.580833","-21.096389","45º34'51''W","21º5'47''S","850","850","Habito: árvore","CRI003037","CRI003037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","563961","PreservedSpecimen","Plantae","Fabaceae","Pterodon","emarginatus","Pterodon emarginatus","Vogel","G. P. Lewis",NA,NA,NA,"W. Ganev","1125","1992","09","19","Brazil","Bahia","Abaíra","Estrada Ouro Verde-Funil, ca. 4 km. de Ouro Verde.","-41.75","-13.33",NA,NA,"850","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648048' target='other'> <mi>dwc_moreinfo</mi></a>","NY00563961","NY00563961_01","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01044821","PreservedSpecimen","Plantae","Fabaceae","Pterodon","emarginatus","Pterodon emarginatus","Vogel","W. Mantovani",NA,NA,NA,"P. E. Gibbs","2720","1976","09","07","Brazil","Goiás","Goiás","p/ S. Joaquim","-50.1403","-15.9344",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1186160' target='other'> <mi>dwc_moreinfo</mi></a>","NY01044821","NY01044821_01","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","605601","PreservedSpecimen","Plantae","Fabaceae","Pterodon","emarginatus","Pterodon emarginatus","Vogel","L. P. de Queiroz",NA,NA,NA,"L. P. de Queiroz","4078","1994","10","11","Brazil","Bahia","Tabocas do Brejo Velho","Ca. 101 km W de Ibotirama na BR-242.","-43.98","-12.25",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=648041' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605601","NY00605601_01","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01044771","PreservedSpecimen","Plantae","Fabaceae","Pterodon","emarginatus","Pterodon emarginatus","Vogel","W. Mantovani",NA,NA,NA,"G. C. G. Argent","6658","1968","08","15","Brazil","Mato Grosso",NA,"R 3, c 4 km N of Base Camp","-51.77","-12.82",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1185953' target='other'> <mi>dwc_moreinfo</mi></a>","NY01044771","NY01044771_01","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01044758","PreservedSpecimen","Plantae","Fabaceae","Pterodon","emarginatus","Pterodon emarginatus","Vogel","W. Mantovani",NA,NA,NA,"E. P. Heringer","9897","1964","10","28","Brazil",NA,NA,"Jamari",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1185928' target='other'> <mi>dwc_moreinfo</mi></a>","NY01044758","NY01044758_01","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01044772","PreservedSpecimen","Plantae","Fabaceae","Pterodon","emarginatus","Pterodon emarginatus","Vogel","W. Mantovani",NA,NA,NA,"G. C. G. Argent","6783","1968","08","26","Brazil","Mato Grosso",NA,"R 3, c 3 km S of Base Camp","-51.77","-12.82",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1185956' target='other'> <mi>dwc_moreinfo</mi></a>","NY01044772","NY01044772_01","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01044848","PreservedSpecimen","Plantae","Fabaceae","Pterodon","emarginatus","Pterodon emarginatus","Vogel","R. C. Barneby",NA,NA,NA,"R. F. Vieira","1520","1993","11","22","Brazil","Maranhão","Colinas","A cerca de 14.6 km de Colinas em direcao a S. Domingos; a esquerda 5 km.","-44.35","-5.92",NA,NA,"320","320","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1186222' target='other'> <mi>dwc_moreinfo</mi></a>","NY01044848","NY01044848_01","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01044815","PreservedSpecimen","Plantae","Fabaceae","Pterodon","emarginatus","Pterodon emarginatus","Vogel","W. Mantovani",NA,NA,NA,"L. Duarte","98","1962","09","07","Brazil","Distrito Federal","Brasília","Fercal","-47.9294","-15.7797",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1186131' target='other'> <mi>dwc_moreinfo</mi></a>","NY01044815","NY01044815_01","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01044718","PreservedSpecimen","Plantae","Fabaceae","Pterodon","emarginatus","Pterodon emarginatus","Vogel","W. Mantovani",NA,NA,NA,"H. S. Irwin","17644","1966","06","23","Brazil","Goiás","Piranhas","Ca. 70 km. S. E. of Aragarças, road to Piranhas. Drainage of the Upper Rio Araguaia.","-52.03","-16.4",NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1185842' target='other'> <mi>dwc_moreinfo</mi></a>","NY01044718","NY01044718_01","Magnoliophyta","Fabales","South America","separate fruit",NA,NA,NA,NA,NA,NA,NA,NA
