"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","617485","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","eriophorum","Eryngium eriophorum","Cham. & Schltdl.","L. Constance","G. G. Hatschbach","29258","1972","02","28","South America","Brazil","Paraná","Sengés","Sao Antonio, 5 km ao Norte","-49.4633","-24.1131","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=52474' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617485","NY00617485_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","617482","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","eriophorum","Eryngium eriophorum","Cham. & Schltdl.","H. N. Moldenke","J. E. Leite","603","1941","04",NA,"South America","Brazil","Rio Grande do Sul",NA,"In monte Limmes; near Estacao Capela",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=52478' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617482","NY00617482_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","777178","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","eriophorum","Eryngium eriophorum","Cham. & Schltdl.","S. F. Smith","A. Kegler","911","2000","03","25","South America","Brazil","Rio Grande do Sul","Caxias do Sul","Criúva - Sao Francisco","-51.1792","-29.1683","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=52476' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777178","NY00777178_01","780","780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02702125","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","eriophorum","Eryngium eriophorum","Cham. & Schltdl.",NA,"P. Fiaschi","3693","2011","04","01","South America","Brazil","Rio Grande do Sul","Vacaria","Ca. 2 km da BR-116, rumo a Bom Jesus e Sao Jose dos Ausentes. Campos na beira da estrada.","-50.90564","-28.5145","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2997329' target='other'> <mi>dwc_moreinfo</mi></a>","NY02702125","NY02702125_01","990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","617481","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","eriophorum","Eryngium eriophorum","Cham. & Schltdl.",NA,"G. O. A. Malme","1343Aa","1902","02","21","South America","Brazil","Rio Grande do Sul","Porto Alegre","Morro da Policia","-51.23","-30.0331","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=52481' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617481","NY00617481_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","617256","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","eriophorum","Eryngium eriophorum","Cham. & Schltdl.","S. F. Smith","R. A. Wasum","623","2000","03","16","South America","Brazil","Rio Grande do Sul","Sao Francisco de Paula","RS 235","-50.5833","-29.4483","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=52477' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617256","NY00617256_01","830","830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","617489","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","eriophorum","Eryngium eriophorum","Cham. & Schltdl.",NA,"T. M. Pedersen","15735","1991","03","19","South America","Brazil","Rio Grande do Sul","Carazinho","Segredo","-52.7864","-28.2842","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=52482' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617489","NY00617489_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","617491","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","eriophorum","Eryngium eriophorum","Cham. & Schltdl.","T. M. Pedersen","T. M. Pedersen","13726","1984","03","01","South America","Brazil","Santa Catarina","Agua Doce","Road (BR-153) from Concôrdia to Uniao da Victoria, some 8 km S of the border of the State of Paraná, near Morro de Capao Doce","-51.5558","-26.9981","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=52480' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617491","NY00617491_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","617484","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","eriophorum","Eryngium eriophorum","Cham. & Schltdl.","L. Constance","R. Reitz","12253","1962","02","22","South America","Brazil","Santa Catarina","Curitibanos","Curitibanos","-50.617613","-27.287336","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=52473' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617484","NY00617484_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","617490","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Apiaceae","Eryngium","eriophorum","Eryngium eriophorum","Cham. & Schltdl.","T. M. Pedersen","T. M. Pedersen","13816","1984","03","12","South America","Brazil","Rio Grande do Sul","Vacaria","Vacaria","-50.937069","-28.501436","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=52479' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617490","NY00617490_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
