"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","yearIdentified","continentOcean","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","monthIdentified","dayIdentified","individualCount","order","class","relatedCatalogItem","fieldNumber","sex","preparationType"
"1","2019-12-04 15:26:38-03","PUCPR","HUCP","24541","S","Plantae","Monocotiledonea","Orchidaceae","Octomeria","alexandri","Octomeria alexandri","Schlecht.","Lago, GB","Lago, GB","09","2015","07","17","Brasil","Paraná","Paranaguá","-48.5092010498047","-25.5200004577637","24916","HUCP00003582","HUCP00003582","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-25 16:51:48-03","UFBA","ALCB","043077","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Octomeria","alexandri","Octomeria alexandri","Schltdl.","Toscano, AL","Pereira, A; Costa, J; Melo, E; Ferreira, MC","PCD1757","1995","04","24","Brasil","Bahia","Palmeiras","-41.471111","-12.457778",NA,"ALCB006140","ALCB006140",NA,"1997","Southern America","Chapada Diamantina, Topo do morro de Pai Inácio, próximo ao cruzeiro.","-41.471111","-12.457778","1125","1125","rupícola. Folhas simples, cilíndricas, crassas. Inflorescência saindo da base da folha, botões florais verdes com tons vináceos; flores amarelo-pálido, às vezes, vináceas. Frequente.; Vegetação herbáceo-arbustiva esparsa. Afloramentos",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-25 16:51:48-03","UFBA","ALCB","037918","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Octomeria","alexandri","Octomeria alexandri","Schltdl.","Toscano, AL","Melo, E; França, F; Oliveira, S; Nunes, TS; Souza, E; Ganev, W","PCD1240","1994","11","22","Brasil","Bahia","Lençóis","-41.452778","-12.456667",NA,"ALCB008447","ALCB008447",NA,"1997","Southern America","Chapada Diamantina, Serra da Chapadinha","-41.452778","-12.456667","1000","1000","0,05 m, crescendo sobre húmus nas fendas das rochas. Folhas simples. Fruto imaturo vináceo. Raro.; Vegetação de campo rupestre. Afloramento rochoso.","10",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:38:37-03","MBM","MBM","411202","PreservedSpecimen","Plantae",NA,"Orchidaceae","Octomeria","alexandri","Octomeria alexandri","Schltr.","Santos, T.F.","Santos, T.F.; Royer, C.; Bolson, M.; Santos, M.; Royer, C.; Bolson, M.; Santos, M.","101","2015","05","15","Brazil","Paraná","Paranaguá","-48.5092010498047","-25.5200004577637","24916","MBM411202","MBM411202","auto","2015","Southern America","Floresta Estadual do Palmito",NA,NA,NA,NA,"Epífita. Flores amarelas, labelo trilobado, lobos laterais com ápice vermelho. Dois calos vermelhos no lobo central. Esta variedade não posssui sépalas vermelhas.","08","02",NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:38:37-03","MBM","MBM","411206","PreservedSpecimen","Plantae",NA,"Orchidaceae","Octomeria","alexandri","Octomeria alexandri","Schltr.","Santos, T.F.","Santos, T.F.; Kersten, R.; Kersten, R.","102","2015","07","01","Brazil","Paraná","Paranaguá","-48.5092010498047","-25.5200004577637","24916","MBM411206","MBM411206","auto","2015","Southern America","Floresta Estadual do Palmito",NA,NA,NA,NA,"Planta com flor amarela, labelo com quilhas longitudinais avermelhada.","08","13",NA,NA,NA,NA,NA,NA,NA
"6","2020-12-11 11:44:46-03","UFMG","BHCB","189136","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Octomeria","alexandri","Octomeria alexandri","Schltr.",NA,"Fernandes, RL","47","2017","04","12","Brasil","Bahia",NA,NA,NA,NA,"BHCB189136",NA,NA,NA,"Southern America","Chapada Diamantina, Planta em cultivo na coleção do Museu de História Natural e Jardim Botânico da UFMG. Acesso MHNJB412.",NA,NA,NA,NA,"Sépalas e pétalas amarelo claro. Labelo de mesma cor com mancha avermelhada na base.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-11 17:20:58-03","UFPR","UPCB","92884","PreservedSpecimen","Plantae",NA,"Orchidaceae","Octomeria","alexandri","Octomeria alexandri","Schltr.","Santos, T.F.","Santos, T.F.","116","2016","03","12","Brasil","Paraná","Paranaguá","-48.5092010498047","-25.5200004577637","24916","UPCB0037181","UPCB0037181","auto","2016",NA,"Floresta Estadual do Palmito",NA,NA,NA,NA,"Floresta ombrofila densa. Flores amarelas, com ápice das pétalas laterais vermelhos. Labelo trilobado, com lobos laterais avermelhados no ápice. Dois calos longitudinais avermelhados na base ao dentro do labelo","03",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-11 17:20:58-03","UFPR","UPCB","72385","PreservedSpecimen","Plantae",NA,"Orchidaceae","Octomeria","alexandri","Octomeria alexandri","Schltr.","Mancinelli, W.S.","Mancinelli, W.S.","1334","2010","11","03","Brasil","Santa Catarina","Garuva","-48.8549995422363","-26.0266990661621","22441","UPCB0037083","UPCB0037083","auto","2010",NA,"Serra Quiriri",NA,NA,"1100","1100","Epífita, flor amarelo com púrpura na margem das pétalas e do labelo..","11","03",NA,NA,NA,NA,NA,NA,NA
"9","2009-10-30 10:00:00-02","MO","MOBOT","2835187","PreservedSpecimen","Plantae",NA,"Orchidaceae","Octomeria","alexandri","Octomeria alexandri","Schltr.","C.A. Luer","Gwilym P. Lewis","Lewis 897","1981","12","19","Brazil","Bahia",NA,"-41.45","-12.5",NA,NA,NA,NA,NA,"South America","Mun. de Palmeiras, Morro do Pai Inácio km 224 da rodovia BR 242. Campo rupestre: on granitic rocks in partially shaded wood in gully with high rock walls.",NA,NA,"1030.00000000","1040.00000000",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"10","2020-08-31 09:19:42-03","INPA","INPA","259129","S","Plantae","Monocotyledon","Orchidaceae","Octomeria","alexandri","Octomeria alexandri","Schltr.","Toscano","Pereira, A","1757","1995","04","24","Brasil","Bahia","Palmeiras","-42.314661","-13.25",NA,"INPA0259129",NA,NA,NA,"Southern America","Pai Inácio., Topo do morro, próximo ao cruzeiro.","-42.314661","-13.25","1125","1125",NA,NA,NA,NA,"Asparagales",NA,NA,NA,NA,NA
"11","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","14015",NA,"Plantae",NA,"Orchidaceae","Octomeria","alexandri","Octomeria alexandri","Schltr.","W. Forster/Fev.2013","L. Kollmann; et al","3615","2001","04","25","Brasil","Espírito Santo","Santa Teresa","-40.530278","-19.971389",NA,"MBML014015",NA,NA,NA,NA,"Estação Biológica de Santa Lúcia","40W31'49","19S58'17",NA,NA,"Epífita caída.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","15022",NA,"Plantae",NA,"Orchidaceae","Octomeria","alexandri","Octomeria alexandri","Schltr.","W. Forster/Fev.2013","L. Kollmann; et al","4520","2001","09","05","Brasil","Espírito Santo","Santa Teresa","-40.530278","-19.971389",NA,"MBML015022",NA,NA,NA,NA,"Estação Biológica de Santa Lúcia","40W31'49","19S58'17",NA,NA,"Epífita em árvore caída. Flores amarelas.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","15890",NA,"Plantae",NA,"Orchidaceae","Octomeria","alexandri","Octomeria alexandri","Schltr.","W. Forster/Fev.2013","L. Kollmann; et al","5194","2001","12","12","Brasil","Espírito Santo","Santa Teresa","-40.553056","-19.9075",NA,"MBML015890","MBML015890",NA,NA,NA,"Reserva Biológica Augusto Ruschi - Nova Lombardia","40W33'11","19S54'27",NA,NA,"Epífita caída. Flores amarelas.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","17112",NA,"Plantae",NA,"Orchidaceae","Octomeria","alexandri","Octomeria alexandri","Schltr.","W. Forster/Fev.2013","R.R. Vervloet; et al","637","2002","08","01","Brasil","Espírito Santo","Santa Teresa","-40.553056","-19.9075",NA,"MBML017112",NA,NA,NA,NA,"Reserva Biológica Augusto Ruschi - Nova Lombardia","40W33'11","19S54'27",NA,NA,"Epífita, em galho caído, folhas amarelas com base do labelo vinho, vegetação esparsa, tipo capoeira, topo de morro, dossel aproximado de 12m.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","34",NA,"Plantae",NA,"Orchidaceae","Octomeria","alexandri","Octomeria alexandri","Schltr.","W. Forster/Fev.2013","H. Q. Boudet Fernandes","1176","1985","05","28","Brasil","Espírito Santo","Santa Teresa","-40.635556","-19.925556",NA,"MBML000034",NA,NA,NA,NA,"Country Club","40W38'8","19S55'32",NA,NA,"Epífita sobre tronco caído na mata a uns 20 m de base, flores com botões claros, heliófila.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-07-10 09:48:26-03","MBML","MBML-HERBARIO","53568",NA,"Plantae",NA,"Orchidaceae","Octomeria","alexandri","Octomeria alexandri","Schltr.","L. Kollmann/24-09-2018","A.D. Ferreira","377","2018","08","25","Brasil","Espírito Santo","Santa Teresa","-40.609514","-19.990989",NA,"MBML053568",NA,NA,NA,NA,"RPPN MACACO BARBADO. Trilha Radical","40W36'34,25","19S59'27,56",NA,NA,"Erva epífita em tronco caído no chão. Microflores amareladas de 1cm, quase transparente",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-02-04 10:29:38-03","UFRPE","HST","17899","PreservedSpecimen","Plantae",NA,"Orchidaceae","Octomeria","alexandri","Octomeria alexandri","Schltr.","A.L.V.Toscano de Brito","A.Pereira; J.Costa, E.Melo, M.C.Ferreira","PCD 1757","1995","04","24","Brasil","Bahia","Palmeiras","-41.471111","-12.457778",NA,"HST017899",NA,NA,NA,NA,"Pai Inácio","41W28'16''","12S27'28''","1125","1125","Erva rupícola; folhas simples, cilíndricas, crassas; inflorescência saindo da base da folha; botões florais verdes com tons vináceos; flores amarelo-pálido, às vezes, vináceas. Frequente.",NA,NA,NA,NA,NA,NA,NA,NA,NA
