"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","relatedCatalogItem","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount","verbatimLongitude","verbatimLatitude","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","02423639","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Myracrodruon","balansae","Myracrodruon balansae","(Engl.) Santin","C. L. Silva-Luz","C. L. Silva-Luz","332","2014","12","22","South America","Brazil","Rio Grande do Sul","Sao Francisco de Assis","Estrada de terra. Cerca de 18 km da Vila Kramer.","-55.1214","-29.46861","154","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2669612' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423639","NY02423639_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:28:56-03","NBC","NL-BOTANY","L.1051330","PreservedSpecimen","Plantae",NA,"Sapindales","Anacardiaceae","Astronium","balansae","Astronium balansae","Engl.",NA,"Unknown",NA,NA,NA,NA,"Southern America","Argentina",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1051330 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1051330","NL-L1051330","Magnoliopsidae","FHOw10724",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:28:56-03","NBC","NL-BOTANY","L.1051331","PreservedSpecimen","Plantae",NA,"Sapindales","Anacardiaceae","Astronium","balansae","Astronium balansae","Engl.",NA,"Unknown",NA,NA,NA,NA,"Southern America","Argentina",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1051331 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1051331","NL-L1051331","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:28:56-03","NBC","NL-BOTANY","U.1070289","PreservedSpecimen","Plantae",NA,"Sapindales","Anacardiaceae","Astronium","balansae","Astronium balansae","Engl.",NA,"Morel I",NA,"1945","11","12","Southern America","Argentina",NA,NA,"Gob. Formosa dep Pirane, pirane a 6km N.O.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1070289 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1070289","NL-U1070289","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:28:56-03","NBC","NL-BOTANY","U.1070290","PreservedSpecimen","Plantae",NA,"Sapindales","Anacardiaceae","Astronium","balansae","Astronium balansae","Engl.",NA,"Meyer T",NA,"1944","01","26","Southern America","Argentina",NA,NA,"Prov. de Corrientes dep. Capital Corrientes.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1070290 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1070290","NL-U1070290","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:28:56-03","NBC","NL-BOTANY","U.1070291","PreservedSpecimen","Plantae",NA,"Sapindales","Anacardiaceae","Astronium","balansae","Astronium balansae","Engl.",NA,"Krapovickas A",NA,"1945","01","07","Southern America","Argentina",NA,NA,"Gob Formosa dep Formosa mayos de Tierro.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1070291 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1070291","NL-U1070291","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:28:56-03","NBC","NL-BOTANY","U.1070292","PreservedSpecimen","Plantae",NA,"Sapindales","Anacardiaceae","Astronium","balansae","Astronium balansae","Engl.",NA,"Meyer T",NA,"1944","01","24","Southern America","Argentina",NA,NA,"Prov. de Corrientes dep. Capital Capital.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1070292 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1070292","NL-U1070292","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:28:56-03","NBC","NL-BOTANY","U.1070297","PreservedSpecimen","Plantae",NA,"Sapindales","Anacardiaceae","Astronium","balansae","Astronium balansae","Engl.",NA,"Lindeman JC; Pott A",NA,"1972","12","20","Southern America","Brazil",NA,NA,"Beira de estrada 56km de Santiago 94km de S. Borja.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1070297 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1070297","NL-U1070297","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:28:56-03","NBC","NL-BOTANY","WAG.1532673","PreservedSpecimen","Plantae",NA,"Sapindales","Anacardiaceae","Astronium","balansae","Astronium balansae","Engl.",NA,"Pedersen TM",NA,"1957","01","28","Southern America","Argentina",NA,NA,"Estancia,,Santa Teresa'', Dep Mburucuyá, prov Corrientes.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1532673 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1532673","NL-WAG1532673","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:29:02-03","NBC","NL-BOTANY","L.2267333","PreservedSpecimen","Plantae",NA,"Sapindales","Anacardiaceae","Myracrodruon","balansae","Myracrodruon balansae","(Engl.) Santin","Pell SK","Rojas T",NA,"1944","01","01","Southern America","Paraguay","Itapua",NA,"Paraguay, Encarnación, alto Paraná",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2267333 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2267333","NL-L2267333","Magnoliopsidae","L 0677431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 10:29:02-03","NBC","NL-BOTANY","L.2267282","PreservedSpecimen","Plantae",NA,"Sapindales","Anacardiaceae","Myracrodruon","balansae","Myracrodruon balansae","(Engl.) Santin","Pell SK","Pedersen TM",NA,"1967","12","28","Southern America","Argentina","Corrientes",NA,"Argentina, Prov. Corrientes, Dep. San Luis, Lomas de González",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2267282 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2267282","NL-L2267282","Magnoliopsidae","L 0677434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 10:29:02-03","NBC","NL-BOTANY","L.2267283","PreservedSpecimen","Plantae",NA,"Sapindales","Anacardiaceae","Myracrodruon","balansae","Myracrodruon balansae","(Engl.) Santin","Pell SK","Pedersen TM",NA,"1957","01","28","Southern America","Argentina","Corrientes",NA,"Argentina, Prov. Corrientes, Dep. Mburucuyá, Estancia 'Santa Teresa'",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2267283 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2267283","NL-L2267283","Magnoliopsidae","L 0677433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 10:29:02-03","NBC","NL-BOTANY","L.2267332","PreservedSpecimen","Plantae",NA,"Sapindales","Anacardiaceae","Myracrodruon","balansae","Myracrodruon balansae","(Engl.) Santin","Pell SK","Pedersen TM",NA,"1957","01","17","Southern America","Argentina","Corrientes",NA,"Argentina, Prov. Corrientes, Dep. Empedrado, Estancia 'La Yela'",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2267332 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2267332","NL-L2267332","Magnoliopsidae","L 0677432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 10:29:02-03","NBC","NL-BOTANY","L.2267334","PreservedSpecimen","Plantae",NA,"Sapindales","Anacardiaceae","Myracrodruon","balansae","Myracrodruon balansae","(Engl.) Santin","Pell SK","Rojas T",NA,"1944","01","01","Southern America","Paraguay","Itapua",NA,"Paraguay, Encarnación, alto Paraná",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2267334 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2267334","NL-L2267334","Magnoliopsidae","L 0677430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 10:59:02-03","ESALQ","ESA","17372","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Anacardiaceae","Myracrodruon","balansae","Myracrodruon balansae",NA,"Santim, D.","Santim, D.",NA,"1991","04","10",NA,"Brasil","São Paulo","Campinas",NA,"-47.060001373291","-22.8999996185303",NA,NA,NA,"ESA017372","ESA017372",NA,NA,"23900","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2015-07-02 14:00:13-03","JBP","HPL","355","S","Plantae",NA,NA,"Anacardiaceae","Myracrodruon","balansae","Myracrodruon balansae","(Engl.) Santin","V.C.Souza","H. Lorenzi","2632","2001","03","23",NA,"Brasil","RS","Unistalda","Coletado em terrreno elevado, pedregoso e bem drenado, comum na região.","-55.1503","-29.0472",NA,NA,NA,NA,NA,NA,NA,"23166","auto","2013","10","28",NA,NA,NA,NA,NA,NA
"17","2019-08-27 13:32:49-03","IAP","PACA-AGP","47307","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Astronium","balansae","Astronium balansae","Engl.","Emrich-Rambo","A. Schultz","625","1949",NA,NA,NA,"Brasil","RS","São Francisco de Assis",NA,"-55.1310997009277","-29.5503005981445",NA,NA,"EM PERIGO&nf;ster. SEM MATERIAL Habitat: in silva","PACA047307",NA,"Magnoliatae",NA,"48310","auto","1954","05","03",NA,NA,NA,NA,NA,NA
"18","2019-08-27 13:32:49-03","IAP","PACA-AGP","108942","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Astronium","balansae","Astronium balansae","Engl.","A. Sehenm","Sehnem, A.","12645","1971","12","20",NA,"Brasil","RS","São Leopoldo","culta um UNISINOS","-51.1472015380859","-29.7602996826172",NA,NA,"Habitat: arbor nativa in NW RS","PACA108942",NA,"Magnoliatae",NA,"10287","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-08-27 13:32:49-03","IAP","PACA-AGP","82113","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Astronium","balansae","Astronium balansae","Engl.","C. J. Steffen","C.J. Steffen",NA,"1986","02","03",NA,"Brasil","RS","São Leopoldo","Antiga Sede da UNISINOS","-51.1472015380859","-29.7602996826172",NA,NA,"EM PERIGO&nf;Árvore feminina. Habitat: cultivada Hábito: árvore","PACA082113",NA,"Magnoliatae",NA,"10287","auto","1986",NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-08-27 13:32:49-03","IAP","PACA-AGP","82114","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Astronium","balansae","Astronium balansae","Engl.","C. J. Steffen","C.J. Steffen",NA,"1986","02","04",NA,"Brasil","RS","São Leopoldo","Residência Conceicao","-51.1472015380859","-29.7602996826172",NA,NA,"EM PERIGO&nf;Árvore masculina. Habitat: cultivada Hábito: árvore","PACA082114",NA,"Magnoliatae",NA,"10287","auto","1986",NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-08-27 13:32:49-03","IAP","PACA-AGP","106849","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Astronium","balansae","Astronium balansae","Engl.","steffens, C.J.","Steffen, C.J.",NA,"1996","01","22",NA,"Brasil","RS","São Leopoldo","Unisinos","-51.1472015380859","-29.7602996826172",NA,NA,"Coleção Plantas Medicinais - Caixa 1","PACA106849",NA,"Magnoliatae",NA,"10287","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-08-27 13:32:49-03","IAP","PACA-AGP","51281","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Myracrodruon","balansae","Myracrodruon balansae","(Engl.) Santin","D. A. Santin","A. Spies",NA,"1951",NA,NA,NA,"Brasil","RS","Santa Rosa",NA,"-54.4813995361328","-27.8708000183105",NA,NA,"Habitat: In silva. Fenofase: fruto","PACA051281",NA,"Magnoliatae",NA,"19818","auto","1989","04","20",NA,NA,NA,NA,NA,NA
"23","2019-08-27 13:32:49-03","IAP","PACA-AGP","47445","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Myracrodruon","balansae","Myracrodruon balansae","(Engl.) Santin","D. A. Santin","A. Spies",NA,"1949",NA,NA,NA,"Brasil","RS","Santa Rosa","Campinas","-54.4813995361328","-27.8708000183105",NA,NA,"Habitat: In silva. Fenofase: estéril","PACA047445",NA,"Magnoliatae",NA,"19818","auto","1989","04","20",NA,NA,NA,NA,NA,NA
"24","2019-08-27 13:32:49-03","IAP","PACA-AGP","47460","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Myracrodruon","balansae","Myracrodruon balansae","(Engl.) Santin","D. A. Santin","A. Schultz","697","1950",NA,NA,NA,"Brasil","RS","São Francisco de Assis",NA,"-55.1310997009277","-29.5503005981445",NA,NA,"Habitat: In silva. Fenofase: fruto","PACA047460",NA,"Magnoliatae",NA,"48310","auto","1989","04","20",NA,NA,NA,NA,NA,NA
"25","2019-08-27 13:32:49-03","IAP","PACA-AGP","91378","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Myracrodruon","balansae","Myracrodruon balansae","(Engl.) Santin","L. O. Castro","R. Zaremba",NA,"1996","01","22",NA,"Brasil","RS","São Leopoldo","Novo Campus - Unisinos","-51.1472015380859","-29.7602996826172",NA,NA,"HASU 5348","PACA091378",NA,"Magnoliatae",NA,"10287","auto","1996","01","22",NA,NA,NA,NA,NA,NA
"26","2019-11-21 14:30:02-03","UFJF","CESJ","58022","PreservedSpecimen","Plantae","Angiosperma",NA,"Anacardiaceae","Myracrodruon","balansae","Myracrodruon balansae","(Engl.) Santin","A. Schinini","A. Di Giacomo","546","2001","12","10","América do Sul","Argentina","Prov. Formosa","Dep. Laishi","Reserva El Bagual",NA,NA,NA,NA,"Bosque. Arbol alto.","CESJ058022","CESJ058022",NA,NA,NA,NA,"2002",NA,NA,NA,NA,NA,NA,NA,NA
