"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","typeStatus","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","02239872","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Melicoccus","espiritosantensis","Melicoccus espiritosantensis","Acev.-Rodr.","D. A. Folli","6398","2009","08","27","South America","Brazil","Espírito Santo","Linhares","Reserva Natural Vale. Próximo à Porteira da estrada do Louro. 60 metros a beira do aceiro.","-40.05117","-19.09653","55","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2484197' target='other'> <mi>dwc_moreinfo</mi></a>","NY02239872","NY02239872_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:19:28-03","ESALQ","ESA","110659","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Melicoccus","espiritosantensis","Melicoccus espiritosantensis",NA,"Flores, T.B.","215.0","2009","08","27",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,NA,"ESA110659","ESA110659 ESA110659_v1 ESA110659_v2 ESA110659_v3","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:04:13-03","JBP","HPL","11448","S","Plantae",NA,NA,"Sapindaceae","Melicoccus","espiritosantensis","Melicoccus espiritosantensis","Acev.-Rodr.","T.B. Flores, J.S. Ciqueria & D. Folli","215","2009","08","27",NA,"Brasil","ES","Linhares","Coletado na Reserva Natural Vale do Rio Doce; Acero BR-101.","-40.0722","-19.3911",NA,NA,NA,NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-27 10:26:46-03","UFES","VIES","13437","S","Plantae",NA,NA,"Sapindaceae","Melicoccus","espiritosantensis","Melicoccus espiritosantensis","Acev.-Rodr.","Flores, T.B.; Ciqueira, J.S. & Folli, D.A.","215","2009","08","27",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale.","-40.0722007751465","-19.3910999298096",NA,NA,NA,"VIES013437","VIES013437","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2013-04-01 09:18:28-03","IPT","BCTW","19922","S","Plantae","Magnoliophyta",NA,NA,"Melicoccus","espiritosantensis","Melicoccus espiritosantensis","Acev.-Rodr.","Lorenzi, H.","22",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","Instituto Plantarum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-07-10 09:49:17-03","MBML","MBML-HERBARIO","43651",NA,"Plantae",NA,NA,"Sapindaceae","Melicoccus","espiritosantensis","Melicoccus espiritosantensis","Acev.-Rodr.","T.B. Flores; D. Folli & J.S. Ciqueria","215","2009","08","27",NA,"Brasil","Espírito Santo","Linhares","Reserva da CVRD, acero Br-101.","-40.0722007751465","-19.3910999298096",NA,NA,"Árvore com aproximadamente 40m alt., cálice e corola alvo-amarelo e indumento dentro da flor alvo. Pitombarana","MBML043651",NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-25 10:13:24-03","CVRD","CVRD","12483","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Melicoccus","espiritosantensis","Melicoccus espiritosantensis","Acev.-Rodr.","Folli, D.A.","6398","2009","08","27","América do Sul","BRASIL","ES","Linhares","Próximo á Porteira da estrada do Louro. 60 metros a beira do aceiro.","-40.051165","-19.096537","55",NA,"S 19°05'47,5 W 40°03'04,2 alt. 55 <ll>dwc_commonname:</ll> Pitombarana","CVRD012483",NA,NA,NA,"Magnoliopsida","Domingos A. Folli","2009","08","27","-40,051165","-19,096537","55",NA,NA,NA
"8","2021-02-25 10:13:24-03","CVRD","CVRD","11612","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Melicoccus","espiritosantensis","Melicoccus espiritosantensis","Acev.-Rodr.","Siqueira, G.S.","430","2008","08","25","América do Sul","BRASIL","ES","Linhares",NA,"-40.066223","-19.145554","43",NA,"<ll>dwc_commonname:</ll> Pitombarana","CVRD011612",NA,NA,NA,"Magnoliopsida","Geovane S. Siqueira","2008","08","25","-40,066223","-19,145554","43",NA,NA,NA
"9","2021-02-25 10:13:24-03","CVRD","CVRD","12509","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Melicoccus","espiritosantensis","Melicoccus espiritosantensis","Acev.-Rodr.","Flores, T.B.","215","2009","08","27","América do Sul","BRASIL","ES","Linhares","Próximo á Porteira da estrada do Louro. 60 metros a beira do aceiro.","-40.051165","-19.096537","55",NA,"S 19°05'47,5 W 40°03'04,2 alt. 55 <ll>dwc_commonname:</ll> Pitombarana","CVRD012509",NA,NA,NA,"Magnoliopsida","Domingos A. Folli","2009","08","27","-40,051165","-19,096537","55",NA,NA,NA
"10","2021-02-25 10:13:24-03","CVRD","CVRD","13181","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Melicoccus","espiritosantensis","Melicoccus espiritosantensis","Acev.-Rodr.","Folli, D.A.","6732","2010","10","12","América do Sul","BRASIL","ES","Linhares",NA,"-40.014719","-19.102398","30",NA,"<ll>dwc_commonname:</ll> Pitombarana","CVRD013181","CVRD013181",NA,NA,"Magnoliopsida","Domingos A. Folli","2010","10","12","-40,014719","-19,102398","30",NA,NA,NA
"11","2021-02-25 10:13:24-03","CVRD","CVRD","11611","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Melicoccus","espiritosantensis","Melicoccus espiritosantensis","Acev.-Rodr.","Folli, D.A.","6196","2008","08","25","América do Sul","BRASIL","ES","Linhares",NA,"-40.066223","-19.145554","43",NA,"<ll>dwc_commonname:</ll> Pitombarana","CVRD011611",NA,NA,NA,"Magnoliopsida","Domingos A. Folli","2008","08","25","-40,066223","-19,145554","43",NA,NA,NA
"12","2021-02-25 10:13:24-03","CVRD","CVRD","11986","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Melicoccus","espiritosantensis","Melicoccus espiritosantensis","Acev.-Rodr.","Folli, D.A.","6231","2008","11","20","América do Sul","BRASIL","ES","Linhares",NA,"-39.959684","-19.094777","34",NA,"<ll>dwc_commonname:</ll> Pitombarana","CVRD011986",NA,NA,NA,"Magnoliopsida","Domingos A. Folli","2008","11","20","-39,959684","-19,094777","34",NA,NA,NA
"13","2021-02-25 10:13:24-03","CVRD","CVRD","12485","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Melicoccus","espiritosantensis","Melicoccus espiritosantensis","Acev.-Rodr.","Siqueira, G.S.","476","2009","08","27","América do Sul","BRASIL","ES","Linhares","Próximo á Porteira da estrada do Louro. 60 metros a beira do aceiro.","-40.051165","-19.096537","55",NA,"S 19°05'47,5 W 40°03'04,2 alt. 55 <ll>dwc_commonname:</ll> Pitombarana","CVRD012485",NA,NA,NA,"Magnoliopsida","Domingos A. Folli","2009","08","27","-40,051165","-19,096537","55",NA,NA,NA
"14","2021-02-25 10:13:24-03","CVRD","CVRD","30","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Melicoccus","espiritosantensis","Melicoccus espiritosantensis","Acev.-Rodr.","Folli, D.A.","30","1978","08","17","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"<ll>dwc_commonname:</ll> Pitombarana","CVRD000030","CVRD000030","48094","auto","Magnoliopsida","Pedro Acevedo Rodriguez","2007","07","24",NA,NA,NA,"ISOTYPUS",NA,NA
"15","2021-02-25 10:13:24-03","CVRD","CVRD","15147","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Melicoccus","espiritosantensis","Melicoccus espiritosantensis","Acev.-Rodr.","Folli, D.A.","7296","2014","11","03","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096","46",NA,"<ll>dwc_commonname:</ll> Pitombarana","CVRD015147","CVRD015147","48094","auto","Magnoliopsida","Domingos A. Folli","2014","11","03",NA,NA,"46",NA,NA,NA
"16","2021-02-25 10:13:24-03","CVRD","CVRD","778","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Melicoccus","espiritosantensis","Melicoccus espiritosantensis","Acev.-Rodr.","Silva, I.A.","255","1981","08","18","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,"<ll>dwc_commonname:</ll> Pitombarana","CVRD000778","CVRD000778","48094","auto","Magnoliopsida","Pedro Acevedo Rodriguez","2007","07","24",NA,NA,NA,NA,NA,NA
"17","2021-02-25 10:13:24-03","CVRD","CVRD","13505","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Melicoccus","espiritosantensis","Melicoccus espiritosantensis","Acev.-Rodr.","Folli, D.A.","6803","2011","11","08","América do Sul","BRASIL","ES","Linhares","Aceiro Marco de ferro, lado da Fibria perto dos bambús","-40.0722007751465","-19.3910999298096",NA,NA,"<ll>dwc_commonname:</ll> Pitombarana","CVRD013505","CVRD013505","48094","auto","Magnoliopsida","Domingos A. Folli","2011","11","08",NA,NA,NA,NA,NA,NA
"18","2021-02-25 10:13:24-03","CVRD","CVRD","14216","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Melicoccus","espiritosantensis","Melicoccus espiritosantensis","Acev.-Rodr.","Folli, D.A.","6933","2012","10","29","América do Sul","BRASIL","ES","Sooretama","BR 101 a Sobradinho","-40.0978012084961","-19.1968994140625","92",NA,"<ll>dwc_commonname:</ll> Pitombarana","CVRD014216",NA,"33715","auto","Magnoliopsida","Domingos A. Folli","2012","10","29",NA,NA,"92",NA,NA,NA
"19","2020-09-12 05:00:02-03","US","US","3637637","PreservedSpecimen","Plantae",NA,"Sapindales","Sapindaceae","Melicoccus","espiritosantensis","Melicoccus espiritosantensis","Acev.-Rodr.","D. Folli","6398","2009","8","27","South America","Brazil","Espirito Santo",NA,"Linhares, Reserva Natural Vale, Próximo á Porteira da estrada do Louro, 60 metros a beira do aceiro. Aceiro BR 101 Jueirana","-40.0512","-19.0965","55",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"20","2020-09-12 05:00:02-03","US","US","3180509","PreservedSpecimen","Plantae",NA,"Sapindales","Sapindaceae","Melicoccus","espiritosantensis","Melicoccus espiritosantensis","Acev.-Rodr.","I. Silva","255","1985","8","18","South America - Neotropics","Brazil","Espírito Santo",NA,"Reserva Florestal da DVRD, Linhares","-40.07","-19.4",NA,NA,"NY, US","US00595376","US00595376_01",NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
