"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","yearIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","monthIdentified","dayIdentified","individualCount","fieldNumber","typeStatus","infraspecificEpithet"
"1","2021-04-05 14:33:22-03","UNESC","CRI","3937","PreservedSpecimen","Plantae","Calyceraceae","Acicarpha","tribuloides","Acicarpha tribuloides","Juss.","J. A. Jarenkow","J. A. Jarenkow","12017","1990","08","26","Brasil","Rio Grande do Sul","Pelotas","praia do laranjal.","-52.342778","-31.7725","52º20'34''W","31º46'21''S","17","17","Habitat: restinga","CRI006339","CRI006339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01131502","PreservedSpecimen","Plantae","Calyceraceae","Acicarpha","tribuloides","Acicarpha tribuloides","Juss.","L. B. Smith","L. B. Smith","7681","1956","11","17","Brazil","Santa Catarina","Bom Retiro","Fazenda Campos dos Padres","-49.4892","-27.7972",NA,NA,"1650","1650","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1275657' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131502","NY01131502_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","639170","PreservedSpecimen","Plantae","Calyceraceae","Acicarpha","tribuloides","Acicarpha tribuloides","Juss.","M. L. DeVore","M. H. Nee","50599","1999","11","25","Bolivia","Santa Cruz","Manuel María Caballero","7.5 km (by air) N of Comarapa, vicinity of Tinque Laguna","-64.53","-17.85",NA,NA,"2625","2625","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=372200' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639170",NA,"Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 02:39:00-03","NY","NYBG","639172","PreservedSpecimen","Plantae","Calyceraceae","Acicarpha","tribuloides","Acicarpha tribuloides",NA,NA,"A. M. R. Huidobro","3107","1946","11","29","Argentina","Entre Ríos",NA,"Dep. Paraná. Tezanos Pinto",NA,NA,NA,NA,NA,NA,"Plan Genera et Species Plantarum Argentinarum  <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=372202' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639172",NA,"Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01081477","PreservedSpecimen","Plantae","Calyceraceae","Acicarpha","tribuloides","Acicarpha tribuloides","Juss.","M. L. DeVore","B. Rambo","34944","1947","01","05","Brazil","Rio Grande do Sul","Bom Jesus","Fazenda B. Velho","-50.388347","-28.558459",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1228923' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081477","NY01081477_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","424026","PreservedSpecimen","Plantae","Calyceraceae","Acicarpha","tribuloides","Acicarpha tribuloides","Juss.","M. H. Nee","P. K. H. Dusén","7952","1909","04","10","Brazil","Paraná","Ponta Grossa","Ponta Grossa","-50.077154","-25.140873",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672568' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424026","NY00424026_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01157970","PreservedSpecimen","Plantae","Calyceraceae","Acicarpha","tribuloides","Acicarpha tribuloides","Juss.","M. H. Nee","B. C. Bennett","2677","1986","04","02","Peru","Puno","Sandia","Rio Awi-Awi, south side of valley","-69.53","-14.13",NA,NA,"3150","3150","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=562098' target='other'> <mi>dwc_moreinfo</mi></a>","NY01157970",NA,"Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","424027","PreservedSpecimen","Plantae","Calyceraceae","Acicarpha","tribuloides","Acicarpha tribuloides","Juss.","M. H. Nee","P. K. H. Dusén","10300","1910","10","17","Brazil","Paraná","Ponta Grossa","Ponta Grossa","-50.077154","-25.140873",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672569' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424027","NY00424027_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01131504","PreservedSpecimen","Plantae","Calyceraceae","Acicarpha","tribuloides","Acicarpha tribuloides","Juss.","E. P. Killip","W. A. Archer","4279","1936","10","31","Brazil","Rio Grande do Sul",NA,"In arroyo near Pelotas.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1275659' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131504","NY01131504_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01131500","PreservedSpecimen","Plantae","Calyceraceae","Acicarpha","tribuloides","Acicarpha tribuloides","Juss.",NA,"R. Reitz","2702","1948","12","22","Brazil","Santa Catarina","Bom Retiro","Campo dos Padres.","-49.4892","-27.7972",NA,NA,"1900","1900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1275654' target='other'> <mi>dwc_moreinfo</mi></a>","NY01131500","NY01131500_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
