"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","individualCount","occurrenceRemarks","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","year","month","day","verbatimLongitude","verbatimLatitude","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","fieldNumber"
"1","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","3747","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Koellensteinia","tricolor","Koellensteinia tricolor","(Lindl.) Rchb.f.","Maria Guadalupe","2016","05","30","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2230","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Koellensteinia","tricolor","Koellensteinia tricolor","(Lindl.) Rchb.f.","Carlos A. Ferreira Jr.","2008","04",NA,NA,"254","Carlos Alberto F. Jr.;","Brasil","Minas Gerais","Caeté","Morro do Serrote","-43.6697006225586","-19.8799991607666","22051","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2221","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Koellensteinia","tricolor","Koellensteinia tricolor","(Lindl.) Rchb.f.","Carlos A. Ferreira Jr.","2008","04",NA,NA,"254","Carlos Alberto F. Jr.;","Brasil","Minas Gerais","Caeté","Morro do Serrote","-43.6697006225586","-19.8799991607666","22051","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:27-03","FZB-BH","CVJBFZB","4218","S","Plantae",NA,NA,NA,"Orchidaceae","Koellensteinia","tricolor","Koellensteinia tricolor",NA,"Carlos Alberto Ferreira Júnior","2017","02","17","1","254","Lucas Assis; Kelen Soares","Brasil","Minas Gerais","Diamantina","Estrada Diamantina/Milho Verde","-43.6002998352051","-18.2493991851807","101169","auto","2017","02","17","7963931","23k 654907",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1031946","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Koellensteinia","tricolor","Koellensteinia tricolor","(Lindl.) Rchb.f.","G. A. Romero",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1189672' target='other'> <mi>dwc_moreinfo</mi></a>","H. S. Irwin","Brazil","Goiás","Cocalzinho de Goiás","25 km N. of Corumbá de Goiás on road to Niquelândia, in valley of Rio Corumbá. Serra dos Pirineus.","-48.77","-15.8",NA,NA,"1968","01","13",NA,NA,"18529","South America","1150","1150","sheet","NY01031946","NY01031946_01 NY01031946_02",NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1031947","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Koellensteinia","tricolor","Koellensteinia tricolor","(Lindl.) Rchb.f.","G. F. J. Pabst",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1189676' target='other'> <mi>dwc_moreinfo</mi></a>","W. R. Anderson","Brazil","Goiás","Corumbá de Goiás","Ca. 15 km N of Corumbá de Goiás; north slope of ridge","-48.80861","-15.78805",NA,NA,"1973","05","15",NA,NA,"10320","South America","1250","1250","sheet","NY01031947","NY01031947_01",NA
"7","2021-03-15 16:37:00-03","NY","NYBG","818243","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Koellensteinia","tricolor","Koellensteinia tricolor","(Lindl.) Rchb.f.","G. F. J. Pabst",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=858835' target='other'> <mi>dwc_moreinfo</mi></a>","W. R. Anderson","Brazil","Goiás","Cocalzinho de Goiás","Serra dos Pirineus, ca. 15 km N of Corumbá de Goiás; north slope of ridge","-48.80861","-15.7880556",NA,NA,"1973","05","15",NA,NA,"10320","South America","1250","1250","sheet","NY00818243","NY00818243_01",NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1031945","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Koellensteinia","tricolor","Koellensteinia tricolor","(Lindl.) Rchb.f.","G. F. J. Pabst",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1189580' target='other'> <mi>dwc_moreinfo</mi></a>","G. J. Shepherd","Brazil","Goiás","Teresina de Goiás","Estrada Alto Paraíso a Campo Belo, Km. 35","-47.2644","-13.7767",NA,NA,"1976","11","28",NA,NA,"3768","South America",NA,NA,"sheet","NY01031945","NY01031945_01",NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4038108","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Koellensteinia","tricolor","Koellensteinia tricolor","(Lindl.) Rchb.f.",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4343730' target='other'> <mi>dwc_moreinfo</mi></a>","K. J. Wurdack","Guyana","Cuyuni-Mazaruni",NA,"Imbaimadai, less than 1 km west of airfield.","-60.2978","5.7092",NA,NA,"2010","06","26",NA,NA,"5168X","South America",NA,NA,"sheet","NY04038108",NA,NA
"10","2021-03-30 12:52:48-03","EAO","IAN","131569","PreservedSpecimen","Plantae","Monocotiledônea",NA,NA,"Orchidaceae","Koellensteinia","tricolor","Koellensteinia tricolor","(Lindl.) Rchb.f.","Pabst, GFJ",NA,NA,NA,NA,"Planta com 40-50cm de altura; formando grupo denso. Flores alvas com fundo arroxeado; muito bonita","Barroso, GM","Brasil","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"518","Southern America","1800","1800",NA,"IAN131569",NA,NA
