"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","00886119","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","unica","Inga unica","Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","A. M. V. de Carvalho","4294","1993","07","27","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leão (IBAMA). ENtrada no km 46 da Rod. BA-001 Ilhéus/Una. Picada da Bandeira.","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986546' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886119","NY00886119_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","886118","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","unica","Inga unica","Barneby & J.W.Grimes","R. C. Barneby; J. W. Grimes","A. M. V. de Carvalho","4294","1993","07","27","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leão (IBAMA). ENtrada no km 46 da Rod. BA-001 Ilhéus/Una. Picada da Bandeira.","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986543' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886118","NY00886118_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00886117","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","unica","Inga unica","Barneby & J.W.Grimes","R. C. Barneby","J. R. Pirani","3016","1994","02","19","South America","Brazil","Espírito Santo","Conceiçao da Barra","Reserva Biológico do Córrego Grande (IBAMA), a 31 km de Pedro Canário (na Avenida Aracruz) e 6 km da Base do IBAMA.","-39.803704","-18.260749","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=986496' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886117","NY00886117_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","7502","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","unica","Inga unica","Barneby & J.W.Grimes",NA,"J. G. Jardim","108","1993","04","15","South America","Brazil","Bahia","Una","Reserva Biológica de Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. 15° 09' S, 39° 05 W.","-39.0833","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=242716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00007502","NY00007502_01 NY00007502_02","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:16:21-03","UFBA","ALCB","87060","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Inga","unica","Inga unica","Barneby & J.W.Grimes","Jardim, JG","Passos Júnior, LA; Passos Júnior, LA; Paixão, JL da; Braga, AJ; Jardim, JG; Santos, JA","871","2001","09","28","Southern America","Brasil","Bahia","Una","Litoral Sul, Reserva Biológica de Una, Trilha do Rio Maruim.","-39.0675","-15.167778",NA,"Indiv. nº 746. DAP. 5,5 cm Material estéril.; sob influência fluvial sazonal. (Projeto Mata Atlântica Nordeste - Subprojeto Estudos Ecológicos em Mata Ciliar no Sul da Bahia, REBIO de Una).","ALCB023382","ALCB023382",NA,"2001","10","-39.0675","-15.167778","40","40",NA,NA,NA,NA,NA,NA
"6","2021-03-24 17:09:10-03","UFES","SAMES","2471","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","unica","Inga unica","Barneby & J.W.Grimes","Chagas,A.P.","Ribeiro,M.; Rocha,T.L.;Oliveira,I.R.","299","2010","09","26",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. NULL.","-39.7322006225586","-18.5932998657227",NA,"Árvore de 4 metros de altura, fruto verde claro. Habitat: Floresta Alta de Tabuleiro, km 1 a 4 da estrada interna.","SAMES02471",NA,NA,"2014","07","-398050000.0","-182625000.0",NA,NA,"25","41644","auto",NA,NA,NA
"7","2021-03-24 17:09:10-03","UFES","SAMES","2467","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","unica","Inga unica","Barneby & J.W.Grimes","Chagas,A.P.","Lobão,A.Q.; Menezes,L.F.T.;Giaretta,A.O.;Figueiredo,D.D.","1461","2009","02","12",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta Alta de Tabuleiro.","-39.7322006225586","-18.5932998657227",NA,"Árvore, ca. 7m alt., raque da inflorescência verde, flores alvas.","SAMES02467",NA,NA,"2014","04","-398050000.0","-182625000.0",NA,NA,"25","41644","auto",NA,NA,NA
"8","2021-03-24 17:09:10-03","UFES","SAMES","2472","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","unica","Inga unica","Barneby & J.W.Grimes","Chagas,A.P.","Marcarini,L.; Ribeiro,M.;Coelho,R.","4","2011","08","20",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta alta sobre Tabuleiro, estrada Interna km 4.","-39.7322006225586","-18.5932998657227",NA,"Fruto verde em forma de espiral. Fruto e folhas com tricomas de textura macia. Habito: Árvore","SAMES02472",NA,NA,"2014","07","-398050000.0","-182625000.0",NA,NA,"25","41644","auto",NA,NA,NA
"9","2021-03-24 17:09:10-03","UFES","SAMES","2468","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","unica","Inga unica","Barneby & J.W.Grimes","Ribeiro,M.","Marcarini,L.; Ribeiro,M.;Coelho,R.","47","2012","01","12",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta de tabuleiro, Km 4 da estrada interna.","-39.7322006225586","-18.5932998657227",NA,"Árvore de 6m de altura, folhas jovens verde claro com tons avermelhados e com tricomas na duas faces, as folhas maduras possuem tricomas apenas na face abaxial, inflorescência verde claro.","SAMES02468",NA,NA,"2012","01","-398050000.0","-182625000.0",NA,NA,"12","41644","auto",NA,NA,NA
"10","2021-03-24 17:09:10-03","UFES","SAMES","2470","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","unica","Inga unica","Barneby & J.W.Grimes","Chagas,A.P.","Lobão,A.Q.; Giaretta,A.O.;Figueiredo,D.D.;Menezes,L.F.T.","1478","2009","02","12",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Na beira da estrada. Floresta alta de tabuleiro.","-39.7322006225586","-18.5932998657227",NA,"Árvore, ca. 4m alt., frutos imaturos verdes e maduros amarelos.","SAMES02470",NA,NA,"2014","07","-398050000.0","-182625000.0",NA,NA,"24","41644","auto",NA,NA,NA
