"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","individualCount","barcode","imagecode","phylum","typeStatus","decimalLongitude","decimalLatitude"
"1","2020-09-12 05:00:02-03","US","US","2026810","PreservedSpecimen","Plantae","Dicotyledonae","Scrophulariales","Acanthaceae","Justicia","bullata","Justicia bullata","(Nees) Profice","A. Macedo","3058","1951","1","21","South America - Neotropics","Brazil","Minas Gerais","Camarinhas, Municipio Ouro Preto, Estado Minas.","1","US02877803","US02877803_01",NA,NA,NA,NA
"2","2019-09-04 18:48:58-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Acanthaceae","Beloperone","bullata","Beloperone bullata",NA,"F. Sellow",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"Spermatophyta","Type [status unknown]","-52.8731","-10.8339"
"3","2017-09-11 17:06:34-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Acanthaceae","Beloperone","bullata","Beloperone bullata","Nees","Sellow, F","s.n.",NA,NA,NA,"Southern America","Brazil",NA,"In Brasilia, loco non adnotato",NA,NA,NA,NA,NA,NA,NA
