"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","individualCount","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","405347","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Mitranthes","pedicellata","Mitranthes pedicellata","Burret","isotype","F. C. Hoehne","33521","1935","06","11","South America","Brazil","São Paulo","Nativa no Jardim Botanico","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=282651' target='other'> <mi>dwc_moreinfo</mi></a>","NY00405347","NY00405347_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:15:04-03","ESALQ","ESA","19747","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Neomitranthes","pedicellata","Neomitranthes pedicellata","(Burret) Mattos",NA,"Tamashiro, J.Y. et al.","941.0","1995","05","08",NA,"Brasil","São Paulo",NA,"-46.439998626709","-22.7900009155273",NA,NA,"ESA019747","ESA019747","Kawasaki, M.L.","Pedra Bela","10848","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:36:56-03","UNICAMP","UEC","70674","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Neomitranthes","pedicellata","Neomitranthes pedicellata","(Burret) Mattos",NA,"Tamashiro, JY; et al.","941","1995","05","08",NA,"Brazil","São Paulo","Bairro do Lima.","-46.439998626709","-22.7900009155273",NA,"Árvore de 5 m, botões.","UEC020093","UEC020093","Souza, M","Pedra Bela","10848","auto","2009","01",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:36:56-03","UNICAMP","UEC","071000","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Neomitranthes","pedicellata","Neomitranthes pedicellata","(Burret) Mattos",NA,"Tamashiro, JY; Rodrigues, RR; Ivanauskas, NM; Belinello, R","958","1995","05","08",NA,"Brazil","São Paulo","Do outro lado da cidade em estrada de terra.","-46.439998626709","-22.7900009155273",NA,"Árvore de 5m, flores em botão.","UEC020425","UEC020425","Sobral, M","Pedra Bela","10848","auto","2005",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-10-14 10:03:37-03","FURB","FURB","2103","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Neomitranthes","pedicellata","Neomitranthes pedicellata","(Burret) Mattos",NA,"Tamashiro, J.Y.",NA,"1995","05","08",NA,"Brasil","São Paulo","Bairro do Lima.","-46.439998626709","-22.7900009155273",NA,NA,"FURB02589","FURB02589","Sobral, M","Pedra Bela","10848","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-10-14 10:03:37-03","FURB","FURB","2729","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Neomitranthes","pedicellata","Neomitranthes pedicellata","(Burret) Mattos",NA,"Tamashiro, J.Y.; et al.",NA,"1995","05","08",NA,"Brasil","São Paulo","Pedra Branca, do outro lado da cidade, em estrada.","-46.6300010681152","-23.5400009155273",NA,NA,"FURB33864","FURB33864","Sobral, M","São Paulo","53584","auto","2006","06","05",NA,NA,NA,NA,NA,NA
"7","2008-05-27 22:02:00-03","MO","MOBOT","1939405","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Mitranthes","pedicellata","Mitranthes pedicellata","Burret","Isotype","F.C. Hoehne","Hoehne 33521","1935","6","11","South America","Brazil","São Paulo","São Paulo (Capital), nativa no Jardim Botanico.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","2579743","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Mitranthes","pedicellata","Mitranthes pedicellata","Burret","Isotype","F. C. Hoehne","33521","1935","6","11","South America - Neotropics","Brazil","São Paulo","Sao Paulo, Jardin Botanico.",NA,NA,NA,NA,"US00117704","US00117704_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA,NA
"9","2021-03-16 18:32:00-03","USP","SPF","85752","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Mitranthes","pedicellata","Mitranthes pedicellata","Burret","isotype","Hoehne, FC","s.n.","1935","06","11",NA,"Brasil","São Paulo","Jardim Botânico de São Paulo, Nativa do Jardim Botânico.","-46.6300010681152","-23.5400009155273",NA,"Árvore; flores alvas.","SPF00085752","SPF00085752",NA,"São Paulo","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-13 11:27:20-03","USP","SPF","102882","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Neomitranthes","pedicellata","Neomitranthes pedicellata","(Burret) Mattos",NA,"Tamashiro, JY","958","1995","05","08",NA,"Brasil","São Paulo",NA,"-46.439998626709","-22.7900009155273",NA,NA,"SPF00102882",NA,"Sobral, M","Pedra Bela","10848","auto","2004",NA,NA,NA,NA,NA,NA,NA,NA
