"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","infraspecificEpithet"
"1","2021-04-05 14:26:11-03","UNESC","CRI","13568","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","uniflora","Symplocos uniflora","(Pohl) Benth.","Renato Colares & Aline Votri Guislon","2018","08","01","Lucas Oliveira; Guilherme Elias, Peterson Padilha & Robson dos Santos","2016","12","15","Brasil","Santa Catarina","Treviso","Dois dedos","-49.525","-28.511111","49º31'30''W","28º30'40''S","743","743","Habitat: Terrestre Habito: Arbóreo","CRI012175","CRI012175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:14-03","UNESC","CRI","11091","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","uniflora","Symplocos uniflora","(Pohl) Benth.","M. S. Silva",NA,NA,NA,"M. Verdi; B. Grosch & G. Klemz","2008","12","12","Brasil","Santa Catarina","Capão Alto",NA,"-50.512222","-27.9375","50º30'44''W","27º56'15''S",NA,NA,"Floresta Ombrófila Mista/Floresta Estacional Decidual","CRI007831","CRI007831","1165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:14-03","UNESC","CRI","3477","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","uniflora","Symplocos uniflora","(Pohl) Benth.","Marcos Sobral","1995","01","02","Robson dos Santos; Clair Maria Martinello","1994","11","12","Brasil","Santa Catarina","Praia Grande","Próximo ao rio.","-49.9475","-29.195","49º56'51''W","29º11'42''S","47","47","Habitat: mata atlântica Habito: arbusto","CRI007832","CRI007832","158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:14-03","UNESC","CRI","4475","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","uniflora","Symplocos uniflora","(Pohl) Benth.","Valdemar Boff","1996","01","10","Valdemar Boff","1996","01","10","Brasil","Santa Catarina","Fraiburgo","Taquarussu","-50.922222","-27.023333","50º55'20''W","27º1'24''S",NA,NA,"Botões e frutos verdes e roxos Habitat: Terrestre Habito: Arbórea","CRI012662","CRI012662",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:43:50-03","E","E","285301","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","padus","Symplocos padus",NA,NA,NA,NA,NA,"Sellow, Friedrich",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00285301 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285301",NA,NA,"syntype","E. Tropical South America","herbarium specimen of unspecif","BGBASE:293402",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:43:50-03","E","E","164048","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","uniflora","Symplocos uniflora",NA,NA,NA,NA,NA,"Pott, V.J.;","1989","12","14","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00164048 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00164048",NA,"1238",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:171610",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 16:00:00-03","NY","NYBG","486911","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","uniflora","Symplocos uniflora",NA,"B. Ståhl",NA,NA,NA,"R. Reitz","1965","12","14","Brazil","Paraná","Guarapuava","10 km ao oeste de Guarapuava","-51.5831495","-25.394435",NA,NA,"1100","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=611758' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486911","NY00486911_01","17647",NA,"South America","sheet",NA,"Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","486915","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","uniflora","Symplocos uniflora","(Pohl) Benth.","B. Ståhl",NA,NA,NA,"L. Riedel",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=611773' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486915","NY00486915_01","s.n.",NA,"South America","sheet",NA,"Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","486899","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","uniflora","Symplocos uniflora","(Pohl) Benth.","G. G. Hatschbach",NA,NA,NA,"R. Kummrow","1976","10","13","Brazil","Paraná","Lapa","Col. Mariental","-49.7156","-25.7697",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=611778' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486899","NY00486899_01","1167",NA,"South America","sheet",NA,"Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","486905","PreservedSpecimen","Plantae","Symplocaceae","Symplocos","uniflora","Symplocos uniflora","(Pohl) Benth.","B. Ståhl",NA,NA,NA,"L. Riedel","1821",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=611779' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486905","NY00486905_01",NA,NA,"South America","sheet",NA,"Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA
