"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","month","day","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","class","eventTime","individualCount","identifiedBy","yearIdentified","monthIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","228795","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Marcetia","luetzelburgii","Marcetia luetzelburgii","Markgr.","isotype","P. von Luetzelburg","170","1914","South America","Brazil","Bahia","Serra das Aluras","1700","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=705204' target='other'> <mi>dwc_moreinfo</mi></a>","NY00228795","NY00228795_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-09 11:20:11-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Marcetia","luetzelburgii","Marcetia luetzelburgii","Markgr.",NA,"Queiroz, LP de","6341","2000","Southern America","Brasil","Bahia","Chapada Diamantina, subida para o Pico das Almas: Campo de Queiroz",NA,NA,NA,"de ca. 50 cm alt., muito ramificado. Folhas coriáceas. Flores com hipanto e sépalas vináceas; pétalas e filetes roxos, anteras amarelas.",NA,NA,"08","23","Rio de Contas","-41.383333","-13.55","-41.383333","-13.55",NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:20:11-03","UFBA","ALCB","63951","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Marcetia","luetzelburgii","Marcetia luetzelburgii","Markgr.",NA,"Queiroz, LP de","6341","2000","Southern America","Brasil","Bahia","Chapada Diamantina, subida para o Pico das Almas: Campo de Queiroz",NA,NA,NA,"de ca. 50 cm alt., muito ramificado. Folhas coriáceas. Flores com hipanto e sépalas vináceas; pétalas e filetes roxos, anteras amarelas.","ALCB062137",NA,"08","23","Rio de Contas","-41.383333","-13.55","-41.383333","-13.55",NA,NA,NA,NA,NA,NA
"4","2014-10-14 15:56:54-03","BS","M","M-0165508","S","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Marcetia","luetzelburgii","Marcetia luetzelburgii","Markgr.","HOLOTYPE","Luetzelburg, P. von",NA,"1914",NA,"Brasil",NA,"Bahia, Marsalina. Rio Brumado Carrasco",NA,NA,NA,NA,"M0165508",NA,"07","31",NA,NA,NA,NA,NA,"Magnoliopsida","21:00",NA,NA,NA,NA
"5","2014-10-14 15:56:54-03","BS","M","M-0165509","S","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Marcetia","luetzelburgii","Marcetia luetzelburgii","Markgr.","ISOTYPE","Luetzelburg, P. von",NA,"1914",NA,"Brasil",NA,"Bahia, Serra Marsalina",NA,NA,NA,NA,"M0165509",NA,"07","31",NA,NA,NA,NA,NA,"Magnoliopsida","21:00",NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Marcetia","luetzelburgii","Marcetia luetzelburgii","Markgr.",NA,"Luetzelburg","170","1914","South America - Neotropics","Brazil","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,"1",NA,NA,NA
"7","2019-10-07 09:34:20-03","UEFS","HUEFS","48624","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Melastomataceae","Marcetia","luetzelburgii","Marcetia luetzelburgii","Markgr.",NA,"Queiroz, L.P.de","6341","2000",NA,"Brasil","Bahia","Subida para o Pico das Almas: campo de Queiroz.",NA,NA,NA,NA,"HUEFS0048624","HUEFS0048624","08","23","Rio de Contas","-41.383333","-13.55","41W23'","13S33'","Rosanae",NA,NA,"A.K.A.Santos","2002","02"
"8","2019-10-07 09:34:20-03","UEFS","HUEFS","106790","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Melastomataceae","Marcetia","luetzelburgii","Marcetia luetzelburgii","Markgr.",NA,"Santos, A.K.A.","837","2006",NA,"Brasil","Bahia","Estrada Mato Grosso-Catolés.","11608","11608",NA,NA,"HUEFS0106790","HUEFS0106790","03","01","Rio de Contas","-41.874444","-13.395833","41W52'28''","13S23'45''","Rosanae",NA,NA,NA,NA,NA
"9","2019-10-07 09:34:20-03","UEFS","HUEFS","111839","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Melastomataceae","Marcetia","luetzelburgii","Marcetia luetzelburgii","Markgr.",NA,"Santos, A.K.A.","860","2006",NA,"Brasil","Bahia","Pico das Almas. Leste do Campo Queiroz. Coletada a sombra de Grandes pedras (sobre as pedras).","1222","1222",NA,"Área pedregoa.","HUEFS0111839","HUEFS0111839","08","18","Rio de Contas","-41.753056","-13.442778","41W45'11''","13S26'34''","Rosanae",NA,NA,NA,NA,NA
"10","2019-10-07 09:34:20-03","UEFS","HUEFS","116766","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Melastomataceae","Marcetia","luetzelburgii","Marcetia luetzelburgii","Markgr.",NA,"Santos, A.K.A.","921","2006",NA,"Brasil","Bahia","Pico do Itoibira.","1930","1930",NA,NA,"HUEFS0116766","HUEFS0116766","12","14","Rio de Contas","-41.884722","-13.370833","41W53'5''","13S22'15''","Rosanae",NA,NA,NA,NA,NA
