"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","sex","class","relatedCatalogItem","individualCount","fieldNumber"
"1","2021-04-05 14:33:32-03","UNESC","CRI","13305","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata","(Cav.) Poir.","Peterson T. Padilha","2018","03","21","Alexandre Medeiros","2017","09","18","Brasil","Santa Catarina","Balneário Camboriú","Barra.","-48.637778","-27.001389","48º38'16''W","27º0'5''S","Coleta 658. Habitat: Terrestre Habito: Arbustivo","CRI011912","CRI011912",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:32-03","UNESC","CRI","6378","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata","(Cav.) Poir.",NA,NA,NA,NA,"José da Costa Sacco","1958","03","11","Brasil","Rio Grande do Sul","Pelotas","Retiro.","-52.359444","-31.776111","52º21'34''W","31º46'34''S",NA,"CRI003128","CRI003128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:32-03","UNESC","CRI","6380","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata","(Cav.) Poir.",NA,NA,NA,NA,"José da Costa Sacco","1959","05","22","Brasil","Rio Grande do Sul","Pelotas",NA,"-52.359444","-31.776111","52º21'34''W","31º46'34''S",NA,"CRI003125","CRI003125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","887271","PreservedSpecimen","Plantae","Fabaceae","Sesbania","marginata","Sesbania marginata","Benth.","G. P. Lewis",NA,NA,NA,"M. das G. Sajo","1988","07","06","Brazil","Mato Grosso do Sul","Corumbá","Porto Esperança.","-57.6531","-19.0094",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1091752' target='other'> <mi>dwc_moreinfo</mi></a>","NY00887271","NY00887271_01","Magnoliophyta","Fabales","s.n.","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 02:19:00-03","NY","NYBG","1182341","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata",NA,"F. T. Farruggia",NA,NA,NA,"E. P. Heringer","1982","12","08","Brazil","Goiás","Luziânia","Centro da cidade.","-47.9503","-16.2525",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401107' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182341","NY01182341_01","Magnoliophyta","Fabales","18495","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-11-01 14:11:00-02","NY","NYBG","605762","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata",NA,"R. Monteiro",NA,NA,NA,"G. F. J. Pabst","1964","09","29","Brazil","Rio de Janeiro",NA,"Guanabara, Restinga de Jacareguapá.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=241251' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605762","NY00605762_01","Magnoliophyta","Fabales","8251","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-30 02:18:00-03","NY","NYBG","1182176","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata",NA,"F. T. Farruggia",NA,NA,NA,"F. C. da Silva","1980","03","09","Brazil","Distrito Federal","Brasília","QNL Taguatinga Norte.","-47.9294","-15.7797",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399286' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182176","NY01182176_01","Magnoliophyta","Fabales","258","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-30 02:17:00-03","NY","NYBG","1182152","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata",NA,"F. T. Farruggia",NA,NA,NA,"A. Butzke","1995","11","20","Brazil","Rio Grande do Sul","Erechim","Aeroporto.","-52.2739","-27.6342",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399177' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182152","NY01182152_01","Magnoliophyta","Fabales","Herbara7957","South America","sheet","780","780",NA,NA,NA,NA,NA,NA,NA
"9","2016-09-30 02:18:00-03","NY","NYBG","1182177","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata",NA,"F. T. Farruggia",NA,NA,NA,"L. Pereira","1981","08","25","Brazil","Distrito Federal",NA,"Centro Olímpico da Univ. de Brasília próximo à rodovia L4 no Plano Piloto.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399288' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182177","NY01182177_01","Magnoliophyta","Fabales","2","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-11-01 14:11:00-02","NY","NYBG","605759","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata",NA,"R. Monteiro",NA,NA,NA,"J. da Costa Sacco","1958","03","11","Brazil","Rio Grande do Sul","Pelotas","Retiro. Aluviao do Arroio Pelotas.","-52.3422","-31.7719",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=241253' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605759","NY00605759_01","Magnoliophyta","Fabales","1014","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
