"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","typeStatus","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","585286","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","T. J. Killeen","T. J. Killeen","6260","1994","05","08","South America","Bolivia","Santa Cruz","José Miguel de Velasco","Reserva Florestal Bajo Paraguá","-61.6594","-14.5467","450","450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=222830' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01302942","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","G. P. Lewis","G. P. Lewis","1476","1987","03","12","South America","Brazil","Roraima","Boa Vista","Reserva Ecológica de Maracá, Campo/cerrado by base camp to right of estrada down to Rio Urariquera","-61.83","3.58",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1597121' target='other'> <mi>dwc_moreinfo</mi></a>","NY01302942","NY01302942_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01302943","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.",NA,"L. Coradin","5010","1981","11","26","South America","Brazil","Roraima","Boa Vista","Rodovia Boa Vista/Bonfim, km 88","-59.97","3.28","100",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1597289' target='other'> <mi>dwc_moreinfo</mi></a>","NY01302943","NY01302943_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01302944","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.",NA,"L. Coradin","5061","1981","11","28","South America","Brazil","Roraima","Boa Vista","Colônia do Cantá - Confiança, km 2","-60.6733","2.81972",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1597301' target='other'> <mi>dwc_moreinfo</mi></a>","NY01302944","NY01302944_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-28 16:40:00-03","NY","NYBG","585284","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum",NA,"N. Y. Sandwith","A. C. Smith","2323","1937","11","01","South America","Guyana",NA,NA,"Basin of Rupununi River: near mouth of Charwair Creek","-59.48333333","2.583333333",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=222829' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","585283","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","T. B. Cavalcanti","T. B. Cavalcanti","332","1989","02","26","South America","Brazil","Bahia","Rio de Contas","Rio de Contas - Jussiape, km 10","-41.75","-13.58","740","740","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=222831' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585283","NY00585283_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00982316","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","G. Pereira-Silva","B. M. T. Walter","1740","1992","07","09","South America","Brazil","Goiás","Uruaçu","Magem esquerda do Rio Tocantins; na fazenda Sao Lucas, apos a Fazenda Grotao e G. Z. apos Carvoaria. Bacia de inundação da UHE Serra da Mesa","-49.03","-14.05","430","430","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1103584' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982316","NY00982316_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01302945","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","H. S. Irwin","G. T. Prance","4118","1967","01","26","South America","Brazil","Roraima",NA,"Ipiranga, Rio Mucajaí, between Pratinha and Rio Apiau","-61.1802006","2.6780147",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1377818' target='other'> <mi>dwc_moreinfo</mi></a>","NY01302945","NY01302945_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","585285","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","E. P. Killip","J. M. Idrobo","643","1950","12","13","South America","Colombia","Vaupés",NA,"Mesa La Lindosa, cerrito a 15-20 km al sur de San José del Guaviare",NA,NA,"400","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=222828' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-10-21 17:05:00-02","NY","NYBG","76763","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum andinum","Benth.",NA,"R. Schultze-Kraft","48A/3-1","1987","03","17","South America","Colombia","Valle del Cauca",NA,"7 km SO de Sevilla vía a Paila Arriba","-75.97","4.27","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=383967' target='other'> <mi>dwc_moreinfo</mi></a>","NY00076763","NY00076763_01","andinum","type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
