"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","month","day","county","decimalLongitude","decimalLatitude","locality","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","class","verbatimLongitude","verbatimLatitude","monthIdentified","relatedCatalogItem","dayIdentified","fieldNumber","infraspecificEpithet","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","929340","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Galipea","jasminiflora","Galipea jasminiflora","(A.St.-Hil.) Engl.","P. Clausen","403","1838","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1040853' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929340","NY00929340_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01090473","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Galipea","jasminiflora","Galipea jasminiflora","(A.St.-Hil.) Engl.","R. de Castro","922","2004","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222544' target='other'> <mi>dwc_moreinfo</mi></a>","NY01090473","NY01090473_01","J. R. Pirani","02","23","Governador Valadares","-41.9492","-18.8511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","382444","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Galipea","jasminiflora","Galipea jasminiflora","(A.St.-Hil.) Engl.","L. Mautone","206","1977","South America","Brazil","Rio de Janeiro","sheet","L. Mautone on label <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332910' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382444","NY00382444_01","J. R. Pirani","08","17","Rio de Janeiro","-43.2075","-22.9031","Urca, Morro do Pao de Açucar.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","382446","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Galipea","jasminiflora","Galipea jasminiflora","(A.St.-Hil.) Engl.","H. S. Irwin","19139","1968","South America","Brazil","Goiás","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332904' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382446","NY00382446_01","R. S. Cowan","01","24","Cocalzinho de Goiás","-48.6","-15.57","50 km N. of Corumbá de Goiás on road to Niquelândia, Goiás in valley of Rio Maranhao. Serra dos Pirineus","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","382443","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Galipea","jasminiflora","Galipea jasminiflora","(A.St.-Hil.) Engl.","I. A. Rodrigues","172","1977","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332909' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382443","NY00382443_01","J. R. Pirani","08","29","Rio de Janeiro","-43.2075","-22.9031","Morro Covanca, Reserva IBDF Floresta Três Rios.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","382705","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Galipea","jasminiflora","Galipea jasminiflora","(A.St.-Hil.) Engl.","W. Hoehne",NA,"1950","South America","Brazil","São Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332925' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382705","NY00382705_01",NA,"03","13","Campinas","-47.06","-22.9","Campinas. Mata do Bosque dos Jequitibás.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","331143","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Galipea","jasminiflora","Galipea jasminiflora","(A.St.-Hil.) Engl.","D. F. Pereira","167","1992","South America","Brazil","São Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=582923' target='other'> <mi>dwc_moreinfo</mi></a>","NY00331143","NY00331143_01","J. A. Kallunki","07","22","Sao José do Rio Pardo","-46.88","-21.5903","Sao José do Rio Pardo, Fazenda Tubaca, Margem do Rio Pardo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","382441","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Galipea","jasminiflora","Galipea jasminiflora","(A.St.-Hil.) Engl.","J. R. Pirani","1036","1985","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332916' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382441","NY00382441_01","J. A. Kallunki","01","10","Conceiçao de Macabu","-41.8681","-22.0856","Km 123 da BR 101, a 62 km de Campos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","929306","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Galipea","jasminiflora","Galipea jasminiflora","(A.St.-Hil.) Engl.","G. F. J. Pabst","3570","1957","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034501' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929306","NY00929306_01","R. S. Cowan","03","31","Paraopeba","-44.4042","-19.2744","Near Paraopeba river, S. Francisco Basin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","382437","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Galipea","jasminiflora","Galipea jasminiflora","(A.St.-Hil.) Engl.","W. Hoehne","15252","1954","South America","Brazil","São Paulo","sheet","Number given here as collection number is probably an SPF herbarium number <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332923' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382437","NY00382437_01",NA,"02","12","Limeira","-47.4","-22.56","Prx. Limeira. Mata de S.A.F.B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","382447","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Galipea","jasminiflora","Galipea jasminiflora","(A.St.-Hil.) Engl.","H. S. Irwin","30588","1971","South America","Brazil","Minas Gerais","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332905' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382447","NY00382447_01","R. C. Kaastra","01","17",NA,NA,NA,"Ca. 34 km E of Belo Horizonte, road (BR-31) to Rocas Vovas. Serra do Espinhaço. Gallery woods, near riacho.","1500","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","382442","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Galipea","jasminiflora","Galipea jasminiflora","(A.St.-Hil.) Engl.","A. M. Giulietti","998","1979","South America","Brazil","São Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332914' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382442","NY00382442_01","J. A. Kallunki","11","09","Anhembi","-48.1469","-22.6647","Anhembi. Fazenda Barreiro Rico.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","382445","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Galipea","jasminiflora","Galipea jasminiflora","(A.St.-Hil.) Engl.","Schott","471444",NA,"South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332924' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382445","NY00382445_01",NA,NA,NA,"Rio de Janeiro","-43.448386","-22.913514","Cap. Rio Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","382436","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Galipea","jasminiflora","Galipea jasminiflora","(A.St.-Hil.) Engl.","E. Kühn",NA,"1967","South America","Brazil","São Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=332907' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382436","NY00382436_01","W. Mantovani","03","09","Moji-Guaçu","-47.164784","-22.242395","Nativa na Estaçao Experimental e Biologica, Fazenda Campininha.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
