"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","monthIdentified","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01055358","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","decumbens","Galactia decumbens","(Benth.) Chodat & Hassl.","R. C. Barneby; J. W. Grimes","H. S. Irwin","26758","1970","03","02","South America","Brazil","Minas Gerais","Corinto","Ca. 15 km W of Corinto, near Minas Gerais","-44.5792","-18.33865","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141389' target='other'> <mi>dwc_moreinfo</mi></a>","NY01055358","NY01055358_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","594945","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","decumbens","Galactia decumbens","(Benth.) Chodat & Hassl.","R. H. Fortunato","S. Tsugaru","B-2251-bis","1987","12","02","South America","Brazil","São Paulo","Sao Roque","Bairro Caete; 50 km W from Sao Paulo","-47.13","-23.5203","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=514120' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594945","NY00594945_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-11-01 14:50:00-02","NY","NYBG","601429","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","decumbens","Galactia decumbens",NA,"W. Mantovani","I. Mimura","609","1967","11","22","South America","Brazil","São Paulo","Sao José dos Campos","Parte superior da encosta leste do vale do Córrego da Ressaca, 6-6 1/2 km ao SW (ao longo da Rodovia Pres. Dutra) da saída para Sâo José dos Campos, 100-500 m ao lado SE da rodovia","-45.88","-23.1703","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33717' target='other'> <mi>dwc_moreinfo</mi></a>","NY00601429","NY00601429_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","594943","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","decumbens","Galactia decumbens","(Benth.) Chodat & Hassl.","R. H. Fortunato","A. C. Cervi","2080","1982","10","06","South America","Brazil","Paraná","Ponta Grossa","Vila Velha","-50.012929","-25.234872",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=514121' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594943","NY00594943_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","601430","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","decumbens","Galactia decumbens","(Benth.) Chodat & Hassl.","H. S. Irwin","D. O. Norris","285","1964","05","27","South America","Brazil","São Paulo","Araraquara","Near village of Motuca, 11 km NW of Rincâo","-48.1697","-21.7903",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33720' target='other'> <mi>dwc_moreinfo</mi></a>","NY00601430","NY00601430_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01055382","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","decumbens","Galactia decumbens","(Benth.) Chodat & Hassl.","R. S. Cowan","H. S. Irwin","2528","1959","01","31","South America","Brazil","Minas Gerais","Uberlândia","27 km SE of Uberlândia on road to Altos Campos [Campos Altos]","-48.2769","-18.9186",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141386' target='other'> <mi>dwc_moreinfo</mi></a>","NY01055382","NY01055382_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-11-01 14:50:00-02","NY","NYBG","601432","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","decumbens","Galactia decumbens",NA,NA,"W. Hoehne","s.n.","1949","04","01","South America","Brazil","São Paulo","Sao Paulo","Sâo Paulo, S.P. Brooklyn Paulista","-46.680951","-23.621551",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33724' target='other'> <mi>dwc_moreinfo</mi></a>","NY00601432","NY00601432_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","601435","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","decumbens","Galactia decumbens","(Benth.) Chodat & Hassl.","R. C. Barneby","W. W. Thomas","5845","1988","02","11","South America","Brazil","Minas Gerais","Unaí","20 km S of Unaí on road to Paracatú (MG 188)","-46.88","-16.53",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33719' target='other'> <mi>dwc_moreinfo</mi></a>","NY00601435","NY00601435_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-11-01 14:50:00-02","NY","NYBG","601431","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","decumbens","Galactia decumbens",NA,NA,"W. Hoehne","s.n.","1948","11","29","South America","Brazil","São Paulo","Sao Paulo","Sâo Paulo, S.P. Brooklyn Paulista","-46.680951","-23.621551",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33723' target='other'> <mi>dwc_moreinfo</mi></a>","NY00601431","NY00601431_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-11-01 14:50:00-02","NY","NYBG","601433","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","decumbens","Galactia decumbens",NA,NA,"L. Riedel","1574","1833","11",NA,"South America","Brazil",NA,NA,"Mugy",NA,NA,NA,NA,"sheet","Recd Sept 1892 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=33722' target='other'> <mi>dwc_moreinfo</mi></a>","NY00601433","NY00601433_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-11-02 15:19:00-02","NY","NYBG","01055383","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Galactia","decumbens","Galactia decumbens",NA,"R. H. Fortunato","T. A. B. Dias","120","1992","05","20","South America","Brazil","Distrito Federal","Brasília","3 km. ao sul da ponte sobre o Rio Sao Bartolomeu; na DF-250. Entrada a 500 metros desta.","-47.68","-15.73","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141399' target='other'> <mi>dwc_moreinfo</mi></a>","NY01055383","NY01055383_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
