"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","barcode","imagecode","continentOcean","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","class","order","individualCount","phylum","typeStatus"
"1","2015-07-02 14:01:06-03","JBP","HPL","1914","S","Plantae","Begoniaceae","Begonia","santoslimae","Begonia santoslimae","E.R. Salviani & H. Lorenzi","554","1999","10","27","Brasil","RJ","Rio de Janeiro","Coletado sob cultivo no Sítio R. Burle Marx.","-43.2075","-22.9028","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:01:06-03","JBP","HPL","1925","S","Plantae","Begoniaceae","Begonia","santos-limae","Begonia santos-limae","E.R. Salviani & H. Lorenzi","462","1999","08","19","Brasil","ES","D. Martins","Morro Kautze.",NA,NA,NA,NA,"Brade","E.R. Salviani & H. Lorenzi","1999","08","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:01:06-03","JBP","HPL","1924","S","Plantae","Begoniaceae","Begonia","santos-limae","Begonia santos-limae","H. Lorenzi","2377","2000","09","01","Brasil","SP","Nova Odessa","Instituto Plantarum, coleção de begonias, canteiro 81, origem Domingos Martins-ES.","-47.29","-22.77","8440","auto","Brade","H. Lorenzi","2000","09","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-06 19:29:18-03","UFES","VIES","36225","S","Plantae","Begoniaceae","Begonia","santoslimae","Begonia santoslimae","Freitas, V.C.; Turma de Taxonomia Experimental 2018","37","2018","05","11","Brasil","Espírito Santo","Domingos Martins","Reserva Kautsky.","-40.663056","-20.374444",NA,NA,"Brade",NA,NA,NA,NA,"40º39'47''W","20º22'28''S","VIES036225","VIES036225",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-04-27 16:08:55-03","UFES","VIES","5059","S","Plantae","Begoniaceae","Begonia","santoslimae","Begonia santoslimae","Fernandes, H.Q.B.","2959","1990","05","28","Brasil","Espírito Santo","Ibiraçu",NA,"-40.369701385498","-19.8318996429443","13709","auto","Brade","Kollmann, L.J.C.","2007","04","04",NA,NA,"VIES005059","VIES005059",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 09:29:45-03","UFRRJ","RBR","39425","S","Plantae","Begoniaceae","Begonia","santoslimae","Begonia santoslimae","I.G. Costa","419","2014","04","18","Brasil","Rio de Janeiro","Cardoso Moreira","Fazenda Santa Rita, Serra da Bandeira.","-41.6156005859375","-21.4883003234863","24769","auto","Brade","L. Kollmann","2014","04","18",NA,NA,"RBR00039425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 09:29:45-03","UFRRJ","RBR","35402","S","Plantae","Begoniaceae","Begonia","santoslimae","Begonia santoslimae","R.A. Engelmann; L. Kollmann","813","1998","11","12","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica de Caixa d#?#água","-40.6002998352051","-19.9356002807617","23813","auto","Brade","E.L. Jacques","1998","11",NA,NA,NA,"RBR00035402",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:18:03-03","MBM","MBM","160580","PreservedSpecimen","Plantae","Begoniaceae","Begonia","santos-limae","Begonia santos-limae","Hatschbach, G.; Cervi, A.C.; Silva, J.M.; Cervi, A.C.; Silva, J.M.","57947","1992","10","11","Brazil","Espírito Santo","Domingos Martins","Domingos Martins","-40.6591987609863","-20.3633003234863","48150","auto","Brade","Jacques, E.L.",NA,NA,NA,NA,NA,"MBM160580","MBM160580","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:18:03-03","MBM","MBM","156203","PreservedSpecimen","Plantae","Begoniaceae","Begonia","santos-limae","Begonia santos-limae","Hatschbach, G.; Cervi, A.C.; Silva, J.M.; Cervi, A.C.; Silva, J.M.","57947","1992","10","11","Brazil","Espírito Santo","Domingos Martins","Domingos Martins","-40.6591987609863","-20.3633003234863","48150","auto","Brade","Jaques, E.L.",NA,NA,NA,NA,NA,"MBM156203","MBM156203","Southern America","= 160580",NA,NA,NA,NA,NA,NA,NA
"10","2020-07-10 09:43:57-03","MBML","MBML-HERBARIO","39469",NA,"Plantae","Begoniaceae","Begonia","kautskyana","Begonia kautskyana","L. Kollmann; A. Assis, T.F. Sagrillo & J. Sagrillo","11850","2010","01","14","Brasil","Espírito Santo","Aracruz","Picuã, propr. João Sagrillo","-40.329461","-19.893533",NA,NA,"Handro","L. Kollmann/14-01-2010",NA,NA,NA,"40W19'46,06","19S53'36,72","MBML039469","MBML039469_1 MBML039469_2",NA,"Erva rupícola na meia sombra, rizoma marrom, estípulas verde-avermelhado, peciolo verde, folhas verdes, face abaxial vináceas.","400","400",NA,NA,NA,NA,NA
