"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","individualCount","typeStatus","sex"
"1","2020-09-23 10:39:39-03","E","E","312542","PreservedSpecimen","Plantae","Gramineae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","Harley, R.M.; Hind, D.J.N.; Nic Lughadha, E.; Souza, V.C.; Sakuragui, C.M.; Ganev, W.","50440","1991","12","26","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:313472","<a href=http://data.rbge.org.uk/herb/E00312542 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00312542",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:39-03","E","E","221759","PreservedSpecimen","Plantae","Gramineae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","Sellow, F.",NA,NA,NA,NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:232234","<a href=http://data.rbge.org.uk/herb/E00221759 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00221759",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00862979","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","H. S. Irwin","20767","1968","02","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949658' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862979","Magnoliophyta","Poales","(Trin.) Döll","M. T. Stieber","Minas Gerais","Serra do Espinhaço, at Lapinha, ca. 18km N. of Sêrro on road (MG 2) to Diamantina.","-43.55","-18.55","1200","1200","NY00862979_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00862976","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","H. S. Irwin","10097","1965","11","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949649' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862976","Magnoliophyta","Poales","(Trin.) Döll","M. T. Stieber","Distrito Federal","3 km N. of Sobradinho","-47.8167","-15.60619","1225","1225","NY00862976_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-11-01 14:12:00-02","NY","NYBG","640685","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","B. J. Pickel","2573","1931","03","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239293' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640685","Magnoliophyta","Poales",NA,"M. A. Chase","Pernambuco","Bonito",NA,NA,NA,NA,"NY00640685_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00862978","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","H. S. Irwin","19732","1968","02","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949654' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862978","Magnoliophyta","Poales","(Trin.) Döll","M. T. Stieber","Minas Gerais","Serra do Itabirito, ca. 50 km S.E. of Belo Horizonte.","-43.73","-20.28","1500","1500","NY00862978_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","640690","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","R. M. Harley","15757","1974","01","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239298' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640690","Magnoliophyta","Poales","(Trin.) Döll",NA,"Bahia","16km. N. of Barra da Estiva on the Paraguacu road","-41.33","-13.33","1150","1150","NY00640690_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-10-28 17:54:00-02","NY","NYBG","00862984","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","J. R. Swallen","3765","1934","03","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949681' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862984","Magnoliophyta","Poales",NA,NA,"Maranhão","Barra do Corda to Grajahú",NA,NA,NA,NA,"NY00862984_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-10-28 17:54:00-02","NY","NYBG","00862958","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","M. A. Chase","8948","1925","03","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949677' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862958","Magnoliophyta","Poales",NA,NA,"Minas Gerais","Acaba Mundo. Serra do Curral, Southeast of Bello Horizonte",NA,NA,"900","1000","NY00862958_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00862954","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","H. S. Irwin","20348","1968","02","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949656' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862954","Magnoliophyta","Poales","(Trin.) Döll","M. T. Stieber","Minas Gerais","Serra do Cipó, ca. km. 105 (ca. 130km N. of Belo Horizonte).","-43.4","-19","1150","1150","NY00862954_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
