"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","identifiedBy","county","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00804736","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Barrosoa","apiculata","Barrosoa apiculata","(Gardner) R.M.King & H.Rob.","A. Gehrt","s.n.","1920","11","03","South America","Brazil","São Paulo","Ilha da Queimada Grande","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795972' target='other'> <mi>dwc_moreinfo</mi></a>","NY00804736","NY00804736_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00804740","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Barrosoa","apiculata","Barrosoa apiculata","(Gardner) R.M.King & H.Rob.","L. B. Smith","6345","1952","04","04","South America","Brazil","Rio de Janeiro","Distrito Federal: Praia de Sernambetiba (Recreio dos Bandeirantes)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795978' target='other'> <mi>dwc_moreinfo</mi></a>","NY00804740","NY00804740_01","-43.3469444","-23.0036111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1419202","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Barrosoa","apiculata","Barrosoa apiculata","(Gardner) R.M.King & H.Rob.","A. M. Amorim","6906","2007","02","11","South America","Brazil","Bahia","Serra de Itamaraju. Morro Pescoço. Aproximadamente 15 km da entrada da cidade","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1534778' target='other'> <mi>dwc_moreinfo</mi></a>","NY01419202","NY01419202_01","-39.6031","-16.9906","H. E. Robinson","Itamarajú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00804739","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Barrosoa","apiculata","Barrosoa apiculata","(Gardner) R.M.King & H.Rob.","L. B. Smith","1300","1928","11","21","South America","Brazil","Rio de Janeiro","Sea cliffs by Avenida Niemeyer, Rio de Janeiro.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795977' target='other'> <mi>dwc_moreinfo</mi></a>","NY00804739","NY00804739_01","-43.25","-22.98",NA,NA,"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00804737","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Barrosoa","apiculata","Barrosoa apiculata","(Gardner) R.M.King & H.Rob.","R. Ribeiro","202","1981","12","06","South America","Brazil","Rio de Janeiro","Arquipélago das Cagarras, Ilha redonda","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795974' target='other'> <mi>dwc_moreinfo</mi></a>","NY00804737","NY00804737_01","-43.2075","-22.9031",NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00804738","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Barrosoa","apiculata","Barrosoa apiculata","(Gardner) R.M.King & H.Rob.","A. C. Brade","15478","1936","11",NA,"South America","Brazil","Rio de Janeiro","Barra da Tijuca","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795976' target='other'> <mi>dwc_moreinfo</mi></a>","NY00804738","NY00804738_01","-43.369099","-22.995332",NA,"Barra de Tijuca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-11-19 15:43:22-03","UNEB","HUNEB","5849","PreservedSpecimen","Plantae","Angiospermae","Florideophycidae","Asteraceae","Eupatorium","apiculatum","Eupatorium apiculatum","Gard.","Conceição, A.S.","128HRB38927","1997","12","06",NA,"Brasil","Bahia","Parque Metropolitano de Pituacu",NA,"Secundária de Floresta Atlântica","HUNEB0005849",NA,"-38.416389","-12.945556",NA,"Salvador",NA,"Dicotyledoneae","38W24'59''","12S56'44''",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:34:41-03","EAO","IAN","73467","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Eupatorium","apiculatum","Eupatorium apiculatum","Gardner","Gardner, A","773",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,"IAN073467",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-01-14 15:24:07-03","MN","R","6228","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Eupatorium","apiculatum","Eupatorium apiculatum","Gardner","Glaziou, A.F.M.","99","1861","01","20",NA,"Brasil","Rio de Janeiro","Copacabana",NA,"Plantas do Brasil Central","R010049717","R010049717_001","-43.2075004577637","-22.9027996063232",NA,"Rio de Janeiro",NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA
"10","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0017564","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eupatorium","apiculatum","Eupatorium apiculatum","Gardner","A. Castellanos","24963","1964","4","25",NA,"Brazil","Rio de Janeiro","Guanabara, Rest. de Itapeba.",NA,NA,NA,NA,"-41.983333","-22.816667","G. Darrozo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-21 19:32:47-03","UFC","EAC","32","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Barrosoa","apiculata","Barrosoa apiculata","(Gardner) R.M.King & H.Rob.","Bezerra, P.","32","1939","02","08","Southern America","Brasil","Rio de Janeiro","Praia Vermelha, arredores da Escola Nacional de Ag, Morro&nf;Nota do EAC: observe que esse distrito federal não é o de Brasília, que foi fundada somente em 1960. O distrito nesse caso (da década de 30) refere-se ao estado do Rio de Janeiro.",NA,NA,"EAC0000032","EAC0000032",NA,NA,"Roque, N.",NA,NA,NA,NA,NA,NA,NA,"2016","11","24",NA,NA,NA,NA
"12","2021-03-21 19:32:47-03","UFC","EAC","39750","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Barrosoa","apiculata","Barrosoa apiculata","(Gardner) R.M.King & H.Rob.","Castro, A.S.F.","1832","2006","07","17","Southern America","Brasil","Ceará","Salgadinho",NA,"Erva, flor branca.; Caatinga","EAC0039750","EAC0039750","-38.6530990600586","-3.73610997200012","Quaresma, A.S.","Caucaia",NA,NA,NA,NA,"40484","auto","2014","05","23",NA,NA,NA,NA
"13","2021-03-21 19:32:47-03","UFC","EAC","33281","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Barrosoa","apiculata","Barrosoa apiculata","(Gardner) R.M.King & H.Rob.","Araújo, F.S.; Lima, J.R.","1418","2002","05","07","Southern America","Brasil","Ceará","RPPN Serra das Almas",NA,"Terófilo.","EAC0033281","EAC0033281","-40.6775016784668","-5.1783299446106","Quaresma, A.S.","Crateús",NA,NA,NA,NA,"43216","auto","2014","05","23",NA,NA,NA,NA
"14","2021-03-21 19:32:47-03","UFC","EAC","33282","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Barrosoa","apiculata","Barrosoa apiculata","(Gardner) R.M.King & H.Rob.","Araújo, F.S.; Lima, J.R.","1560","2002","06","20","Southern America","Brasil","Ceará","RPPN Serra das Almas",NA,"Teófilo.","EAC0033282","EAC0033282","-40.6775016784668","-5.1783299446106","Quaresma, A.S.","Crateús",NA,NA,NA,NA,"43216","auto","2014","05","23",NA,NA,NA,NA
