"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2021-04-05 14:33:47-03","UNESC","CRI","11353","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","oblongata","Myrcia oblongata","DC.","M. Verdi","M. Verdi; B.O. Boeni","6197","2012","02","10","Brasil","Rio Grande do Sul","Muitos Capões","Lajeado Bonito / PCH Lajeado Bonito.","-51.183889","-28.313611","51º11'2''W","28º18'49''S","927","927","Fom - Estepe Habito: arvoreta","CRI005410","CRI005410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:40-03","UNESC","CRI","14534","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","oblongata","Myrcia oblongata","DC.","Gasper, AL de","Stival-Santos, A.; Uller, H.F. & Silveira, S.","251","2008","12","12","Brasil","Santa Catarina","Anita Garibaldi","Pinheirinho.","-51.028611","-27.7175","51º1'43''W","27º43'3''S","820","820","Florística IFFSC 261 Habitat: Floresta Ombrófila Mista; comum no fragmento","CRI013582","CRI013582","2009","05","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:40-03","UNESC","CRI","14491","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","oblongata","Myrcia oblongata","DC.","Verdi, M","Verdi, M.; Hasckel, R.P. & Klemz, G.","1387","2009","01","23","Brasil","Santa Catarina","Anita Garibaldi","Lajeado dos Crespos. Lajeado dos Crespos.","-51.164167","-27.764167","51º9'51''W","27º45'51''S","575","575","Florística IFFSC 1000. Habitat: Floresta Estacional Decidual; Habito: flor branca","CRI013584","CRI013584","2009","01","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:40-03","UNESC","CRI","14492","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","oblongata","Myrcia oblongata","DC.","Verdi, M","Verdi, M.; Hasckel, R.P. & Klemz, G.","1830","2009","03","18","Brasil","Santa Catarina","Zortéa","Passo Raso. Passo Raso.","-51.613889","-27.494167","51º36'50''W","27º29'39''S","661","661","Florística IFFSC 1388. Habitat: Ecótono Floresta Estacional Decidual/Floresta Ombrófila Mista; Habito: Fruto roxo;","CRI013583",NA,"2009","03","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:41:54-03","E","E","112728","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","bombycina","Myrcia bombycina",NA,NA,"Pedersen, Troels M.","5415","1960","02","12","AR","Prov. de Corrientes","Dept. Santo Tomé","Estancia Garruchos, along the Arroyo Garabi.",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00112728 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00112728",NA,NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:133908",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","616027","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","bombycina","Myrcia bombycina","(O.Berg) Kiaersk.","L. R. Landrum","R. A. Wasum","5161","1989","01","11","Brazil","Rio Grande do Sul","Caxias do Sul","Ana Rech - Faxinal","-51.094927","-29.108528",NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=768100' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616027","NY00616027_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","616025","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","bombycina","Myrcia bombycina","(O.Berg) Kiaersk.",NA,"T. M. Pedersen","15746","1991","03","22","Brazil","Rio Grande do Sul","Santo Cristo","On road to Santa Rosa, by the bridge on the A°. Três Lajeados","-54.6628","-27.8242",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=768102' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616025","NY00616025_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","616016","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","bombycina","Myrcia bombycina","(O.Berg) Kiaersk.","B. Rambo","B. Rambo","35112","1946","01","10","Brazil","Rio Grande do Sul","Bom Jesus","Fazenda B. Velho, Bom Jesus","-50.388347","-28.558459",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=768096' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616016","NY00616016_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","616024","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","bombycina","Myrcia bombycina","(O.Berg) Kiaersk.","M. Sobral","M. Sobral","3525","1984","12","01","Brazil","Rio Grande do Sul","Nova Prata","André da Rocha, Nova Prata","-51.61","-28.7842",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=768086' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616024","NY00616024_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","616017","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","bombycina","Myrcia bombycina","(O.Berg) Kiaersk.","G. G. Hatschbach","G. G. Hatschbach","36613","1975","04","09","Brazil","Paraná","Laranjeiras do Sul","Passinho","-52.4158","-25.4081",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=768098' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616017","NY00616017_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA
