"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","identifiedBy","yearIdentified","monthIdentified","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","typeStatus","occurrenceRemarks","imagecode","coordinatePrecision","geoFlag","individualCount","order","minimumElevationInMeters","maximumElevationInMeters","class","dayIdentified"
"1","2021-04-08 17:44:41-03","EAO","IAN","76073","PreservedSpecimen","Plantae","Monocotiledônea","Araceae","Urospatha","edwallii","Urospatha edwallii","Engl.","Edwall, G","s.n.","Southern America","Brasil","IAN076073",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-01-14 15:23:13-03","MN","R","237453","PreservedSpecimen","Plantae",NA,"Araceae","Urospatha","edwallii","Urospatha edwallii","Engl.","Calazans, L.S.B.","593",NA,"Brasil","R010067165","Calazans, L.S.B.","2019","02","2016","03","20","Bahia","Barreiras","Cachoeira do Acaba-Vidas, margens do Rio de Janeiro","-45.6008333","-11.8927777","-45,6008333","-11,8927777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:23:13-03","MN","R","237454","PreservedSpecimen","Plantae",NA,"Araceae","Urospatha","edwallii","Urospatha edwallii","Engl.","Calazans, L.S.B.","594",NA,"Brasil","R010067164","Calazans, L.S.B.","2019","02","2016","03","20","Bahia","Barreiras","Cachoeira do Acaba-Vidas, margens do Rio de Janeiro","-45.6008333","-11.8927777","-45,6008333","-11,8927777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:23:13-03","MN","R","237455","PreservedSpecimen","Plantae",NA,"Araceae","Urospatha","edwallii","Urospatha edwallii","Engl.","Calazans, L.S.B.","595",NA,"Brasil","R010067160","Calazans, L.S.B.","2019","02","2016","03","20","Bahia","Barreiras","Cachoeira do Acaba-Vidas, margens do Rio de Janeiro","-45.6008333","-11.8927777","-45,6008333","-11,8927777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:23:13-03","MN","R","237456","PreservedSpecimen","Plantae",NA,"Araceae","Urospatha","edwallii","Urospatha edwallii","Engl.","Calazans, L.S.B.","596",NA,"Brasil","R010067161","Calazans, L.S.B.","2019","02","2016","03","20","Bahia","Barreiras","Cachoeira do Acaba-Vidas, margens do Rio de Janeiro","-45.6008333","-11.8927777","-45,6008333","-11,8927777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-01-14 15:23:13-03","MN","R","237457","PreservedSpecimen","Plantae",NA,"Araceae","Urospatha","edwallii","Urospatha edwallii","Engl.","Calazans, L.S.B.","607",NA,"Brasil","R010066134","Calazans, L.S.B.","2019","02","2016","05","05","São Paulo","Analândia","Cachoeira do Escorrega","-47.7097222","-22.1319445","-47,7097222","-22,1319445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:23:13-03","MN","R","237458","PreservedSpecimen","Plantae",NA,"Araceae","Urospatha","edwallii","Urospatha edwallii","Engl.","Calazans, L.S.B.","608",NA,"Brasil","R010066135","Calazans, L.S.B.","2019","02","2016","05","05","São Paulo","Analândia","Cachoeira do Escorrega","-47.7097222","-22.1319445","-47,7097222","-22,1319445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:23:13-03","MN","R","237459","PreservedSpecimen","Plantae",NA,"Araceae","Urospatha","edwallii","Urospatha edwallii","Engl.","Calazans, L.S.B.","628",NA,"Brasil","R010067163","Calazans, L.S.B.","2019","02","2016","06","03","Minas Gerais","Uberlândia","Anel Viário St. Sul, próximo ao Espaço Golf","-48.2658333","-18.9691667","-48,2658333","-18,9691667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-01-14 15:23:13-03","MN","R","237460","PreservedSpecimen","Plantae",NA,"Araceae","Urospatha","edwallii","Urospatha edwallii","Engl.","Calazans, L.S.B.","629",NA,"Brasil","R010067168","Calazans, L.S.B.","2019","02","2016","06","03","Minas Gerais","Uberlândia","Anel Viário St. Sul, próximo ao Espaço Golf","-48.2658333","-18.9691667","-48,2658333","-18,9691667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:23:13-03","MN","R","237461","PreservedSpecimen","Plantae",NA,"Araceae","Urospatha","edwallii","Urospatha edwallii","Engl.","Calazans, L.S.B.","630",NA,"Brasil","R010067156","Calazans, L.S.B.","2019","02","2016","06","03","Minas Gerais","Uberlândia","Anel Viário St. Sul, próximo ao Espaço Golf","-48.2658333","-18.9691667","-48,2658333","-18,9691667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
