"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","continentOcean","locality","coordinatePrecision","occurrenceRemarks","geoFlag","typeStatus"
"1","2021-03-16 08:05:17-03","MN","R","240013","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","olivifera","Rhipsalis olivifera","N.P. Taylor & Zappi","Cardoso, W.C.","2019","08","16","Cardoso, W.C.; Costa, F.G.C.M.; Assunção, T.S.","469","2019","08","16","Brasil","Rio de Janeiro","Silva Jardim","-42.270833","-22.494167","42°16'15''W","22°29'39''S","19","19","R010072051","R010072051",NA,NA,NA,NA,NA,NA,NA
"2","2019-11-21 14:33:08-03","UFJF","CESJ","61244","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","olivifera","Rhipsalis olivifera","N.P.Taylor e Zappi","D.Zappi","2004",NA,NA,"R.C. Forzza; I.SanMartin-Gajardo","2428","2003","08","24","Brasil","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,"CESJ061244",NA,"Angiosperma","América do Sul","Parque Nacional da Serra dos Órgãos, Trilha para a Pedra do Sino.","38539","Epífita, freqüente. Flores alvas passando a amarelas.","auto",NA
"3","2021-03-01 16:27:18-03","UNICAMP","UEC","109600","S","Plantae","Cactaceae","Rhipsalis","olivifera","Rhipsalis olivifera","N.P.Taylor & Zappi","Zappi, DC","1999",NA,NA,"Zappi, DC; Amaral, MCE; Costa, CB; Aona, LYS; Belinello, R","332","1999","11","18","Brazil","São Paulo","Cunha","-45.02","-23.236944","-45.02","-23.236944","1060","1250","UEC090888","UEC090888","Magnoliopsida",NA,"Parque Estadual da Serra do Mar, núcleo Cunha-Indaiá, trilha do Rio Bonito.",NA,"Epífita com cladódios espessos, verde-amarelados, opacos, frutos verdes truncados no ápice, cult., material em álcool. Com R. teres e H. salicornioides.; Mata atlântica no alto da serra, à beira da trilha.",NA,NA
"4","2021-03-01 16:27:18-03","UNICAMP","UEC","85551","S","Plantae","Cactaceae","Rhipsalis","olivifera","Rhipsalis olivifera","N.P.Taylor & Zappi","Zappi, DC","2001","08",NA,"Catharino, ELM; Esteves, GL; Rodrigues, EA; Shirasuna, RT","2039","1994","09","28","Brazil","São Paulo","Bananal","-44.45","-22.8","-44.45","-22.8",NA,NA,"UEC090886","UEC090886","Magnoliopsida",NA,"Serra da Bocaína",NA,"Epífita, planta robusta com mais de 2m de comprimento; corola creme-esverdeada, ás vezes rosadas; artículos fortemente ondulados.; Mata de encosta.",NA,NA
"5","2021-02-10 15:39:34-03","UFES","VIES","48693","S","Plantae","Cactaceae","Rhipsalis","olivifera","Rhipsalis olivifera","N.P.Taylor & Zappi","Cardoso, W.C.","2019","08","16","Cardoso, W.C.; Costa, F.G.C.M.; Assunção, T.S.","469","2019","08","16","Brasil","Rio de Janeiro","Silva Jardim","-42.270833","-22.494167","42º16'15''W","22º29'39''S","19","19","VIES048693","VIES048693",NA,NA,"Estrada para Aldeia Velha.",NA,NA,NA,NA
"6","2020-06-29 09:29:58-03","UFRRJ","RBR","46414","S","Plantae","Cactaceae","Rhipsalis","olivifera","Rhipsalis olivifera","N.P.Taylor & Zappi",NA,NA,NA,NA,"T.C. Alves","2","2019","04","29","Brasil","Rio de Janeiro","Teresópolis","-43.001389","-22.451389","43º0'5''W","22º27'5''S","1156","1156","RBR00046414","RBR00046414",NA,NA,"Serra dos Órgãos. PARNASO",NA,NA,NA,NA
"7","2020-06-15 15:29:46-03","UNESP-RC","HRCB","13833","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","olivifera","Rhipsalis olivifera","N.P.Taylor & Zappi",NA,NA,NA,NA,"Zappi, D.C.","255","1991","04","20","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"2000","2000",NA,NA,NA,NA,"Parque Nacional do Itatiaia",NA,"ramos verdes, avermelhados quando ao sol, pouco crenados , flores pequenas, em grupos de 1-3(4), frutos alvos, globosos",NA,NA
"8","2021-01-26 13:53:04-03","IMA","MAC","2002","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","olivifera","Rhipsalis olivifera","N.P.Taylor & Zappi","N.P.Taylor; Zappi",NA,NA,NA,"G.Martinelli","3318","1977","10","21","Brasil","Rio de Janeiro","Teresópolis","-42.975192","-22.416456","-42.975192","-22.416456",NA,NA,"MAC0002002","MAC0002002",NA,NA,"Parque Nacional da Serra dos orgãos, Caminho para Pedra da Serra.",NA,"Epífita. Flores passadas com corola, ovário verde róseo.",NA,"Isotype"
"9","2021-03-03 13:56:10-03","UFF","NIT","NIT182","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","olivifera","Rhipsalis olivifera","N.P.Taylor & Zappi","R.A.X. Borges",NA,NA,NA,"A. Lobão","1683","2011","09","24","Brasil","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,"NIT00000182",NA,NA,NA,"Parque Nacional da Serra dos Órgãos, sede, trilha para Pedra do Sino.","38539",NA,"auto",NA
"10","2019-11-13 11:17:24-03","USP","SPF","190063","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","olivifera","Rhipsalis olivifera","N.P.Taylor & Zappi","Anônimo",NA,NA,NA,"Calvente, AM","151","2005","11","21","Brasil","Rio de Janeiro","Nova Friburgo","-42.522444","-22.436083","-42.522444","-22.436083","1117","1117","SPF00190063",NA,NA,NA,NA,NA,NA,NA,NA
