"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","sex"
"1","2020-09-23 10:40:10-03","E","E","259602","PreservedSpecimen","Plantae","Labiatae","Salvia","lachnostachys","Salvia lachnostachys","possible type","Sellow, Friedrich","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:272502","<a href=http://data.rbge.org.uk/herb/E00259602 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259602",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00685450","PreservedSpecimen","Plantae","Lamiaceae","Salvia","lachnostachys","Salvia lachnostachys",NA,"R. Goldenberg","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=894910' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685450","Magnoliophyta","Lamiales","Benth.","E. P. dos Santos","705","2005","10","16","Paraná","Balsa Nova","Serra de São Luís do Purunã","-49.6356","-25.5842","NY00685450_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00527114","PreservedSpecimen","Plantae","Lamiaceae","Salvia","lachnostachys","Salvia lachnostachys",NA,"Y. Saito","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=126676' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527114","Magnoliophyta","Lamiales","Benth.","R. M. Harley","482","1964","10",NA,"Paraná",NA,"Sao Roque - Piraquara - PR (RVPSC)",NA,NA,"NY00527114_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00527118","PreservedSpecimen","Plantae","Lamiaceae","Salvia","lachnostachys","Salvia lachnostachys",NA,"L. B. Smith","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=126673' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527118","Magnoliophyta","Lamiales","Benth.","L. B. Smith","13726","1964","12","06","Santa Catarina","Campo Erê","6 km west of Campo Erê","-53.1","-26.37","NY00527118_01","900","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00527115","PreservedSpecimen","Plantae","Lamiaceae","Salvia","lachnostachys","Salvia lachnostachys",NA,"L. T. D. Dombrowski","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=126677' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527115","Magnoliophyta","Lamiales","Benth.","R. M. Harley","1656","1965","03","24","Paraná","Curitiba","Barigui - Curitiba.","-49.2731","-25.4281","NY00527115_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00527117","PreservedSpecimen","Plantae","Lamiaceae","Salvia","lachnostachys","Salvia lachnostachys",NA,"G. G. Hatschbach","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=126674' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527117","Magnoliophyta","Lamiales","Benth.","G. G. Hatschbach","22844","1969","11","05","Paraná","Sao José dos Pinhais","Rio Pequeno","-49.2064","-25.5347","NY00527117_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00527112","PreservedSpecimen","Plantae","Lamiaceae","Salvia","lachnostachys","Salvia lachnostachys",NA,"J. S. Buras","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=126671' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527112","Magnoliophyta","Lamiales","Benth.","O. A. Guimarães","11","1982","12","11","Paraná","Colombo","Terreno Boa Esperança, Rio Verde.","-49.2242","-25.2919","NY00527112_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00527134","PreservedSpecimen","Plantae","Lamiaceae","Salvia","lachnostachys","Salvia lachnostachys",NA,"M. L. Pereira","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=126678' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527134","Magnoliophyta","Lamiales","Benth.","R. M. Harley","374","1965","02",NA,"Paraná","Ponta Grossa","Lagoa Dourada. Pta. Grossa.","-50.048917","-25.240899","NY00527134_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00527113","PreservedSpecimen","Plantae","Lamiaceae","Salvia","lachnostachys","Salvia lachnostachys",NA,"R. Kummrow","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=126675' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527113","Magnoliophyta","Lamiales","Benth.","G. G. Hatschbach","1405","1980","12","18","Paraná","Curitiba","Cidade Industrial.","-49.2731","-25.4281","NY00527113_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00527111","PreservedSpecimen","Plantae","Lamiaceae","Salvia","lachnostachys","Salvia lachnostachys",NA,"P. K. H. Dusén","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=126679' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527111","Magnoliophyta","Lamiales","Benth.",NA,"13406","1911","11","15","Paraná","Curitiba","Curityba","-49.2731","-25.4281","NY00527111_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00527116","PreservedSpecimen","Plantae","Lamiaceae","Salvia","lachnostachys","Salvia lachnostachys",NA,"J. C. Lindeman","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=126672' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527116","Magnoliophyta","Lamiales","Benth.","J. C. Lindeman","2510","1966","09","24","Paraná",NA,"N. outskirts of Curitiba, towards Cruz Pelarzinho.",NA,NA,"NY00527116_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-13 09:20:02-03","UFRJ","RFA","19103","PreservedSpecimen","Plantae","Lamiaceae","Salvia","lachnostachys","Salvia lachnostachys",NA,"G.G. Hatschbach",NA,"Brasil",NA,NA,"Flor azul","RFA42897",NA,NA,"Benth.","G.G. Hatschbach","32742","1973","10","30","Paraná","Curitiba","Rio Atuba","-49.2731018066406","-25.4277992248535",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-12-04 15:25:19-03","PUCPR","HUCP","1394","S","Plantae","Lamiaceae","Salvia","lachnostachys","Salvia lachnostachys",NA,"Claudia, EE",NA,"Brasil",NA,NA,NA,"HUCP00012431!","Eudicotiledonea",NA,"Benth.","Hatschbach, GG","s.n.",NA,NA,NA,"Paraná","Curitiba",NA,"-49.2731018066406","-25.4277992248535",NA,NA,NA,"25180","auto","1982","09","28",NA,NA,NA,NA,NA,NA
"14","2020-02-08 09:32:54-03","NBC","NL-BOTANY","L.2870439","PreservedSpecimen","Plantae","Labiatae","Salvia","lachnostachys","Salvia lachnostachys",NA,"Hatschbach GG","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2870439 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2870439",NA,"Lamiales","Benth.",NA,NA,"1996","02","16",NA,NA,"Est: Parana (Brasil). Mun: Palmas. Gal. Carneiro.",NA,NA,"NL-L2870439",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"15","2020-02-08 09:32:54-03","NBC","NL-BOTANY","L.2870440","PreservedSpecimen","Plantae","Labiatae","Salvia","lachnostachys","Salvia lachnostachys",NA,"Hatschbach GG","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2870440 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2870440",NA,"Lamiales","Benth.",NA,NA,"1960","11","16",NA,NA,"Est: Parana. MUn: Campina ode. de Sul. Quatre- Barras.",NA,NA,"NL-L2870440",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"16","2020-02-08 09:32:54-03","NBC","NL-BOTANY","L.2870441","PreservedSpecimen","Plantae","Labiatae","Salvia","lachnostachys","Salvia lachnostachys",NA,"Sellow F","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2870441 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2870441",NA,"Lamiales","Benth.",NA,NA,NA,NA,NA,NA,NA,"Brasilia.",NA,NA,"NL-L2870441",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"17","2020-02-08 09:32:54-03","NBC","NL-BOTANY","U.1413586","PreservedSpecimen","Plantae","Labiatae","Salvia","lachnostachys","Salvia lachnostachys",NA,"Lindeman JC; Haas JH de","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1413586 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1413586",NA,"Lamiales","Benth.",NA,NA,"1966","01","13",NA,NA,"Est. Paraná. Curitiba, ruderal vegetation on hill behind Instituto de Biologia.",NA,NA,"NL-U1413586",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
