"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","typeStatus","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1016203","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","sororia","Scleria sororia","(Nees) Kunth","L. T. Eiten","G. Eiten","1533","1959","12","04","South America","Brazil","São Paulo","Moji-Guaçu","Campos das Sete Lagôas. Fazenda Campininha, just north of Rio Moji-Guaçu. 36.8 km N of Padua Sales. About 27 km NW of city of Moji-Mirim.","575","625","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142680' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016203","NY01016203_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-11-01 14:51:00-02","NY","NYBG","636671","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","sororia","Scleria sororia",NA,"C. F. S. Muniz","C. F. S. Muniz","178","1980","09","24","South America","Brazil","São Paulo","Moji-Guaçu","Pádua Sales, Reserva Biológica de Mogi-Guaçu.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=156650' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636671","NY00636671_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","636672","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria","sororia","Scleria sororia","(Nees) Kunth","C. F. S. Muniz","G. Eiten","2361","1960","09","20","South America","Brazil","São Paulo","Moji-Guaçu","Campos das Sete Lagôas. Fazenda Campininha, just north of Rio Moji-Guaçu. 2.8 km. NNW of Padua Sales. (About 27 km. NW of city Moji-Mirim.)","575","575","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=156651' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636672","NY00636672_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:15:02-03","NBC","NL-BOTANY","L 0042774","PreservedSpecimen","Plantae",NA,"Poales","Cyperaceae","Scleria","mexicana","Scleria mexicana","(Liebm.) Boeckeler",NA,"Smith HH",NA,"1898","01","01","Southern America","Colombia",NA,NA,"Santa Marta, United States of Colombia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200042774 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0042774","NL-L0042774","Magnoliopsidae","isosyntype","90989781",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:15:02-03","NBC","NL-BOTANY","U.1286337","PreservedSpecimen","Plantae",NA,"Poales","Cyperaceae","Scleria","mexicana","Scleria mexicana","(Liebm.) Boeckeler",NA,"Smith HH",NA,"1898","01","01","Southern America","Colombia",NA,NA,"Santa Marta, United States of Colombia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1286337 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1286337","NL-U1286337","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-02-15 11:38:54-02","IPA","IPA","1856","S","Plantae","Plantae",NA,"Cyperaceae","Scleria","mexicana","Scleria mexicana","(Liebm.) Boeckeler","Barros, M.","Andrade-Lima","50-638","1950","08","29","Southern America","Brasil","Pernambuco",NA,"Usina Capibaribe. Margem corr. Estrada para Pau Ferro.",NA,NA,NA,NA,"IPA0001856",NA,NA,NA,NA,"1956","08","05",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-02-15 11:38:54-02","IPA","IPA","65994","S","Plantae","Plantae",NA,"Cyperaceae","Scleria","mexicana","Scleria mexicana","(Liebm.) Boeckeler","Gallindo, F.","Mendes, A.P.; Rocha, E.A.; Settini, A.C.; Rocha, E.A.; Settini, A.C.","319","1996","10","23","Southern America","Brasil","Pernambuco","Cabo de Santo Agostinho","Gurjaú, açude.",NA,NA,NA,NA,"IPA0065994",NA,NA,NA,NA,"2013","08","13","-35.0349998474121","-8.28666973114014","25282","auto",NA,NA,NA,NA
"8","2019-11-27 13:48:00-03","UFS","ASE","12812","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cyperaceae","Scleria","sororia","Scleria sororia","Kunth","Eiten, LT","Eiten, G; Campos, SM","1533","1959","12","04","Southern America","Brasil","São Paulo","Moji Guaçu","Campos das Sete Lagoas, Fazenda Campininha, just north of Rio Moji Guaçu, ~6 km Padua Sales","575","625",NA,"Campo cerrado on upland (or ocasionally forest). Open marsh or dense secondary forest along streams. Near habitation. In clumps.; Campo cerrado on upland (or ocasionally forest). Open marsh or dense secondary forest along streams. Nea","ASE0011709","ASE0011709",NA,NA,NA,NA,NA,NA,"-47.119444","-22.188333",NA,NA,"-47.119444","-22.188333",NA,NA
"9","2019-08-20 10:00:11-03","UNICAMP","UEC","81453","S","Plantae","Liliopsida",NA,"Cyperaceae","Scleria","sororia","Scleria sororia","(Nees) Kunth","Muniz, CFS","Kinoshita, LS; Sciamarelli, A","94-63","1994","11","07",NA,"Brazil","São Paulo","Aguaí","Dentro da mata, local alagado.",NA,NA,NA,"Herbácea 80 cm, frutos avermelhados.","UEC075802","UEC075802",NA,NA,NA,"1999","06",NA,"-46.9700012207031","-22.0499992370605","25812","auto",NA,NA,NA,NA
"10","2021-03-18 10:22:02-03","UTFPR","HCF","9004","S","Plantae",NA,NA,"Cyperaceae","Scleria","sororia","Scleria sororia","Kunth","J. Cordeiro & E. Barboza","M.G. Caxambu","3189","2010","08","01",NA,"Brasil","TO","Mateiros","APA do Jalapão, arredores de Mateiros","479","479",NA,"erva ca. 1m, palustre. Sementes verdes.",NA,NA,NA,NA,NA,"2012",NA,NA,"-46.486889","-10.574778",NA,NA,"46°29'12,8 W","10°34'29,2 S",NA,NA
