"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","470209","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Loes.","L. Biral","L. P. de Queiroz","1750","1987","07","21","South America","Brazil","Bahia","Feira de Santana","11 km NW de Jaguara. Fazenda Monte Verde.","-39.1847","-12.0828","320","320","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=561839' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470209","NY00470209_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","470204","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Loes.","L. Biral","Grupo Pedra do Cavalo","502","1980","08","13","South America","Brazil","Bahia","Cachoeira","Morro Belo. Cachoeira/Bahia - Vale dos Rios. Paraguaçu e Jacuipe","-39.08","-12.53","40","120","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=561855' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470204","NY00470204_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-08-11 00:15:38-03","UFBA","ALCB","08387","PreservedSpecimen","Plantae","Dicotyledon",NA,"Celastraceae","Monteverdia","quadrangulata","Monteverdia quadrangulata","(Schrad.) Biral","Okano, RC","Grupo Pedra do Cavalo","502","1980","08","13","Southern America","Brasil","Bahia","Cachoeira","Recôncavo Sul, Vale dos rios Paraguaçu e Jacuípe. Morro Belo","-39.083333","-12.533333","80","80",NA,"Entre 3 e 4 m de altura. Ramificado desde a base. Flores alvas isoladas minúsculas com frutos.","ALCB036331","ALCB036331","1992","10","-39.083333","-12.533333",NA,NA,NA,NA,NA,NA
"4","2020-08-11 00:15:38-03","UFBA","ALCB","02364","PreservedSpecimen","Plantae","Dicotyledon",NA,"Celastraceae","Monteverdia","quadrangulata","Monteverdia quadrangulata","(Schrad.) Biral","Okano, RC","Pinto, GCP","s/n","1956",NA,NA,"Southern America","Brasil","Bahia","Santa Teresinha","Recôncavo Sul, Margem do Paraguaçú","-39.478889","-12.849722",NA,NA,NA,NA,"ALCB036330","ALCB036330","1992","10","-39.478889","-12.849722",NA,NA,NA,NA,NA,NA
"5","2020-08-11 00:15:38-03","UFBA","ALCB","06494","PreservedSpecimen","Plantae","Dicotyledon",NA,"Celastraceae","Monteverdia","quadrangulata","Monteverdia quadrangulata","(Schrad.) Biral","Okano, RC","Lordêlo, RP","s/n","1956","08",NA,"Southern America","Brasil","Bahia","Muritiba","Recôncavo Sul, Vale do Paraguaçú","-38.983333","-12.616667",NA,NA,NA,"Vegetação de areias na margem do rio","ALCB036329","ALCB036329","1992","10","-38.983333","-12.616667",NA,NA,NA,NA,NA,NA
"6","2020-08-11 00:15:38-03","UFBA","ALCB","07324","PreservedSpecimen","Plantae","Dicotyledon",NA,"Celastraceae","Monteverdia","quadrangulata","Monteverdia quadrangulata","(Schrad.) Biral","Guedes, ML","Queiroz, LP de; Guedes, ML","83","1981","01","21","Southern America","Brasil","Bahia","Maracás","Sudoeste, Faz. Tanquinho","-40.4308013916016","-13.4411001205444",NA,NA,NA,"Ca. 0,7 m de altura. Folhas coriáceas espenescentes. Flores em glomérulos axilares e frutos vistosos cor de abóbora.","ALCB036262","ALCB036262","2020","07",NA,NA,"07","50558","auto",NA,NA,NA
"7","2020-02-08 08:57:41-03","NBC","NL-BOTANY","U.1206073","PreservedSpecimen","Plantae",NA,"Celastrales","Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Loes.",NA,"Carvalho AMV de; et al.",NA,"1981","02","19","Southern America","Brazil",NA,NA,"Da Região Cacaueira da Bahia, Município de Feira de Santana. Rodovia Feira-Rio de Janeiro. Km 8. Margen do rio Jacuípe. Caatinga.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1206073 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1206073","NL-U1206073",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA
"8","2019-07-26 11:39:44-03","IPA","IPA","54256","S","Plantae","Plantae",NA,"Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Loes.","Okana, P.S.","Pinto, G.C.P.","54256","1956",NA,NA,"Southern America","Brasil","Bahia","Santa Teresinha","Margem Paraguaçu.","-39.5233001708984","-12.771900177002",NA,NA,NA,"Arbusto.","IPA0054256",NA,"1992","10",NA,NA,"15","25196","auto",NA,NA,NA
"9","2020-12-20 21:16:36-03","UFV","VIC","11459","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Monteverdia","quadrangulata","Monteverdia quadrangulata","(Schrad.) Biral","Bival, L.","Queiroz, L.P. de; Lemos; Lôbo","1750","1987","07","21",NA,"Brasil","Bahia","Feira de Santana","11 Km noroeste de Jaguara, Fazenda Monte Verde. Floresta estacional.","-39.184722","-12.082778",NA,NA,NA,"Arbusto, c.a. de 2,0 metros de altura, com folhas coriáceas. Botão verde-esbranquiçados.","VIC011459","VIC011459","2013","11","-39.184722","-12.082778",NA,NA,NA,NA,NA,NA
"10","2019-08-20 10:09:23-03","UNICAMP","UEC","28913","S","Plantae","Magnoliopsida",NA,"Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Less.","Carvalho-Okano, RM","Grupo Flora 'Pedra do Cavalo'","502","1980","08","13",NA,"Brazil","Bahia","Cachoeira","Vale dos Rios - Paraguaçu e Jacuípe., Morro Belo.","-39.083333","-12.533333","40","120",NA,"Arbusto arbóreo de 3 a 4 m. de altura; ramificado desde a base; flores alvas isoladas minúsculas com frutos.",NA,NA,"1992","10","-39.083333","-12.533333","15",NA,NA,NA,NA,NA
"11","2021-03-01 16:27:52-03","UNICAMP","UEC","28913","S","Plantae","Magnoliopsida",NA,"Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Less.","Carvalho-Okano, RM","Scardino, L; Noblick, LR; Paranhos, AR; Guedes; Paganucci, L; Nascimento; Queiroz, C","502","1980","08","13",NA,"Brazil","Bahia","Cachoeira","Vale dos Rios - Paraguaçu e Jacuípe., Morro Belo.","-39.083333","-12.533333",NA,NA,NA,"Arbusto de 3 a 4m de altura, ramificado desde a base; flores alvas isoldas minúsculas com frutos.","UEC061931","UEC061931","1992","10","-39.083333","-12.533333","15",NA,NA,NA,NA,NA
"12","2021-03-01 16:27:52-03","UNICAMP","UEC","69929","S","Plantae","Magnoliopsida",NA,"Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Less.","Biral","Silva, MA; Marciano-Filho, A; Marciano-Neto, A","2233","1994","07","28",NA,"Brazil","Minas Gerais","Vazante","Gruta da Lapa Nova. Região que possui calamina, um minério de zinco.&nf;Local alterado, mata próximo a entrada da gruta.","-46.9077987670898","-17.9869003295898",NA,NA,NA,"Arbusto ca. 2,0 m de altura, flores creme, final de floração.","UEC043700","UEC043700","2013","11",NA,NA,NA,"62440","auto",NA,NA,NA
"13","2021-02-12 18:12:00-03","UFES","VIES","7961","S","Plantae",NA,NA,"Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Loes.","Okano, P.S.","Pinto, G.C.P.","s.n.","1956",NA,NA,NA,"Brasil","Bahia","Santa Teresinha",NA,"-39.5233001708984","-12.771900177002",NA,NA,NA,NA,"VIES007961","VIES007961","1992","10",NA,NA,"15","25196","auto",NA,NA,NA
"14","2020-12-21 16:20:32-03","MBM","MBM","158804","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Monteverdia","quadrangulata","Monteverdia quadrangulata","(Schrad.) Biral","Biral, L.","Queiróz, L.P. de; et al.; et al.","3059","1993","01","28","Southern America","Brazil","Bahia","Feira de Santana","Serra do São José, Fazenda Boa Vista","-39.666667","-12.7",NA,NA,NA,"Arbusto de ca. 1,6m, com folhas coriáceas. Frutos alaranjados.; Floresta Estacional Semi-decídua.","MBM158804","MBM158804","2019","02","-39.666667","-12.7",NA,NA,NA,NA,NA,NA
"15","2020-12-11 11:34:28-03","UFMG","BHCB","32771","PreservedSpecimen","Plantae","Dicotyledon",NA,"Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Loes",NA,"Brina, AE; Costa, LVC","s.n.","1995","10","23","Southern America","Brasil","Minas Gerais","Lagoa Santa","Carste de Lagoa Santa","-43.8897018432617","-19.6271991729736",NA,NA,NA,"Mata estacional decidual","BHCB034659",NA,"2014","03",NA,NA,NA,"12338","auto",NA,NA,NA
"16","2020-12-11 11:34:28-03","UFMG","BHCB","32764","PreservedSpecimen","Plantae","Dicotyledon",NA,"Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Loes",NA,"Brina, AE; Costa, LVC","s.n.","1995","10","10","Southern America","Brasil","Minas Gerais","Lagoa Santa","Carste de Lagoa Santa","-43.8897018432617","-19.6271991729736",NA,NA,NA,NA,"BHCB034658",NA,"2014","03",NA,NA,NA,"12338","auto",NA,NA,NA
"17","2010-04-15 11:39:00-03","MO","MOBOT","2978458","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Loes.","R.M. Carvalho-Okano","Larry R. Noblick","Noblick 1978","1980",NA,NA,"South America","Brazil","Bahia",NA,"Repressa de Bananeira, Cachoeira.","-39.05","-12.53333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-04 11:04:49-03","UFRB","HURB","22365","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Monteverdia","quadrangulata","Monteverdia quadrangulata","(Schrad.) Biral",NA,"Cerqueira, L.O.; Santos, C.; Costa, G. & Martins, M.L.L.","18","2018","10","15",NA,"Brasil","Bahia","Cabaceiras do Paraguaçú","Serra do Aporá; Aporá, zona rural de cabaceiras do Paraguaçú","-39.1907997131348","-12.5355997085571",NA,NA,NA,NA,"HURB000022365","HURB000022365",NA,NA,NA,NA,NA,"14648","auto",NA,NA,NA
