"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","occurrenceRemarks"
"1","2020-04-27 16:09:06-03","UFES","VIES","27916","S","Plantae","Bromeliaceae","Tillandsia","kautskyi","Tillandsia kautskyi","E.Pereira","Barros, P.H.D.","2013","01","16","Barros, P.H.D.; Firmino, A.D.; Iglesias, D.T.; Silva, L.A. & Cardoso, W.C.","128","2013","01","16","Brasil","Espírito Santo","Serra","APA Mestre Álvaro.","-40.3078002929688","-20.1285991668701","16451","VIES027916","VIES027916","auto",NA,NA,NA,NA,NA
"2","2019-09-27 18:04:05-03","UFES","VIES","13581","S","Plantae","Bromeliaceae","Tillandsia","kautskyi","Tillandsia kautskyi","E.Pereira","Gomes, J.M.L.","2009","11","14","Gomes, J.M.L.","3544","2009","11","14","Brasil","Espírito Santo","Serra","APA Mestre Álvaro.","-40.3078002929688","-20.1285991668701","16451","VIES013581","VIES013581 VIES013581_1","auto","650","650",NA,NA,NA
"3","2020-07-10 09:44:43-03","MBML","MBML-HERBARIO","14253",NA,"Plantae","Bromeliaceae","Tillandsia","kautskyi","Tillandsia kautskyi","E.Pereira","L. Kollmann/22-05-2001",NA,NA,NA,"L. Kollmann; et al","3675","2001","05","22","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"MBML014253","MBML014253",NA,NA,NA,"40W31'49","19S58'17","Epífita na meia sombra. Frutos verdes amarronzados."
"4","2020-07-10 09:44:43-03","MBML","MBML-HERBARIO","14483",NA,"Plantae","Bromeliaceae","Tillandsia","kautskyi","Tillandsia kautskyi","E.Pereira","L. Kollmann/12-06-2001",NA,NA,NA,"L. Kollmann; et al","3889","2001","06","12","Brasil","Espírito Santo","Santa Teresa","Cabeceira do Rio Bonito","-40.583333","-19.984167",NA,"MBML014483","MBML014483",NA,NA,NA,"40W34'60","19S59'3","Epífita no sol. Brácteas vermelhas."
"5","2020-07-10 09:44:43-03","MBML","MBML-HERBARIO","16702",NA,"Plantae","Bromeliaceae","Tillandsia","kautskyi","Tillandsia kautskyi","E.Pereira","A. P. Fontana/20-04-02",NA,NA,NA,"A. P. Fontana; et al","342","2002","04","20","Brasil","Espírito Santo","Santa Teresa","São Lourenço","-40.620556","-19.931111",NA,"MBML016702","MBML016702",NA,NA,NA,"40W37'14","19S55'52","Epífita, frutos verdes. HERB/CULTI."
"6","2020-07-10 09:44:43-03","MBML","MBML-HERBARIO","17002",NA,"Plantae","Bromeliaceae","Tillandsia","kautskyi","Tillandsia kautskyi","E.Pereira","L. Kollmann/24-06-2004",NA,NA,NA,"R.R. Vervloet; et al","300","2002","05","24","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,"MBML017002","MBML017002",NA,NA,NA,"40W33'11","19S54'27","Epífita a 1,5m do solo, frutos imaturos de cor verde, folhas verde roxeadas, topo de morro, chapada solo avermelhado, vegetação esparsa."
"7","2020-07-10 09:44:43-03","MBML","MBML-HERBARIO","17101",NA,"Plantae","Bromeliaceae","Tillandsia","kautskyi","Tillandsia kautskyi","E.Pereira","L. Kollmann/24-06-2004",NA,NA,NA,"R.R. Vervloet; et al","638","2002","08","01","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,"MBML017101","MBML017101",NA,NA,NA,"40W33'11","19S54'27","Epífita, a 1m do solo, topo de morro, vegetação esparsa, alta luminosidade, escapo e brácteas rosa escuro, sépalas brancas com lista rosa, pétalas brancas com ápice roxo, dossel aproximado de 12m."
"8","2020-07-10 09:44:43-03","MBML","MBML-HERBARIO","17910",NA,"Plantae","Bromeliaceae","Tillandsia","kautskyi","Tillandsia kautskyi","E.Pereira","L. Kollmann/04-12-2002",NA,NA,NA,"R.R. Vervloet; et al","998","2002","09","19","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,"MBML017910","MBML017910",NA,NA,NA,"40W33'11","19S54'27","Epífita, em galho caído, topo de morro, dossel 20m, flores com pétalas rosada, sépala branca, brácteas rosadas, folhas verde brilhosa."
"9","2020-07-10 09:44:43-03","MBML","MBML-HERBARIO","20960",NA,"Plantae","Bromeliaceae","Tillandsia","kautskyi","Tillandsia kautskyi","E.Pereira","A. P. Fontana/04-05-2003",NA,NA,NA,"A. P. Fontana; et al","576","2003","05","04","Brasil","Espírito Santo","Fundão","Goiapaba-Açu","-40.472222","-19.914167",NA,"MBML020960","MBML020960",NA,NA,NA,"40W28'20","19S54'51","Epífita, frutos verdes."
"10","2020-07-10 09:44:43-03","MBML","MBML-HERBARIO","21397",NA,"Plantae","Bromeliaceae","Tillandsia","kautskyi","Tillandsia kautskyi","E.Pereira","L. Kollmann/24-06-2004",NA,NA,NA,"J. Rossini; et al","463","2003","08","19","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,"MBML021397","MBML021397",NA,NA,NA,"40W33'11","19S54'27","Epífita, sobre galho caído. Folhas verde escuras. Brácteas rosaceas, cálice com base branca, lobos rosáceos, corola com base branca e lobos lilases, anteras amarelas."
"11","2020-09-02 18:20:49-03","MBML","MBML-HERBARIO","21985",NA,"Plantae","Bromeliaceae","Tillandsia","kautskyi","Tillandsia kautskyi","E.Pereira","L. Kollmann/24-06-2004",NA,NA,NA,"A. P. Fontana; et al","614","2003","08","16","Brasil","Espírito Santo","Santa Teresa","Propriedade de João Romagna","-40.621389","-19.929722",NA,"MBML021985","MBML021985",NA,NA,NA,"40W37'17","19S55'47","Epífita, Brácteas das flores rosas, botões florais com ápice rosa e base branca."
"12","2020-07-10 09:44:43-03","MBML","MBML-HERBARIO","24023",NA,"Plantae","Bromeliaceae","Tillandsia","kautskyi","Tillandsia kautskyi","E.Pereira","L. Kollmann/21-07-2005",NA,NA,NA,"L. Kollmann; et al","7810","2005","05","20","Brasil","Espírito Santo","Santa Teresa","Alto Santo Antônio, Terreno do Vago, Cruzeiro","-40.575556","-19.887222",NA,"MBML024023","MBML024023",NA,NA,NA,"40W34'32","19S53'14","Epífita caída, brácteas e flores rosas."
