"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","phylum","day","locality","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","fieldNumber","preparationType","continentOcean"
"1","2021-03-31 13:40:42-03","MN","R","86473","PreservedSpecimen","Plantae","Orchidaceae","Bifrenaria","leucorrhoda","Bifrenaria leucorrhoda","Rchb. f.","Koehler, S.","2002","05","Vidal, J.","52 - 1785","1952","03","Brasil","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344","38539","1500","1500","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:20:02-03","UNICAMP","UEC","206764","S","Plantae","Orchidaceae","Bifrenaria","leucorrhoda","Bifrenaria leucorrhoda","Rchb.f.","Nunes, CEP","2018","06","Nunes, CEP","2013/43","2013","04","Brazil","São Paulo","Natividade da Serra","-45.316667","-23.733333",NA,"80","1200",NA,"Liliopsida","18","Trilha do Corcovado, Núcleo Santa Virgínia, Parque Estadual da Serra do Mar.","-45.316667","-23.733333","Erva epífita.; Floresta Ombrófila Densa Montana.","UEC098825","UEC098825",NA,NA,NA
"3","2019-08-20 10:00:33-03","UNICAMP","UEC","133191","S","Plantae","Orchidaceae","Bifrenaria","leucorrhoda","Bifrenaria leucorrhoda","Rchb.f.","Koehler, S",NA,NA,"Singer, RB; Simões, AO","s.n.","2000","02","Brazil","São Paulo","Picinguaba",NA,NA,NA,NA,NA,NA,"Liliopsida",NA,NA,NA,NA,NA,"UEC083056","UEC083056",NA,NA,NA
"4","2019-08-20 10:00:33-03","UNICAMP","UEC","137628","S","Plantae","Orchidaceae","Bifrenaria","leucorrhoda","Bifrenaria leucorrhoda","Rchb.f.","Koehler, S",NA,NA,"s/ coletor","s.n.","2004","10","Brazil","São Paulo","Campinas","-46.932778","-22.836944",NA,NA,NA,NA,"Liliopsida",NA,"Ceasa","-46.932778","-22.836944",NA,NA,NA,NA,NA,NA
"5","2019-08-20 10:00:33-03","UNICAMP","UEC","153140","S","Plantae","Orchidaceae","Bifrenaria","leucorrhoda","Bifrenaria leucorrhoda","Rchb.f.",NA,NA,NA,"Moraes, AP","13","2010",NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"Liliopsida",NA,"adquirida no Orquidário da Mata",NA,NA,NA,"UEC083060","UEC083060",NA,NA,NA
"6","2019-08-20 10:00:33-03","UNICAMP","UEC","117741","S","Plantae","Orchidaceae","Bifrenaria","leucorrhoda","Bifrenaria leucorrhoda","Rchb.f.","Koehler, S",NA,NA,"s/ coletor","s.n.","2000","01","Brazil","Rio de Janeiro","Petrópolis","-43.1786003112793","-22.5049991607666","36524",NA,NA,"auto","Liliopsida","18","(sk56).",NA,NA,NA,"UEC083057","UEC083057",NA,NA,NA
"7","2019-08-20 10:00:33-03","UNICAMP","UEC","137628","S","Plantae","Orchidaceae","Bifrenaria","leucorrhoda","Bifrenaria leucorrhoda","Rchb.f.","Koehler, S",NA,NA,"s/ coletor","s.n.","2004","10","Brazil","São Paulo","Campinas","-47.060001373291","-22.8999996185303","23900",NA,NA,"auto","Liliopsida",NA,"Ceasa",NA,NA,NA,"UEC083058","UEC083058",NA,NA,NA
"8","2019-08-20 10:00:33-03","UNICAMP","UEC","139017","S","Plantae","Orchidaceae","Bifrenaria","leucorrhoda","Bifrenaria leucorrhoda","Rchb.f.","Singer, RB",NA,NA,"Singer, RB","200015","2000","01","Brazil","São Paulo","Ubatuba","-45.0699996948242","-23.4300003051758","34265",NA,NA,"auto","Liliopsida","25","Núcleo Picinguaba, Caminho do Morro do Cuscuzeiro. PESM.",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-20 10:00:33-03","UNICAMP","UEC","139017","S","Plantae","Orchidaceae","Bifrenaria","leucorrhoda","Bifrenaria leucorrhoda","Rchb.f.","Singer, RB",NA,NA,"Singer, RB","2000/15","2000","01","Brazil","São Paulo","Ubatuba","-45.0699996948242","-23.4300003051758","34265",NA,NA,"auto","Liliopsida","25","Núcleo Picinguaba, Caminho do Morro do Cuscuzeiro. PESM.",NA,NA,NA,"UEC083055","UEC083055",NA,NA,NA
"10","2015-09-03 19:39:17-03","MNHN","RECOLNAT_MNHN_P","P00455840","PreservedSpecimen",NA,"Orchidaceae","Bifrenaria","leucorrhoda","Bifrenaria leucorrhoda","Rchb.f.",NA,NA,NA,"Pinel, M.",NA,"1846","12","Brésil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","Brésil",NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00455840' target='other'> <mi>dwc_moreinfo</mi></a>","P00455840","P00455840_01","1839","hb",NA
