"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","month","day","county","decimalLongitude","decimalLatitude","scientificNameAuthorship","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2016-11-02 15:40:00-02","NY","NYBG","01056630","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Indigofera","bongardiana","Indigofera bongardiana","R. R. Duré Rodas","R. Goodland","904","1967","South America","Brazil","Minas Gerais","Triángulo region.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141791' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056630","NY01056630_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-11-02 15:40:00-02","NY","NYBG","01056633","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Indigofera","bongardiana","Indigofera bongardiana","R. C. Barneby","R. Callejas Posada","1963","1983","South America","Brazil","Mato Grosso do Sul","5 km O de Tacurú, sobre la estrada que dirije a Iguatemí","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141795' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056633","NY01056633_01","12","16","Tacuru","-55","-23.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","602999","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Indigofera","bongardiana","Indigofera bongardiana","A. Schinini","A. Schinini","35002","1999","South America","Argentina","Corrientes","Dep. San Martin. Esteros del Cambá Trapo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=440878' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602999",NA,"09","15",NA,"-57.08","-28.55","(Kuntze) Burkart",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","602997","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Indigofera","bongardiana","Indigofera bongardiana","R. R. D. Rodas","P. K. H. Dusén","10514","1911","South America","Brazil","Paraná","Jaguariahyva","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=440885' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602997","NY00602997_01","10","24","Jaguariaíva","-49.713647","-24.340602","(Kuntze) Burkart",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-11-01 12:38:00-02","NY","NYBG","602993","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Indigofera","bongardiana","Indigofera bongardiana","O. Handro","O. Handro","517","1955","South America","Brazil","São Paulo","Mojí-Guassú, Reserva Florestal, perto de Pádua Salles","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=440879' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602993","NY00602993_01","09","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01056631","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Indigofera","bongardiana","Indigofera bongardiana","R. R. Duré Rodas","B. Maguire","56340","1963","South America","Brazil","Mato Grosso","Brasília-Acre Highway, Serra da Saudade, camp 120 km beyond Alto Araguaia.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141792' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056631","NY01056631_01","08","26",NA,NA,NA,"(Kuntze) Burkart","750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","602992","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Indigofera","bongardiana","Indigofera bongardiana","R. R. D. Rodas","G. Eiten","2255","1960","South America","Brazil","São Paulo","Campos das Sete Lagôas. Fazenda Campininha, just north of Rio Moji-Guaçu. 10 km. NNE of Padua Sales. (About 27 km. NW of city of Moji-Mirim.)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=440881' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602992","NY00602992_01","09","02","Moji-Guaçu",NA,NA,"(Kuntze) Burkart","650","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01056608","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Indigofera","bongardiana","Indigofera bongardiana","R. R. Duré Rodas","G. T. Prance","19204","1973","South America","Brazil","Mato Grosso","Road behind Veu de Noiva. Chapada dos Guimarães.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141793' target='other'> <mi>dwc_moreinfo</mi></a>","NY01056608","NY01056608_01","10","19",NA,"-55.832445","-15.40761","(Kuntze) Burkart","720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-11-01 12:38:00-02","NY","NYBG","602998","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Indigofera","bongardiana","Indigofera bongardiana",NA,"R. C. de Mendonça","4061","1999","South America","Brazil","Tocantins","Ilha do Bananal; Parque Nacional do Araguaia; ponta da ilha; Base fixa do Projeto Quelônios; margem do Rio Javaés; próximo à barra do Rio Riozinho","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=440887' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602998","NY00602998_01","03","27","Pium","-50.12","-9.9997",NA,"145","145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-11-01 12:38:00-02","NY","NYBG","602991","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Indigofera","bongardiana","Indigofera bongardiana","R. R. D. Rodas","A. Gehrt","sn","1931","South America","Brazil","São Paulo","Mogy-Mirim","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=440883' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602991","NY00602991_01","10","15","Moji-Mirim","-46.96013","-22.425035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
