"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","class","order","monthIdentified","dayIdentified","continentOcean","relatedCatalogItem","imagecode","phylum","minimumElevationInMeters","maximumElevationInMeters","individualCount","verbatimLongitude","verbatimLatitude","typeStatus"
"1","2020-06-29 11:29:46-03","UFRJ","RFA","4862","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.","M. Sobral","2001","P. Occhioni","1294","1952","04","28","Brasil","Rio de Janeiro","Itatiaia","Base das Prateleiras","-44.5633010864258","-22.4960994720459","19648","Herbácea escandente","RFA25323","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:29:46-03","UFRJ","RFA","4441","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.","M. Sobral","2001","P. Occhioni","913","1947","03","12","Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, km 16","-44.5633010864258","-22.4960994720459","19648","Herbácea; flor alba","RFA25102","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:19:18-03","UFRJ","RFA","22930","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.","M. Sobral","2001","F. Segadas-Vianna","747","1945","03","07","Brasil","Rio de Janeiro","Itatiaia","Planalto, km 16","-44.5633010864258","-22.4960994720459","19648",NA,"RFA18806","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:00:24-03","NBC","NL-BOTANY","U.1752461","PreservedSpecimen","Plantae","Valerianaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.","Weberling FHE","2001","Lindeman JC; Haas JH de",NA,"1967","02","01","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1752461 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1752461",NA,"Magnoliopsidae","Dipsacales","10","01","Southern America","U 0034865","NL-U1752461",NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:00:24-03","NBC","NL-BOTANY","U.1752462","PreservedSpecimen","Plantae","Valerianaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.","Lindeman JC",NA,"Lindeman JC; Haas JH de",NA,"1967","04","16","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1752462 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1752462",NA,"Magnoliopsidae","Dipsacales",NA,NA,"Southern America","U 0137141","NL-U1752462",NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:00:24-03","NBC","NL-BOTANY","U.1752463","PreservedSpecimen","Plantae","Valerianaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.","Lindeman JC",NA,"Lindeman JC; Haas JH de",NA,"1967","04","16","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1752463 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1752463",NA,"Magnoliopsidae","Dipsacales",NA,NA,"Southern America","U 0034861","NL-U1752463",NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:04:29-03","ESALQ","ESA","39523","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.","Scalon, V.R.","1998","Shepherd, G.J. et al.",NA,"1997","02","19","Brasil","São Paulo","Queluz",NA,"-44.7700004577637","-22.5300006866455","14382",NA,"ESA039523","auto",NA,NA,"05","11",NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:26:55-03","MN","R","104074","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.","O. E. Borsini","1960","Mello Filho, L.E.",NA,"1957","04","19","Brasil","Rio de Janeiro",NA,"Planalto Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,"2200","2200",NA,NA,NA,NA
"9","2021-01-14 15:26:55-03","MN","R","136942","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.",NA,NA,"Mello Filho, L.E.; M. Emmerich",NA,"1975","03","18","Brasil","São Paulo","Campos de Jordão","Parque Estadual de Campos de Jordão",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-14 15:26:55-03","MN","R","196695","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.","M. Sobral","2002","A. G. S.",NA,"1959","04","20","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
