"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","locality","occurrenceRemarks","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","minimumDepthInMeters","maximumDepthInMeters","infraspecificEpithet","sex"
"1","2021-04-05 14:34:06-03","UNESC","CRI","3953","PreservedSpecimen","Plantae","Rubiaceae","Machaonia","brasiliensis","Machaonia brasiliensis","(Hoffmanns. ex Humb.) Cham. & Schltdl.","Piero Delprete","1998","J. A. Jarenkow","1607","1990","01","02","Brasil","Rio Grande do Sul","Barra do Ribeiro","-51.304722","-30.300278","51º18'17''W","30º18'1''S","CRI009114","CRI009114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:06-03","UNESC","CRI","3682","PreservedSpecimen","Plantae","Rubiaceae","Machaonia","spinosa","Machaonia spinosa","Cham. & Schltdl.","Piero Delprete",NA,"R. Záchia",NA,"1993","11","30","Brasil","Rio Grande do Sul","São Borja","-56.004722","-28.661111","56º0'17''W","28º39'40''S","CRI009113","CRI009113","Distrito de Sta Rosa - Rincão de São Lucas, Rio Butuí.","Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:06-03","UNESC","CRI","6450","PreservedSpecimen","Plantae","Rubiaceae","Machaonia","spinosa","Machaonia spinosa","Cham. & Schltdl.","J. A. Jarenkow",NA,"J. A. Jarenkow",NA,"1997","12","14","Brasil","Rio Grande do Sul","Mariana Pimentel","-51.583333","-30.353056","51º35'0''W","30º21'11''S","CRI009112","CRI009112","5km em direção Barão Triunfo.","Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:43:04-03","E","E","285160","PreservedSpecimen","Plantae","Rubiaceae","Machaonia","grandis","Machaonia grandis",NA,NA,NA,"Triana, Jose Jeronimo","1625",NA,NA,NA,"CO",NA,NA,NA,NA,NA,NA,"E00285160",NA,"Choró, Barbacoas.","Purchased 1892.<a href=http://data.rbge.org.uk/herb/E00285160 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","unspecified kind of","W. Tropical South America","herbarium specimen of unspecif","BGBASE:292478",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","397824","PreservedSpecimen","Plantae","Rubiaceae","Machaonia","acuminata","Machaonia acuminata","Humb. & Bonpl.","M. T. V. do A. Campos; B. M. Boom",NA,"E. B. dos Santos","183","1987","12","08","Brazil","Bahia","Una","-39.0753","-15.2933",NA,NA,"NY00397824","NY00397824_01","Fazenda Piedade. Rodovia Sao José/Una, a 9 km do entroncamento com a BR-101","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=697014' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01067987","PreservedSpecimen","Plantae","Rubiaceae","Machaonia","acuminata","Machaonia acuminata","Humb. & Bonpl.","P. G. Delprete",NA,"J. A. Rizzo","3652","1969","02","01","Brazil","Goiás","Goiânia","-49.2539","-16.6786",NA,NA,"NY01067987","NY01067987_01","As margens do Rib. João Leite, que a 400 mts. desagua no Rio M. Ponte","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1219162' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","397822","PreservedSpecimen","Plantae","Rubiaceae","Machaonia","acuminata","Machaonia acuminata","Humb. & Bonpl.","C. M. Taylor",NA,"M. H. Nee","33384","1986","12","28","Bolivia","Santa Cruz","Ñuflo de Chávez","-62.05","-16.13",NA,NA,"NY00397822",NA,"Along road to dam on Rio Zapocoz, 0-2 km. NW of Concepción","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=697019' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales","480","480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01067985","PreservedSpecimen","Plantae","Rubiaceae","Machaonia","acuminata","Machaonia acuminata","Humb. & Bonpl.","P. G. Delprete",NA,"J. A. Rizzo","3323","1969","01","01","Brazil","Goiás","Goiânia","-49.2539","-16.6786",NA,NA,"NY01067985","NY01067985_01","Estrada GOM-9 p/ escola de agronomia e veterinaria, à esquerda 2 km","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1219155' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01067988","PreservedSpecimen","Plantae","Rubiaceae","Machaonia","acuminata","Machaonia acuminata","Humb. & Bonpl.","P. G. Delprete",NA,"B. A. S. Pereira","1936","1991","11","03","Brazil","Goiás",NA,NA,NA,NA,NA,"NY01067988","NY01067988_01","Estrada Terezina de Goiás/ Monte Alegre de Goiás. Beira do Rio Paranã","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1219164' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01067986","PreservedSpecimen","Plantae","Rubiaceae","Machaonia","acuminata","Machaonia acuminata","Humb. & Bonpl.","P. G. Delprete",NA,"J. A. Rizzo","2825","1968","12","01","Brazil","Goiás","Goiânia","-49.2539","-16.6786",NA,NA,"NY01067986","NY01067986_01","As margens do Rib. João Leite, que a 400 mts. desagua no Rio M. Ponte","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1219160' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
