"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","632496","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","daphnifolia","Ocotea daphnifolia","(Meisn.) Mez","H. H. van der Werff","R. M. Harley","H50613","1992","01","02","South America","Brazil","Bahia","Abaíra","Mata do barbado","-41.9","-13.3","1600","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238714' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632496","NY00632496_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","632497","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","daphnifolia","Ocotea daphnifolia","(Meisn.) Mez",NA,"R. M. Harley","H50206","1991","12","19","South America","Brazil","Bahia","Abaíra","Bem Querer","-41.88","-13.27","1300","1650","sheet","Harley is not on the label, but we can assume he is the collector <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238719' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632497","NY00632497_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","504968","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","daphnifolia","Ocotea daphnifolia","(Meisn.) Mez",NA,"H. C. de Lima","2497","1984","12","13","South America","Brazil","Rio de Janeiro","Magé","Paraiso, Centro de Primatologia, próximo a represa da CEDAE. Quadrat IV","-43.0406","-22.6531",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504968","NY00504968_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","642421","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","daphnifolia","Ocotea daphnifolia","(Meisn.) Mez","H. H. van der Werff","J. G. Jardim","425","1994","04","28","South America","Brazil","Bahia","Uruçuca","Distrito de Serra Grande, 7.3 km na entrada Serra Grande/Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589330' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642421","NY00642421_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","504969","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","daphnifolia","Ocotea daphnifolia","(Meisn.) Mez",NA,"G. Martinelli","10416","1984","12","04","South America","Brazil","Rio de Janeiro","Magé","III° Distrito, Paraiso Centro de Primatologia do RJ","-43.0406","-22.6531","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238717' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504969","NY00504969_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","642416","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","daphnifolia","Ocotea daphnifolia","(Meisn.) Mez","H. H. van der Werff","J. G. Jardim","2999","2000","04","21","South America","Brazil","Bahia","Uruçuca","Parque Estadual Serra do Condurú. Rodovia Serra Grande/Uruçuca, 9.4 km Serra do Condurú, vertente E","-39.1047","-14.485","250","450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589329' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642416","NY00642416_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","684704","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","daphnifolia","Ocotea daphnifolia","(Meisn.) Mez","H. H. van der Werff","R. M. Harley","50613","1992","01","02","South America","Brazil","Bahia","Abaíra","Mata do Barbado","-41.9","-13.3","1600","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=880085' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684704","NY00684704_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","684705","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","daphnifolia","Ocotea daphnifolia","(Meisn.) Mez","H. H. van der Werff","R. M. Harley","50206","1991","12","19","South America","Brazil","Bahia","Abaíra","Bem Querer","-41.88","-13.27","1300","1650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=880086' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684705","NY00684705_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01198256","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","daphnifolia","Ocotea daphnifolia","(Meisn.) Mez","H. H. van der Werff","W. W. Thomas","14158","2004","09","19","South America","Brazil","Bahia","Almadina","Serra Corcovado, 9.8 km SW of Coarci on road to Almadina, then N into Fazenda São José.","-39.6033333","-14.7058333","650","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=827894' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198256","NY01198256_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02703805","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","daphnifolia","Ocotea daphnifolia","(Meisn.) Mez",NA,"A. Quinet","618","2001","08","29","South America","Brazil","Minas Gerais","Itamonte","Serra Negra, trilha do Matão. Parque Nacional de Itatiaia","-44.566667","-22.25",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2989098' target='other'> <mi>dwc_moreinfo</mi></a>","NY02703805","NY02703805_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
