"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","occurrenceRemarks","imagecode","identifiedBy","yearIdentified","monthIdentified","county","coordinatePrecision","geoFlag","class","order","minimumElevationInMeters","maximumElevationInMeters","typeStatus","dayIdentified","fieldNumber","preparationType","individualCount"
"1","2021-03-30 12:53:57-03","EAO","IAN","131883","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Paratheria","prostrata","Paratheria prostrata","Griseb.","Harley, RM","11214","1968","11","24","Southern America","Brasil","Mato Grosso","Small lake just South of the Rio Suia Missu Ferry, c. 40km NW of base camp. At margin of small lake near edge of receding water, in drier area than 11213. Grass growing in dense stands with more or less erèct stems.","-51.766667","-12.816667","-51.766667","-12.816667","IAN131883",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:53:57-03","EAO","IAN","116471","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Paratheria","prostrata","Paratheria prostrata","Griseb.","Pinto, O","940",NA,NA,NA,"Southern America","Brasil","Maranhão",NA,NA,NA,NA,NA,"IAN116471",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:53:57-03","EAO","IAN","153858","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Paratheria","prostrata","Paratheria prostrata","Griseb.","Maciel, UN; Bouças, PRP","39","1977","02","27","Southern America","Brasil","Pará","12 km de Bragança. Campos de Baixo. Campo limpo, semi-inundável, estacional; solo argiloso.",NA,NA,NA,NA,"IAN153858",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:53:57-03","EAO","IAN","154029","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Paratheria","prostrata","Paratheria prostrata","Griseb.","Ribeiro, BGS; Pinheiro, GS","1662","1976","02","12","Southern America","Brasil","Maranhão","Estudo Ecológico do Campo de Perizes.",NA,NA,NA,NA,"IAN154029","Planta rasteira; flor creme. Solo úmido.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:53:57-03","EAO","IAN","154091","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Paratheria","prostrata","Paratheria prostrata","Griseb.","Ribeiro, BGS; Pinheiro, GS","1724","1976","02","12","Southern America","Brasil","Maranhão","Estudo Ecológico dos Campos de Perizes.",NA,NA,NA,NA,"IAN154091","Capim; flor creme.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:53:57-03","EAO","IAN","175239","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Paratheria","prostrata","Paratheria prostrata","Griseb.","Pires, JM","3905","1952","01","13","Southern America","Brasil","Pará","Coceição do Rio Juruena, Porto de Fóz á margem do Rio.",NA,NA,NA,NA,"IAN175239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:53:57-03","EAO","IAN","33153","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Paratheria","prostrata","Paratheria prostrata","Griseb.","Black, GA","2417","1948","04","25","Southern America","Brasil","Amazonas","Rio Negro. Santa Izabel, em campo aberto.",NA,NA,NA,NA,"IAN033153","Prostrada em barranco.","IAN033153 IAN033153_1 IAN033153_e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:53:57-03","EAO","IAN","43123","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Paratheria","prostrata","Paratheria prostrata","Griseb.","Fróes, RL; Pires, JM","24185","1949","03","29","Southern America","Brasil","Pará","Rio Capim. Comum nas praias inundáveis da beira do rio.",NA,NA,NA,NA,"IAN043123","capim.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:53:57-03","EAO","IAN","43921","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Paratheria","prostrata","Paratheria prostrata","Griseb.","Swallen, JR","6933","1943","12","06","Southern America","Brasil","Pará","Wet ground, margin of bay Jacaré Bay, Rio Tapajós.",NA,NA,NA,NA,"IAN043921",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:53:57-03","EAO","IAN","54277","PreservedSpecimen","Plantae","Monocotiledônea","Poaceae","Paratheria","prostrata","Paratheria prostrata","Griseb.","Black, GA; Engelhard, F","8923","1950","02","20","Southern America","Brasil","Pará","Ilha do Marajó; fazenda Menino Deus; Rio Paracauary; campo.",NA,NA,NA,NA,"IAN054277","Folhagem verde-pálida.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
