"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","recordNumber","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","imagecode","class","relatedCatalogItem","coordinatePrecision","geoFlag","individualCount","fieldNumber","sex"
"1","2021-04-05 14:33:34-03","UNESC","CRI","15288","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","warmingii","Sinningia warmingii","(Hiern) Chautems","João Paulo Gava Just","2020","01","17","João Paulo Gava Just","2020","01","17","Brasil","Santa Catarina","Nova Veneza","São Francisco.","-49.637222","-28.723333","49º38'14''W","28º43'24''S","125","125","Flor alaranjada. JGJ_012 Habito: Herbácea","CRI014705",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:20-03","UNESC","CRI","13848","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","warmingii","Sinningia warmingii","(Hiern) Chautems","Alexandre Medeiros","2017","08","17","Alexandre Medeiros","2017","08","17","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras APA Costa Brava","-48.585","-26.999167","48º35'6''W","26º59'57''S",NA,NA,"Flor vermelha Habitat: Rupícola Habito: Herbácea","CRI012459","681",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:34-03","UNESC","CRI","15289","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","warmingii","Sinningia warmingii","(Hiern) Chautems","João Paulo Gava Just","2020","01","17","João Paulo Gava Just","2020","01","17","Brasil","Santa Catarina","Nova Veneza","São Francisco.","-49.637222","-28.723333","49º38'14''W","28º43'24''S","125","125","Flor alaranjada. JGJ_014 Habitat: Rupícola Habito: Herbácea","CRI014706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:34-03","UNESC","CRI","15294","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","warmingii","Sinningia warmingii","(Hiern) Chautems","João Paulo Gava Just","2020","01","26","João Paulo Gava Just","2020","01","26","Brasil","Rio Grande do Sul","Três Forquilhas","Cascata da Pedra Branca.","-50.042778","-29.365278","50º2'34''W","29º21'55''S","420","420","Flor alaranjada. JGJ_019 Habitat: Rupícola Habito: Herbácea","CRI014711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:39:32-03","E","E","67329","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","warmingii","Sinningia warmingii",NA,NA,NA,NA,NA,"Fiebrig, K.","1903","02","01","PY","Cordillera",NA,"Tobatí",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00067329 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00067329","825","isotype","E. Tropical South America","herbarium specimen of unspecif","BGBASE:74469",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-30 13:20:00-03","NY","NYBG","02065602","PreservedSpecimen","Plantae","Gesneriaceae","Corytholoma","sceptrum","Corytholoma sceptrum arenosa","Chodat & Hassl.",NA,NA,NA,NA,"E. Hassler",NA,NA,NA,"Paraguay",NA,NA,"[From protologue: In arenosis salsi pr. Arroyo Primero Apa., Febr.]",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2226317' target='other'> <mi>dwc_moreinfo</mi></a>","NY02065602","8491","isolectotype","South America","sheet",NA,"Magnoliophyta","Lamiales","arenosa","NY02065602_01",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02065601","PreservedSpecimen","Plantae","Gesneriaceae","Corytholoma","sceptrum","Corytholoma sceptrum arenosa","Chodat & Hassl.",NA,NA,NA,NA,"E. Hassler",NA,NA,NA,"Paraguay",NA,NA,"[From protologue: in arenosis pr. Rosario, Jan.]",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2226498' target='other'> <mi>dwc_moreinfo</mi></a>","NY02065601","6022","syntype","South America","sheet",NA,"Magnoliophyta","Lamiales","arenosa","NY02065601_01",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","929902","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","warmingii","Sinningia warmingii","(Hiern) Chautems","A. Chautems",NA,NA,NA,"W. R. Anderson","1972","02","19","Brazil","Minas Gerais","Santana do Riacho","Serra do Espinhaço, Serra do Cipó, limestone (marble) outcrop ca. 10 km S of Serra do Cipó, at Cardenal Mota. Marble being cut by a company called Marmores Brasil","-43.6247","-19.3373",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999205' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929902","36287",NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,"NY00929902_01",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","442119","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","warmingii","Sinningia warmingii","(Hiern) Chautems","A. Chautems",NA,NA,NA,"H. J. Wiehler","1980","06","19","Brazil","São Paulo",NA,"Vicinity of Sao Paulo",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276131' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442119","8001",NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,"NY00442119_01",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","442117","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","warmingii","Sinningia warmingii","(Hiern) Chautems","A. Chautems",NA,NA,NA,"G. G. Hatschbach","1969","11","17","Brazil","Paraná","Londrina","Leroville, Campos das Pedras","-51.1628","-23.3106",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276134' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442117","22893",NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,"NY00442117_01",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","442116","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","warmingii","Sinningia warmingii","(Hiern) Chautems","A. Chautems",NA,NA,NA,"R. Reitz","1958","12","15","Brazil","Santa Catarina","Lauro Muller","Serra do Rio do Rastro, Lauro Mueller","-49.3967","-28.3931",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276133' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442116","7990",NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,"NY00442116_01",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","442118","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","warmingii","Sinningia warmingii","(Hiern) Chautems","A. Chautems",NA,NA,NA,"L. B. Smith","1965","01","02","Brazil","Santa Catarina","Lauro Muller","Sao Cristobal, Serra do Rio do Rastro","-49.5","-28.38",NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=276130' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442118","14177",NA,"South America","sheet",NA,"Magnoliophyta","Lamiales",NA,"NY00442118_01",NA,NA,NA,NA,NA,NA,NA
