"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus"
"11","2021-03-15 16:37:00-03","NY","NYBG","408956","PreservedSpecimen","Plantae","Fabaceae","Inga","lentiscifolia","Inga lentiscifolia","Benth.","S. J. Smith; L. B. Smith",NA,NA,NA,"G. G. Hatschbach","1966","12","13","Brazil","Paraná","General Carneiro","Entre Palmas e Gal. Carneiro","-51.3156","-26.4275",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=453363' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408956","NY00408956_01","15396","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","408951","PreservedSpecimen","Plantae","Fabaceae","Inga","lentiscifolia","Inga lentiscifolia","Benth.","R. S. Cowan",NA,NA,NA,"L. B. Smith","1964","12","02","Brazil","Santa Catarina","Caçador","Madeireira Rio Verde, 48km west of Caçador","-51.37","-26.75",NA,NA,"1000","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=453364' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408951","NY00408951_01","13369","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","408955","PreservedSpecimen","Plantae","Fabaceae","Inga","lentiscifolia","Inga lentiscifolia","Benth.","A. E. Burkart",NA,NA,NA,"R. Reitz","1948","12","24","Brazil","Santa Catarina","Bom Retiro","Riozinho","-49.4892","-27.7972",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=453371' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408955","NY00408955_01","3378","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","408954","PreservedSpecimen","Plantae","Fabaceae","Inga","lentiscifolia","Inga lentiscifolia","Benth.","A. E. Burkart",NA,NA,NA,"L. B. Smith","1956","12","06","Brazil","Santa Catarina","Curitibanos","North of Curitibanos on the Estrada de Rodagem Federal. 32 km n of C (ERF 252)","-50.5842","-27.2831",NA,NA,"850","950","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=453373' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408954","NY00408954_01","8370","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","408959","PreservedSpecimen","Plantae","Fabaceae","Inga","lentiscifolia","Inga lentiscifolia","Benth.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","1971","12","07","Brazil","Paraná","General Carneiro","Faxinal dos Souza","-51.3156","-26.4275",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=453369' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408959","NY00408959_01",NA,"South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","408961","PreservedSpecimen","Plantae","Fabaceae","Inga","lentiscifolia","Inga lentiscifolia","Benth.","R. C. Barneby",NA,NA,NA,"K. Mizoguchi","1978","02","07","Brazil","São Paulo","Itanhaém","Gaibota","-46.834771","-24.201377",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=453366' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408961","NY00408961_01","422","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","408957","PreservedSpecimen","Plantae","Fabaceae","Inga","lentiscifolia","Inga lentiscifolia","Benth.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","1994","11","24","Brazil","Rio Grande do Sul","Cambará do Sul","Fortaleza","-49.948323","-29.057273",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=453370' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408957","NY00408957_01","61316","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA
"18","2020-11-13 09:19:47-03","UFRJ","RFA","8411","PreservedSpecimen","Plantae","Fabaceae","Inga","lentiscifolia","Inga lentiscifolia","Benth.","L.B. Smith & S.F. Smith","1966",NA,NA,"G.G. Hatschbach; J. Lindeman e H. Haas","1966","02","10","Brasil","Paraná","General Carneiro","Galinhas","-51.315601348877","-26.4274997711182",NA,NA,NA,NA,"Árvore 6m, fruto 5 YR 7/10 Habito: árvore","RFA27545",NA,"13657",NA,NA,NA,NA,NA,"33284","auto",NA,NA,NA,NA,NA
"19","2020-02-08 09:09:30-03","NBC","NL-BOTANY","L.1062886","PreservedSpecimen","Plantae","Leguminosae-Mim.","Inga","lentiscifolia","Inga lentiscifolia","Benth.",NA,NA,NA,NA,"Hatschbach GG; Lindeman JC; Haas JH de","1966","02","10","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1062886 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1062886","NL-L1062886",NA,"Southern America",NA,NA,NA,"Fabales",NA,NA,"Magnoliopsidae","Uw14344a",NA,NA,NA
"20","2020-02-08 09:09:30-03","NBC","NL-BOTANY","L.1062887","PreservedSpecimen","Plantae","Leguminosae-Mim.","Inga","lentiscifolia","Inga lentiscifolia","Benth.",NA,NA,NA,NA,"Hatschbach GG; Lindeman JC; Haas JH de","1966","02","10","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1062887 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1062887","NL-L1062887",NA,"Southern America",NA,NA,NA,"Fabales",NA,NA,"Magnoliopsidae","U 0054169 | Uw 13746",NA,NA,NA
