"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","preparationType","occurrenceRemarks","barcode","scientificNameAuthorship","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","sex"
"1","2016-09-27 14:43:00-03","NY","NYBG","528642","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Philyra","brasiliensis","Philyra brasiliensis","T. M. Pedersen","T. M. Pedersen","10183","1972","09","29","South America","Argentina","Corrientes","Itatí","Estancia Tuyuti. On the bank of the R. Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=134019' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528642",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","528641","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Philyra","brasiliensis","Philyra brasiliensis","S. F. Smith","G. G. Hatschbach","52627","1988","10","26","South America","Brazil","Mato Grosso do Sul","Itaquiraí","Fazenda Mestiço","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=134017' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528641","Klotzsch","-54.185","-23.4744","NY00528641_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1063756","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Philyra","brasiliensis","Philyra brasiliensis","G. L. Webster","G. G. Hatschbach","48393","1984","10","13","South America","Brazil","Mato Grosso do Sul","Eldorado","Fazenda Piraí.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193937' target='other'> <mi>dwc_moreinfo</mi></a>","NY01063756","Klotzsch","-54.2833","-23.7869","NY01063756_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02685266","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Philyra","brasiliensis","Philyra brasiliensis",NA,"W. A. Archer","7569","1942","08","11","South America","Brazil","Pará",NA,"Jardim Botanico do Museu Goeldi.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2973721' target='other'> <mi>dwc_moreinfo</mi></a>","NY02685266","Klotzsch","-48.4765479","-1.4534887","NY02685266_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-27 02:16:00-03","NY","NYBG","528643","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Philyra","brasiliensis","Philyra brasiliensis","J. W. Ingram","E. Hassler","11839","1913",NA,NA,"South America","Paraguay",NA,NA,"Paraguaria Centralis: prope Sapucay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=134016' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528643",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1015379","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Philyra","brasiliensis","Philyra brasiliensis","J. Külkamp","L. P. de Queiroz","1758","1987","07","21","South America","Brazil","Bahia","Feira de Santana","11 km NW de Jaguara. Fazenda Monte Verde. Floresta estacional.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104987' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015379","Klotzsch","-39.1847","-12.0828","NY01015379_01","320","320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02685264","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Philyra","brasiliensis","Philyra brasiliensis",NA,"Illegible collector name","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2973706' target='other'> <mi>dwc_moreinfo</mi></a>","NY02685264","Klotzsch",NA,NA,"NY02685264_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","798897","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Philyra","brasiliensis","Philyra brasiliensis","J. A. Kallunki","W. W. Thomas","12565","2001","10","23","South America","Brazil","Bahia","Jequié","Serra do Castanhao, 14.5 km S of Jequié on BR 116 to road (at Churrascaria Corujao), then 7.2 km W","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=134021' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798897","Klotzsch","-40.1911","-13.942033","NY00798897_01","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","528640","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Philyra","brasiliensis","Philyra brasiliensis",NA,"G. L. Webster","25536","1986","10","09","South America","Brazil","São Paulo","Jundiaí","Reserva Florestal Ara","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=134023' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528640","Klotzsch","-47.08","-23.05","NY00528640_01","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","528638","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Philyra","brasiliensis","Philyra brasiliensis","K. J. Wurdack","T. S. dos Santos","397","1969","10","02","South America","Brazil","Bahia","Itaju do Colônia","Itajú do Colonia a Santa Cruz da Vitória, 17 km de estrada","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=134018' target='other'> <mi>dwc_moreinfo</mi></a>","NY00528638","Klotzsch","-39.7242","-15.1425","NY00528638_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
