"record_id","modified","institutionCode","collectionCode","catalogNumber","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","basisOfRecord","continentOcean"
"1","2020-07-10 09:48:15-03","MBML","MBML-HERBARIO","49493","Plantae","Orchidaceae","Constantia","rupestris","Constantia rupestris","Barb.Rodr.","D.R. Couto/20-04-2008","D.R. Couto; C.N.Fraga; A.P.Fontana; L.J.C.Kollmann & M.Simoneli","407","2008","01","20","Brasil","Espírito Santo","Alegre","Monte Cristo","-41.386944","-20.688611","41W23'13","20S41'19","321","321","Rupícola no Sol. Flores verdes; labelo branco com lóbulo central amarelo. Vegetando próximo ao cume do Caldani (ca. 900m altitude). Floresceu em cultivo no dia 10.IV.2008.","MBML049493","MBML049493",NA,NA,NA,NA
"2","2020-07-10 09:48:15-03","MBML","MBML-HERBARIO","49896","Plantae","Orchidaceae","Constantia","rupestris","Constantia rupestris","Barb.Rodr.",NA,"N. Sanson",NA,NA,NA,NA,"Brasil","Espírito Santo","Conceição do Castelo",NA,"-41.2439002990723","-20.3682994842529",NA,NA,NA,NA,"Guy Chiron nº 12115","MBML049896","MBML049896","17824","auto",NA,NA
"3","2017-09-11 17:12:19-03","UnB","HBVIRTFLBRAS",NA,"Plantae","Orchidaceae","Sophronitis","rupestris","Sophronitis rupestris","(Barb.Rodr.) Cogn.",NA,"Barbosa Rodrigues, J","s.n.",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Habitat in rupibus aridis et in arboribus ad Serra de Jacarepaguá prov. Rio de Janeiro",NA,NA,NA,NA,NA,NA,"Floret Martio",NA,"P03P5N0070",NA,NA,"O","Southern America"
"4","2017-09-11 17:12:19-03","UnB","HBVIRTFLBRAS",NA,"Plantae","Orchidaceae","Sophronitis","rupestris","Sophronitis rupestris","(Barb.Rodr.) Cogn.",NA,"Barbosa Rodrigues, J","s.n.",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Habitat in rupibus aridis et in arboribus ad Serra de Jacarepaguá prov. Rio de Janeiro",NA,NA,NA,NA,NA,NA,"Floret Martio",NA,"P03P5N0070",NA,NA,"O","Southern America"
