"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","02104229","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.","T. Bochorny","R. Goldenberg","1725","2014","02","16","South America","Brazil","Bahia","Itamarajú","Morro das Antenas (ao lado do Morro do Pescoço)","-39.5975","-16.9889","350","450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2299274' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104229","NY02104229_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00909965","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.",NA,"L. Riedel","I90","1832",NA,NA,"South America","Brazil",NA,NA,"Brasil.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983580' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909965","NY00909965_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02226416","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.",NA,"H. C. de Lima","2981","1987","05","15","South America","Brazil","Espírito Santo","Conceiçao da Barra","Itaúnas","-39.7319","-18.5933",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2498595' target='other'> <mi>dwc_moreinfo</mi></a>","NY02226416","NY02226416_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01081118","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.","J. F. A. Baumgratz","N. T. da Silva","58411","1964","07","13","South America","Brazil","Bahia","Itabuna","Km 80 between Betanha and Canavieiros.","-39.2803","-14.7858",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1219258' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081118","NY01081118_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01081120","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.","J. F. A. Baumgratz","W. A. Ducke","s.n.","1929","01","15","South America","Brazil","Rio de Janeiro",NA,"capoeirão seco entre alto da Bôa Vista e Mesa do Imperador","-43.270611","-22.971697",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1220105' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081120","NY01081120_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00909961","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.",NA,"J. Bowie","121","1814",NA,NA,"South America","Brazil",NA,NA,"Brazil.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983557' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909961","NY00909961_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01081114","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.","J. J. Wurdack","J. P. Lanna Sobrinho","1623","1966","02","08","South America","Brazil","Rio de Janeiro",NA,"Guanabara, Tijuca, Estr. Vista Chinesa","-43.257166","-22.971675",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1219250' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081114","NY01081114_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02840233","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.",NA,"C. Baez","592","2016","07","12","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Trilha para o Morro Queimado, próximo à Pedra da Proa. Parque Nacional da Tijuca","-43.256944","-22.964167",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3136951' target='other'> <mi>dwc_moreinfo</mi></a>","NY02840233","NY02840233_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01081119","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.","J. F. A. Baumgratz","N. D. d. Cruz","87","1964","02","27","South America","Brazil","São Paulo","Ubatuba","no Km 251 da rodovia São Paulo - Ubatuba","-45.0697","-23.4303",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1220102' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081119","NY01081119_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01081112","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.","E. Pereira","A. P. Duarte","8866","1965","02","23","South America","Brazil","Espírito Santo",NA,"de Matheus para Conceição da Barra","-39.797379","-18.651918",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1219244' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081112","NY01081112_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01081116","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.","S. A. Mori","T. Santos","2350","1972","08","10","South America","Brazil","Bahia",NA,"Km 50 da rod Teixeira de Freitas a Caravelas.","-39.584356","-17.565565",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1219254' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081116","NY01081116_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","03257229","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.",NA,"P. Rosa","790","2016","03","23","South America","Brazil","Rio de Janeiro",NA,"Parque Nacional da Tijuca. Trilha para o Mirante da Freira. Area de mata mais baixa, dossel de 5 m e de solo mais seco.","-43.2706","-22.9631","499","499","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3578834' target='other'> <mi>dwc_moreinfo</mi></a>","NY03257229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01081117","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.","Kuhlmann","E. Pereira","62","1942","02","22","South America","Brazil","Rio de Janeiro",NA,"Lagoinha, morro de Três Rios","-43.296197","-22.947319",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1219255' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081117","NY01081117_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00909962","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.","J. F. A. Baumgratz","Collector unknown","1232",NA,NA,NA,"South America","Brazil",NA,NA,"Brazil.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983563' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909962","NY00909962_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01081122","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.",NA,"Martii Herbar. Florae Brasil.","29","1837","10",NA,"South America","Brazil","São Paulo",NA,"Serra do Mar, prov. Sebastianópolis",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1220108' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081122","NY01081122_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1654187","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.","T. Bochorny","M. K. Caddah","838","2011","02","06","South America","Brazil","Espírito Santo","Santa Tereza","Entrada da trilha para o Alto Misterioso. Em frente ao cafezal. Arbustaria.","-40.76863","-19.8038","990",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568312' target='other'> <mi>dwc_moreinfo</mi></a>","NY01654187","NY01654187_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00909963","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.","J. J. Triana","F. Sellow","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"Brazil.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983566' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909963","NY00909963_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","01081113","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.",NA,"Wilkes Expedition","s.n.","1838",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"near Rio Janeiro","-43.448386","-22.913514",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1219247' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081113","NY01081113_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","227687","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.","J. J. Wurdack","W. W. Thomas","11295","1996","11","14","South America","Brazil","Bahia","Porto Seguro","Parque Nacional Monte Pascoal. Trail to peak of Monte Pascoal. Upper slopes and top of Monte Pascoal.","-40.5747","-15.2647","250","536","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=449954' target='other'> <mi>dwc_moreinfo</mi></a>","NY00227687","NY00227687_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","01081124","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.","J. J. Wurdack","G. G. Hatschbach","63018","1995","08","12","South America","Brazil","Bahia","Prado","Prado, km 15-25 da rodovia para Itamaraju","-39.2206","-17.3411",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1220119' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081124","NY01081124_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01081123","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.",NA,"J. B. E. Pohl","4156& 5262","1818","03",NA,"South America","Brazil","Rio de Janeiro",NA,"Circa Rio de Janeiro in monte Corcovado et Taguay.","-43.21","-22.951389",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1220112' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081123","NY01081123_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","01081115","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.","J. J. Wurdack","R. M. Harley","18081","1977","01","18","South America","Brazil","Bahia",NA,"16 km S of Cumuruxatiba on the road to Prado.","-39.25","-17.22",NA,"50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1219253' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081115","NY01081115_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","01081121","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.","L. P. de Queiroz","L. P. de Queiroz","2989","1992","12","22","South America","Brazil","Bahia","Castro Alves","Serra da Jibóia (= Serra da Pioneira).","-39.4719","-12.8531",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1220107' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081121","NY01081121_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-06-29 11:31:21-03","UFRJ","RFA","4333","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.","E. Pereira","E. Pereira","3884","1958","06","17",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Estrada do Cristo Redentor","-43.2075004577637","-22.9027996063232",NA,NA,NA,"Arbusto de flores brancas","RFA25060",NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-06-29 11:31:21-03","UFRJ","RFA","21594","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.","D. Nunes","E.M. Occhioni; C.M. Rizzini 317","496","1986","05","15",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Ilha da Marambaia, caminho entre Praia da base e Praia Grande","-43.2075004577637","-22.9027996063232",NA,NA,NA,"Umbrófila, epifitado por um Polypodium. Arvoreta com 5 m de altura. Copa com ca. de 2 m de diâmetro. Caule e ramos lenticelados, caule com 20 cm de diâmetro. Flores brancas, androceu amarelo na antese. Frutos maduros","RFA38579",NA,"57442","auto","2018","05","15",NA,NA,NA,NA,NA,NA
"26","2020-06-29 11:31:21-03","UFRJ","RFA","7402","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.",NA,"E. Pereira","4507","1959","02","24",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Gávea pequena","-43.2075004577637","-22.9027996063232",NA,NA,NA,"Árvore com flores brancas","RFA26918",NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-06-29 11:31:21-03","UFRJ","RFA","13056","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.","E. Pereira","E. Pereira","8119","1964","06","05",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Restinga de Jacarepaguá","-43.2075004577637","-22.9027996063232",NA,NA,NA,"Pequena árvore de flores brancas, estames amarelo-ouro","RFA12015",NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-06-29 11:31:21-03","UFRJ","RFA","12977","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.","E. Pereira","G. Pabst; E. Pereira","8119","1964","06","05",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Restinga de Jacarepaguá, antigo Aerodromo de Latecoére","-43.2075004577637","-22.9027996063232",NA,NA,NA,"Pequena árvore de flores brancas, estames amarelo-ouro","RFA11993",NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-06-29 11:31:21-03","UFRJ","RFA","11529","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.","E. Pereira","E. Pereira; G. Pabst","8119","1964","06","05",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Restinga de Jacarepaguá, próximo ao Aeródromo Latécoerè","-43.2075004577637","-22.9027996063232",NA,NA,NA,"Pequena árvore, flores brancas, estames amarelo-ouro","RFA11155",NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-30 12:44:23-03","EAO","IAN","137348","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.","Baumgratz, JFA","Castellanos, A","23219","1961","06","20","Southern America","Brasil","Rio de Janeiro",NA,"Guanabara, estrada da Vista Chinesa.",NA,NA,NA,NA,NA,NA,"IAN137348",NA,NA,NA,"1997",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-30 12:44:23-03","EAO","IAN","137349","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Huberia","ovalifolia","Huberia ovalifolia","DC.","Wurdack, JJ","Lanna Sobrinho, JP","122","1962","01","08","Southern America","Brasil","Rio de Janeiro",NA,"Guanabara, estrada da Vista Chinesa.",NA,NA,NA,NA,NA,NA,"IAN137349",NA,NA,NA,"1970","04",NA,NA,NA,NA,NA,NA,NA
