"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","barcode","imagecode","preparationType","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","dayIdentified","relatedCatalogItem","typeStatus","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01788330","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Annona","pickelii","Annona pickelii","(Diels) H.Rainer","P. J. M. Maas","A. P. do N. Prata","2279","2010","07","04","South America","Brazil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto. Borda da Mata.","-37.4372","-11.35175","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2013014' target='other'> <mi>dwc_moreinfo</mi></a>","NY01788330","NY01788330_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02694660","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Annona","pickelii","Annona pickelii","(Diels) H.Rainer","L.A. Gomes","L.A. Gomes","993","2013","01","25","South America","Brazil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto. Borda de mata","-37.424278","-11.378056","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2953065' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694660","NY02694660_01","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01788335","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Annona","pickelii","Annona pickelii","(Diels) H.Rainer","L.A. Gomes","A. P. do N. Prata","2715","2011","08","09","South America","Brazil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto.","-37.4292","-11.4014","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2013011' target='other'> <mi>dwc_moreinfo</mi></a>","NY01788335","NY01788335_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01806433","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Annona","pickelii","Annona pickelii","(Diels) H.Rainer","L.A. Gomes","L.A. Gomes","606","2012","08","14","South America","Brazil","Sergipe",NA,"Santa Luzia do Itanhy, RPPN Mata do Crasto: Borda de mata.","-37.43092118655","-11.396321","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2197080' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806433","NY01806433_01","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","395939","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Rollinia","pickelii","Rollinia pickelii","Diels","R. de Mello-Silva","J. R. Pirani","2653","1993","01","23","South America","Brazil","Sergipe","Santa Luzia do Itanhi","Estancia Santa Luzia a 6 km da cidade na estrada para o Pontal","-37.5","-11.3","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=308543' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395939","NY00395939_01","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","395937","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Rollinia","pickelii","Rollinia pickelii","Diels","P. J. M. Maas","A. M. V. de Carvalho","4327","1993","10","05","South America","Brazil","Sergipe","Santa Luzia do Itanhi","Crasto. Ca. 2 km na estrada Crasto para Sta. Luzia do Itanhi","-37.4481","-11.3508","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=308545' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395937","NY00395937_01","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","395938","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Rollinia","pickelii","Rollinia pickelii","Diels","P. J. M. Maas","A. M. Amorim","1501","1993","11","27","South America","Brazil","Sergipe","Santa Luzia do Itanhi","Cerca de 2,5 km do Distrito de Crasto, na estrada para Sta. Luzia do Itanhi","-37.4481","-11.3508","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=308546' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395938","NY00395938_01","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1738134","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Rollinia","pickelii","Rollinia pickelii","Diels","L.A. Gomes","L.A. Gomes","348","2012","03","16","South America","Brazil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto.","-37.40169","-11.36922","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1965901' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738134","NY01738134_01","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","778618","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Rollinia","pickelii","Rollinia pickelii","Diels","R. de Mello-Silva","R. P. Lyra-Lemos","4317","1999","09","09","South America","Brazil","Alagoas","Campo Alegre","Mata à 2 km da AL na direção da cidade.","-36.3","-9.75","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796466' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778618","NY00778618_01","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","593271","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Rollinia","pickelii","Rollinia pickelii","Diels","K. Almeida","K. Almeida","152","2001","06","21","South America","Brazil","Pernambuco","Sao Lourenço da Mata","Estaçao Ecológica do Tapacurá","-34.95027778","-8.0127778","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=308544' target='other'> <mi>dwc_moreinfo</mi></a>","NY00593271","NY00593271_01","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","02098357","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Rollinia","pickelii","Rollinia pickelii","Diels",NA,"N. T. Amazonas","83","2005","09","27","South America","Brazil","Paraíba","João Pessoa","Bacia Hidrográfica do Rio Timbó.","-34.8630981445312","-7.11499977111816","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2479685' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098357","NY02098357_01","sheet","15975","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","686673","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Rollinia","pickelii","Rollinia pickelii","Diels","P. J. M. Maas","T. M. C. da Silva","17","2000","09","19","South America","Brazil","Pernambuco","Sao Lourenço da Mata","Estação Ecológica do Tapacurá","-34.95027778","-8.0127778","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=838916' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686673","NY00686673_01","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-10-09 11:08:37-03","UFBA","ALCB","026051","PreservedSpecimen","Plantae","Dicotyledon",NA,"Annonaceae","Annona","pickelii","Annona pickelii","(Diels) H.Rainer","Mello-Silva, R de","Guedes, ML","s/n","1994","04",NA,"Southern America","Brasil","Bahia",NA,"Barrolândia",NA,NA,"ca. 4m de altura. Infrutescência imatura.","ALCB004421","ALCB004421",NA,NA,NA,"2002","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-10-09 11:08:37-03","UFBA","ALCB","029533","PreservedSpecimen","Plantae","Dicotyledon",NA,"Annonaceae","Annona","pickelii","Annona pickelii","(Diels) H.Rainer","Mello-Silva, R de","Guedes, ML; Accioly, M","4775","1996","10","28","Southern America","Brasil","Bahia","Cairu","Baixo Sul, Ilha de Tinharé. mata do sertão.","-38.9","-13.366667","ca. 3,0m. Folhas coriáceas, discolores, face abaxial ocrácea. Frutos imaturos verdes. Ocasional.; Solo areno-argiloso.","ALCB004420","ALCB004420",NA,NA,NA,"2002","08","-38.9","-13.366667",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-10-09 11:08:37-03","UFBA","ALCB","032762","PreservedSpecimen","Plantae","Dicotyledon",NA,"Annonaceae","Annona","pickelii","Annona pickelii","(Diels) H.Rainer","Mello-Silva, R de","Jesus, NG de; Lima, SF; Santos, JB dos","PL0117","1997","08","24","Southern America","Brasil","Bahia","Entre Rios","Litoral Norte, RPPN Lontra/Saudade","-38.083333","-11.933333","13,0m x 0,54m. Tronco com casca grossa cinza-escuro, fissuras longitudinais ao longo do caule. Folhas semi-coriáceas, alternas, ovaladas, face abaxial tomentosa ferruginosa, peninérvea. Frutos imaturos verdes. Frequente.","ALCB004511","ALCB004511",NA,NA,NA,"2002","08","-38.083333","-11.933333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-10-09 11:08:37-03","UFBA","ALCB","032769","PreservedSpecimen","Plantae","Dicotyledon",NA,"Annonaceae","Annona","pickelii","Annona pickelii","(Diels) H.Rainer","Mello-Silva, R de","Jesus, NG de; Lima, SF; Santos, JB dos","PL0039","1996","12","19","Southern America","Brasil","Bahia","Entre Rios","Litoral Norte, RPPN Lontra/Saudade","-38.083333","-11.933333","10,50m. CAP 0,42m. Frutos imaturos verdes com manchas verde-claras e marrons, base pilosa.","ALCB004510","ALCB004510",NA,NA,NA,"2002","08","-38.083333","-11.933333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-10-09 11:08:37-03","UFBA","ALCB","032811","PreservedSpecimen","Plantae","Dicotyledon",NA,"Annonaceae","Annona","pickelii","Annona pickelii","(Diels) H.Rainer","Mello-Silva, R de","Fonseca, MR; Orge, MDR; Jesus, NG de","0198","1997","11","22","Southern America","Brasil","Bahia","Entre Rios","Litoral Norte, RPPN Lontra/Saudade","-38.083333","-11.933333","Folhas membranáceas, face abaxial com tomento amarronzado na nervuras. Infrutescência imatura verde e madura amarela, semente negra. Ocasional.","ALCB004507","ALCB004507",NA,NA,NA,"2002","08","-38.083333","-11.933333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-10-09 11:08:37-03","UFBA","ALCB","041279","PreservedSpecimen","Plantae","Dicotyledon",NA,"Annonaceae","Annona","pickelii","Annona pickelii","(Diels) H.Rainer","Mello-Silva, R de","Jesus, NG de; Santos, JB dos; Santana, I; Rezende, J","0609","1998","10","31","Southern America","Brasil","Bahia","Entre Rios","Litoral Norte, RPPN Fazenda Lontra/Saudade","-38.083333","-11.933333","16,50m. CAP 0,24m. Ramos tomentosos ferrugíneos. Folhas simples, alternas, coriáceas, discolores, face abaxial tomentosa ferrugínea. Frutos imaturos verdes.","ALCB004508","ALCB004508",NA,NA,NA,"2002","08","-38.083333","-11.933333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-10-09 11:08:37-03","UFBA","ALCB","041326","PreservedSpecimen","Plantae","Dicotyledon",NA,"Annonaceae","Annona","pickelii","Annona pickelii","(Diels) H.Rainer","Mello-Silva, R de","Orge, MDR; Jesus, NG de; Jorge, AMS; Santos, JB dos","0632","1998","11","01","Southern America","Brasil","Bahia","Entre Rios","Litoral Norte, RPPN Fazenda Lontra/Saudade","-38.083333","-11.933333","16,0m. CAP 0,16m. Folhas simples, alternas, discolores, face adaxial verde-escura e abaxial verde-clara, tomentosa, nervura ferrugínea.","ALCB004422","ALCB004422",NA,NA,NA,NA,NA,"-38.083333","-11.933333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-10-09 11:08:37-03","UFBA","ALCB","048557","PreservedSpecimen","Plantae","Dicotyledon",NA,"Annonaceae","Annona","pickelii","Annona pickelii","(Diels) H.Rainer","Mello-Silva, R de","Ribeiro, T; Fagundes, M; Andrade-Lima, D; Guedes, ML; Fonseca, MR; Jesus, NG de; Saar, E","91","2000","05","09","Southern America","Brasil","Bahia","Esplanada","Litoral Norte, Caminho para Sítio do Conde. Fazenda Chapada","-37.851389","-11.759167","5,0m. Folhas coriáceas, discolores. Flores com pétalas esverdeadas, carnosas. Frutos imaturos verdes, maduros laranja.","ALCB004509","ALCB004509",NA,NA,NA,"2002","08","-37.851389","-11.759167","526","526",NA,NA,NA,NA,NA,NA,NA
"21","2020-02-08 09:38:28-03","NBC","NL-BOTANY","L.4311111","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Annona","pickelii","Annona pickelii","(Diels) H.Rainer","Maas PJM; Maas-van de Kamer H","Prata AP; et al.",NA,"2011","08","09","Southern America","Brazil","Sergipe",NA,"Santa Luzia do Itanhi. RPPN Mata do Crasto, Borda da mata das mangueiras.","-37.429167","-11.401389","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4311111 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4311111","NL-L4311111",NA,NA,NA,"2012","11","-37.429167","-11.401389",NA,NA,"Magnoliopsidae","01",NA,NA,NA,NA,NA
"22","2020-02-08 09:38:28-03","NBC","NL-BOTANY","L.1755233","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Annona","pickelii","Annona pickelii","(Diels) H.Rainer",NA,"Prata AP; et al.",NA,"2010","07","04","Southern America","Brazil","Sergipe",NA,"Santa Luzia do Itanhy, RPPN <ata do Crasto, Borda da Mata.","-37.437222","-11.3675","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1755233 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1755233","NL-L1755233",NA,NA,NA,NA,NA,"-37.437222","-11.3675",NA,NA,"Magnoliopsidae",NA,"L 0932139",NA,NA,NA,NA
"23","2020-02-08 09:42:57-03","NBC","NL-BOTANY","U.1081633","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Rollinia","pickelii","Rollinia pickelii","Diels","Maas PJM","Agra MF",NA,"1987","02","21","Southern America","Brazil","Paraíba",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1081633 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1081633","NL-U1081633",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,"U 0143752",NA,NA,NA,NA
"24","2020-02-08 09:42:57-03","NBC","NL-BOTANY","U.1081634","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Rollinia","pickelii","Rollinia pickelii","Diels","Maas PJM","Agra MF",NA,"1979","06","08","Southern America","Brazil","Paraíba",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1081634 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1081634","NL-U1081634",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,"U 0143751",NA,NA,NA,NA
"25","2020-02-08 09:42:57-03","NBC","NL-BOTANY","U.1081625","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Rollinia","pickelii","Rollinia pickelii","Diels","Maas PJM","Morawetz W; et al.",NA,"1983","09","30","Southern America","Brazil","Pernambuco",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1081625 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1081625","NL-U1081625",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,"U 0143759",NA,NA,NA,NA
"26","2020-02-08 09:42:57-03","NBC","NL-BOTANY","U.1081626","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Rollinia","pickelii","Rollinia pickelii","Diels","Maas PJM","Morawetz W; et al.",NA,"1983","09","30","Southern America","Brazil","Pernambuco",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1081626 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1081626","NL-U1081626",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,"U 0143760",NA,NA,NA,NA
