"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","preparationType","barcode","imagecode","verbatimLongitude","verbatimLatitude","class","typeStatus","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","relatedCatalogItem","sex"
"1","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","561","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","neoglutinosa","Vriesea neoglutinosa","Mez.","Elton. C. M. Leme","2011","08","Brasil","Rio de Janeiro","Rio de Janeiro","Parque Nacional da Tijuca; Morro Queimado, Reserva da FEEMA","-43.2075004577637","-22.9027996063232","57442","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","1183","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","neoglutinosa","Vriesea neoglutinosa","Mez.","Elton C. M. Leme","2007","11","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442","1","254","auto","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","400440","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","glutinosa","Vriesea glutinosa","Lindl.","L. B. Smith",NA,NA,"Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511",NA,NA,"reg. lit. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605318' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"P. K. H. Dusén","17040","1915","05","13","South America","sheet","NY00400440","NY00400440_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","400457","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","glutinosa","Vriesea glutinosa","Lindl.","L. B. Smith",NA,NA,"Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605319' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"P. K. H. Dusén","9809","1910","03",NA,"South America","sheet","NY00400457","NY00400457_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","400438","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","glutinosa","Vriesea glutinosa","Lindl.","L. B. Smith",NA,NA,"Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605317' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"P. K. H. Dusén","s.n.","1914","03","26","South America","sheet","NY00400438","NY00400438_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","400439","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","glutinosa","Vriesea glutinosa","Lindl.","L. B. Smith",NA,NA,"Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605320' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"P. K. H. Dusén","17040B","1916","07","12","South America","sheet","NY00400439","NY00400439_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","400456","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","glutinosa","Vriesea glutinosa","Lindl.","P. K. H. Dusén",NA,NA,"Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605316' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"P. K. H. Dusén","s.n.","1910","01","27","South America","sheet","NY00400456","NY00400456_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","400467","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","neoglutinosa","Vriesea neoglutinosa","Mez","E. M. C. Leme",NA,NA,"Brazil","Bahia","Itacaré","Campo Cheiroso, 14 km north of Serra Grande off the road to Itacaré","-39.07","-14.37",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=213934' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"W. W. Thomas","9504","1992","11","15","South America","sheet","NY00400467","NY00400467_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","400468","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","neoglutinosa","Vriesea neoglutinosa","Mez","E. M. C. Leme",NA,NA,"Brazil","Bahia","Itacaré","Campo Cheiroso, 14 km north of Serra Grande off the road to Itacaré","-39.07","-14.37",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=213935' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"W. W. Thomas","9504","1992","11","15","South America","sheet","NY00400468","NY00400468_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","400466","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","neoglutinosa","Vriesea neoglutinosa","Mez","L. B. Smith",NA,NA,"Brazil","Rio de Janeiro","Cabo Frio","Praia do Pontal, Cabo Frio","-42.0317","-22.9467",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=213937' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"L. B. Smith","6598","1952","04","17","South America","sheet","NY00400466","NY00400466_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
