"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","2649","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","acroconica","Mimosa acroconica","Barneby","isotype","J. R. Pirani","2225","1988","02","12","South America","Brazil","Minas Gerais","Joaquim Felício, Serra do Cabral. Alt. 1000 m.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=490291' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002649","NY00002649_01 NY00002649_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-10-22 10:34:25-03","EPAMIG","PAMG","56799","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Mimosa","acroconica","Mimosa acroconica","Barneby",NA,"G.P.E. Rocha; A. Pafume","234","2012","01","17",NA,"Brasil","Minas Gerais",NA,NA,"Nome popular: Unha-de-gato. Pastagem e Mata de galeria. Arbusto de 1,10 m de altura, cálice branco com ápice vináceo, filetes roxos, anteras amarelas e ramos viscosos. Única",NA,NA,"A.F. Silva","2012","07","05","Paracatu","-46.875278","-17.2225","46° 52' 31W","17° 13' 21S","696","696",NA,NA,NA,NA
"3","2020-12-20 21:17:36-03","UFV","VIC","19930","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","acroconica","Mimosa acroconica","Barneby",NA,"Lobão, A.Q.; et al.","614","2001","07","08",NA,"Brasil","Minas Gerais","Serra do Cabral",NA,"Arbusto, c.a. de 2,0 metros de altura. Acúleos marrons. Folhas discolores verdes. Flores rosas.","VIC019930","VIC019930","Dutra, V.F.","2008","06","26","Joaquim Felício","-44.1721992492676","-17.7574996948242",NA,NA,NA,NA,"37503","auto",NA,NA
"4","2019-08-20 10:14:17-03","UNICAMP","UEC","7193","S","Plantae","Magnoliopsida",NA,"Fabaceae","Mimosa","acroconica","Mimosa acroconica","Barneby",NA,"Gibbs, PE; Kinoshita, LS; Semir, J; Andrade, JB","2372","1976","07","28",NA,"Brazil","Minas Gerais",NA,NA,"Arbusto ereto até 2 metros., flores reseas. (sementes, nódulos coletados, amostra de solo coletada)&nf;Série Asperatae","UEC007413",NA,"Dutra, VF","2008","06","26","Joaquim Felício","-44.1721992492676","-17.7574996948242",NA,NA,NA,NA,"37503","auto",NA,NA
"5","2019-08-20 10:14:17-03","UNICAMP","UEC","7192","S","Plantae","Magnoliopsida",NA,"Fabaceae","Mimosa","acroconica","Mimosa acroconica","Barneby",NA,"Gibbs, PE; Andrade, JB; R, Abbott","5027","1977","05","18",NA,"Brazil","Minas Gerais",NA,NA,"Substrato prostado, capítulo lilás.","UEC007414",NA,"Dutra, VF","2006","10","03","Joaquim Felício","-44.1721992492676","-17.7574996948242",NA,NA,NA,NA,"37503","auto",NA,NA
"6","2020-12-11 11:36:13-03","UFMG","BHCB","34012","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Mimosa","acroconica","Mimosa acroconica","Barneby",NA,"Hatschbach, G; Schinini, A; Silva, JM","64817","1996","04","15","Southern America","Brasil","Minas Gerais","Serra do Cabral",NA,"Arbusto, 2,5m, flor rosada, campo rupestre, solo arenoso, úmido","BHCB004824",NA,NA,"2013","01","21","Joaquim Felício","-44.194083","-17.705889","-44.194083","-17.705889",NA,NA,NA,NA,NA,NA
"7","2012-03-19 13:26:00-03","MO","MOBOT","2922498","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","acroconica","Mimosa acroconica","Barneby",NA,"Gert G. Hatschbach|Aurelio Schinini|J.M. Silva","Hatschbach 64817","1996","4","15","South America","Brazil","Minas Gerais","Serra do Cabral.",NA,NA,NA,NA,"L.M. Borges",NA,NA,NA,"Joaquim Felício","-44.1721992492676","-17.7574996948242",NA,NA,NA,NA,"37503","auto","1",NA
"8","2012-03-19 15:18:00-03","MO","MOBOT","2922371","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","acroconica","Mimosa acroconica","Barneby",NA,"Gert G. Hatschbach|Aurelio Schinini|J.M. Silva","Hatschbach 64817","1996","4","15","South America","Brazil","Minas Gerais","Serra do Cabral.",NA,NA,NA,NA,"L.M.Borges (SPF)",NA,NA,NA,"Joaquim Felício","-44.1721992492676","-17.7574996948242",NA,NA,NA,NA,"37503","auto","1",NA
"9","2020-04-14 11:14:00-03","MO","MOBOT","101190589","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","acroconica","Mimosa acroconica","Barneby","Holotype","José R. Pirani|W. Wayt Thomas|Renato de Mello-Silva|J.B. Fernandes","Pirani 2225","1988","2","12","South America","Brazil","Minas Gerais","Serra do Cabral. Descida da Serra. Campo rupestre.",NA,NA,NA,NA,NA,NA,NA,NA,"Joaquim Felício","-44.2333333","-17.7",NA,NA,"1000.00000000",NA,NA,NA,"1",NA
"10","2020-09-12 05:00:02-03","US","US","3678885","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Mimosa","acroconica","Mimosa acroconica","Barneby",NA,"L. M. Borges, B. Loeuille & M. T. C. Watanabe","656","2012","4","27","South America - Neotropics","Brazil","Minas Gerais","Lassance. Serra do Cabral. Morro do Tigre. Estrada Joaquim Felicio-Varzea da Palma, 26,4 km de Joaquim Felicio; 1 km en ramal a esquerda entre cultivo de Eucalipto.",NA,NA,"US01865144","US01865144_01","Borges, L. M.",NA,NA,NA,NA,"-44.3237","-17.7095","44 19 25.2 W","17 42 34.1 S","1093",NA,NA,NA,"1","Dicotyledonae"
"11","2020-09-02 16:29:01-03","Cenargen","CEN","94347","PreservedSpecimen","Plantae",NA,NA,"Fabaceae Mimosoideae","Mimosa","acroconica","Mimosa acroconica","Barneby",NA,"Leonardo Maurici Borges","656","2012","04","27",NA,"Brasil","MG","Serra do Cabral. Morro do Tigre. Estrada Joaquim Felício-Várzea da Palma, 26,4 km de Joaquim Felício. 1 km em ramal à esquerda entre cultivo de Eucalipto. Próximo a corpo d'água.","Exsicatas","Ramos encurvado-ascendente, esverdeados, parcialmente vináceo. Foliólulos verdes. Acúleos vináceos. Tricomas grandulares amarelados.Corola alva com ápice esverdeado. Filetes róseos. Brácteas florais verdes, vináceas no ápice. Frutos Marrons com indumento pardo. Amostra em sílica (RBdna e/ou SPF). Doação da Universidade de Sâo Paulo - Herbário SPF.","CEN00094347","CEN00094347","L. M. Borges","2012",NA,NA,"LASSANCE","-44.284444","-17.685833","-44.284444","-17.685833","1192","1192",NA,NA,"1",NA
"12","2020-09-02 16:29:01-03","Cenargen","CEN","111756","PreservedSpecimen","Plantae",NA,NA,"Fabaceae Mimosoideae","Mimosa","acroconica","Mimosa acroconica","Barneby",NA,"Gustavo Martinelli","20461","2018","10","23",NA,"Brasil","MG","Parque Nacional Sempre Vivas, trilha entre a Pedra Redonda e Serra do Galho.","Exsicatas","Heliófila, folhas verdes, discolores, folhas verdes concolores, flores de cor rósea, inflorescência jovem de cor verde. Doação Jardim Botânico do Rio de Janeiro - RB 777824","CEN00111756","CEN00111756","L.S. B. Jordão","2019","06",NA,"DIAMANTINA","-42.821111","-15.238888","-42.821111","-15.238888","1800","1800",NA,NA,"1",NA
"13","2020-09-02 16:29:01-03","Cenargen","CEN","94348","PreservedSpecimen","Plantae",NA,NA,"Fabaceae Mimosoideae","Mimosa","acroconica","Mimosa acroconica","Barneby",NA,"Leonardo Maurici Borges","662","2012","04","28",NA,"Brasil","MG","Estrada Joaquim Felício-Várzea da Palma, 21,3 km de Joaquim Felício. Estrada Joaquim Felício - Francisco Dumont, 800m do início da estrada.","Exsicatas","Ramos encurvado-ascendente, esverdeados, parcialmente vináceo. Foliólulos verdes. Acúleos vináceos. Tricomas glandulares amarelados.Corola alva com ápice esverdeado. Filetes róseos. Brácteas florais verdes, vináceas no ápice. Amostra em sílica (RBdna e/ou SPF). Doação da Universidade de Sâo Paulo - Herbário SPF.","CEN00094348","CEN00094348","L. M. Borges","2012",NA,NA,"JOAQUIM FELICIO","-44.284444","-17.685833","-44.284444","-17.685833","1192","1192",NA,NA,"1",NA
"14","2020-09-02 16:29:01-03","Cenargen","CEN","94349","PreservedSpecimen","Plantae",NA,NA,"Fabaceae Mimosoideae","Mimosa","acroconica","Mimosa acroconica","Barneby",NA,"Leonardo Maurici Borges","663","2012","04","28",NA,"Brasil","MG","Estrada Joaquim Felício-Várzea da Palma, 21,3 km de Joaquim Felício. Estrada Joaquim Felício - Francisco Dumont, 11 km do início da estrada, margem direita.","Exsicatas","Ramos esverdeados com acúleos vináceos. Tricomas glandulares vináceos. Foliólulos verdes. Corola creme com ápice vináceo. Filetes vináceos. Amostra em sílica (RBdna e/ou SPF). Doação da Universidade de Sâo Paulo - Herbário SPF.","CEN00094349","CEN00094349","L. M. Borges","2012",NA,NA,"FRANCISCO DUMONT","-44.302777","-17.600833","-44.302777","-17.600833","1098","1098",NA,NA,"1",NA
"15","2019-11-13 11:22:38-03","USP","SPF","203181","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Mimosa","acroconica","Mimosa acroconica","Barneby",NA,"Souza, VC","25638","2001","07","10",NA,"Brasil","Minas Gerais","Serra do Cabral",NA,NA,"SPF00203181",NA,"Borges, LM","2012",NA,NA,"Joaquim Felício","-44.296111","-17.702222","-44.296111","-17.702222","1030","1030",NA,NA,NA,NA
"16","2021-03-15 18:27:54-03","USP","SPF","217707","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Mimosa","acroconica","Mimosa acroconica","Barneby",NA,"Borges, LM","661","2012","04","27",NA,"Brasil","Minas Gerais","Serra do Cabral, Estrada Joaquim Felício#?#Várzea da Palma, 21,3 km de Joaquim Felício. Estrada Joaquim Felício#?#Francisco Dumont, 400 m do início da estrada.",NA,"Arvoreta delgada ca. 3 m alt. Ramos encurvado-ascendentes, esverdeados, parcialmente vináceos. Foliólulos verdes. Acúleos vináceos. Tricomas glandulares amarelados. Corola alva com ápice esverdeado. Filetes róseos. Brácteas verdes co","SPF00217707",NA,"Borges, LM","2012",NA,NA,"Joaquim Felício","-44.285444","-17.690083","-44.285444","-17.690083","1182","1182",NA,NA,NA,NA
"17","2019-11-13 11:22:38-03","USP","SPF","223397","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Mimosa","acroconica","Mimosa acroconica","Barneby",NA,"Borges, LM","663","2012","04","28",NA,"Brasil","Minas Gerais","Serra do Cabral, Estrada Joaquim Felício-Várzea da Palma, 21.3 km de Joaquim Felício. Estrada Joaquim Felício-Francisco Dumont, 11 km do iníco da estrada, margem direita.",NA,NA,"SPF00223397",NA,"Borges, LM","2012",NA,NA,"Francisco Dumont","-44.302786","-17.600847","-44.302786","-17.600847","1098","1098",NA,NA,NA,NA
"18","2019-11-13 11:22:38-03","USP","SPF","223398","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Mimosa","acroconica","Mimosa acroconica","Barneby",NA,"Borges, LM","662","2012","04","27",NA,"Brasil","Minas Gerais","Serra do Cabral, Estrada Joaquim Felício - Várzea da Palma, 21.3 km de Joaquim Felício. Estrada Joaquim Felício - Francisco Dumont, 800 m do início da estrada.",NA,NA,"SPF00223398",NA,"Borges, LM","2012",NA,NA,"Joaquim Felício","-44.284453","-17.685856","-44.284453","-17.685856","1192","1192",NA,NA,NA,NA
