"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","locality","occurrenceRemarks","barcode","continentOcean","county","decimalLongitude","decimalLatitude","coordinatePrecision","imagecode","geoFlag","typeStatus","individualCount","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-08-27 13:31:34-03","IAP","PACA-AGP","97153","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Myrtales","Myrtaceae","Myrcianthes","reptans","Myrcianthes reptans","D. Legrand","A. Sehenm","1979","Sehnem, A.","16443","1979","02","28","Brasil","RS","faz.? N. de Santana da B. Vista","Habitat: in campo reptans","PACA097153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:37:33-03","MBM","MBM","65618","PreservedSpecimen","Plantae",NA,NA,NA,"Myrtaceae","Myrcianthes","reptans","Myrcianthes reptans","D.Legrand","Hatschbach, G.",NA,"Hatschbach, G.","30875","1972","11","29","Brazil","Paraná","Capão da Tabuna",NA,"MBM065618","Southern America","Palmeira","-50.0064010620117","-25.4293994903564","35166","MBM065618","auto",NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:37:42-03","MBM","MBM","4865","PreservedSpecimen","Plantae",NA,NA,NA,"Myrtaceae","Psidium","reptans","Psidium reptans","(D.Legrand) Soares-Silva & Proença","Proença, C.; Soares-Silva, L.H.",NA,"Hatschbach, G.; Fontella, J.P.; Fontella, J.P.","17697","1967","11","05","Brazil","Paraná","Fazenda Santa Amélia","Subarbusto de ramos reptantes. Cálice verde, corola e estames alvos. Gineceu esverdeado.; Campo seco.","MBM004865","Southern America","Palmeira","-50.0064010620117","-25.4293994903564","35166","MBM004865","auto","ISOTYPE",NA,NA,NA,NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","2706062","PreservedSpecimen","Plantae",NA,"Dicotyledonae","Myrtales","Myrtaceae","Myrcianthes","reptans","Myrcianthes reptans","D. Legrand",NA,NA,"G. Hatschbach & J. Fontella","17697","1967","11","5","Paraguay","Alto Paraná","Fazenda Santa Amelia.",NA,"US00288636","South America","Palmeira",NA,NA,NA,"US00288636_01",NA,"Isotype","1",NA,NA,NA,NA,NA
"5","2019-11-01 15:06:58-03","UnB","UB","193618","PreservedSpecimen","Plantae","Dicotyledoneae",NA,NA,"Myrtaceae","Psidium","reptans","Psidium reptans","(D.Legrand) Soares-Silva & Proença","Proença, C","2015","Romão, GO; Dantas, APT","1654","2006","09","07","Brasil","Paraná ","Serra da Bocaina. Acesso pela rodovia Governador José Richa (BR-476), km 70-71 na entrada indicada pela placa para a Fazenda Turbay, a 9km da BR em estrada de terra com acesso a Chácara Serra da Bocaina.","Subarbusto procumbente. 15cm de altura. Frutos verdes.; Campo de altitude com afloramento rochoso, com predomínio de arbustos. Solo arenoso-pedregoso seco.",NA,"Southern America","Bocaiúva do Sul","-49.025833","-25.058611",NA,NA,NA,NA,NA,"08","-49.025833","-25.058611","1400","1400"
