"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","county","class","relatedCatalogItem","monthIdentified","dayIdentified","individualCount","minimumElevationInMeters","fieldNumber","maximumElevationInMeters","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","01142886","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","hispida","Trichilia hispida","Penn.","T. D. Pennington","T. D. Pennington","10062","1976","10","15","South America","Brazil","Amazonas","Rio Javari from Tabatinga","-69.9458688","-4.2425268","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1586928' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142886","NY01142886_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01142887","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","hispida","Trichilia hispida","Penn.","T. D. Pennington","B. A. Krukoff","4863","1933","06","15","South America","Brazil","Amazonas","Near mouth of Rio Embira (tributary of Rio Tarauaca). Lat. 7°30'S, Long. 70°15'W.","-70.25","-7.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1586929' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142887","NY01142887_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2013-07-03 11:13:31-03","EBDA","BAH","4855","S","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.","T.D. Pennington; Styles","Thomas B. Croat","19907","1972","09","01",NA,"Peru",NA,NA,NA,NA,NA,"Slender tree 5m, fruits green.",NA,NA,"1981","Loreto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 10:30:54-03","NBC","NL-BOTANY","L.2162069","PreservedSpecimen","Plantae",NA,"Sapindales","Meliaceae","Trichilia","hispida","Trichilia hispida","T.D.Penn.",NA,"Davidson C; Jones J",NA,"1979","12","06","Southern America","Peru","Loreto","Maynas Iquitos",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2162069 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2162069","NL-L2162069",NA,NA,"Magnoliopsidae","L 0498594",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:30:54-03","NBC","NL-BOTANY","U.1422859","PreservedSpecimen","Plantae",NA,"Sapindales","Meliaceae","Trichilia","hispida","Trichilia hispida","T.D.Penn.",NA,"Croat TB",NA,"1972","09","01","Southern America","Peru",NA,"Loreto, Rio Momon near Rio Nanay.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1422859 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1422859","NL-U1422859",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-26 15:11:06-03","UFPI","TEPB","4494","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","Pennington","Pennington and Styles","Thomas B. Croat","19907","1972","09","01",NA,"Peru","Loreto","Río Momón near Río Nanay",NA,NA,NA,"Slender tree to 5m; fruits green",NA,NA,"1981",NA,NA,NA,"01","01",NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:35:31-03","MBM","MBM","141940","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D.Penn.",NA,"Rimachi, M. .Y.","7710",NA,NA,NA,"Southern America","Peru",NA,NA,NA,NA,NA,NA,"MBM141940","MBM141940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:35:31-03","MBM","MBM","141939","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D.Penn.","McDaniel, S.","Rimachi, M. .Y.","7624",NA,NA,NA,"Southern America","Peru",NA,NA,NA,NA,NA,NA,"MBM141939","MBM141939",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:35:31-03","MBM","MBM","146032","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D.Penn.","Pennington, T.D.","Rimachi, M. .Y.","3164",NA,NA,NA,"Southern America","Peru",NA,NA,NA,NA,NA,NA,"MBM146032","MBM146032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:35:31-03","MBM","MBM","154034","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D.Penn.",NA,"McDaniel, S.; Rimachi, M. .Y.; Rimachi, M. .Y.","27875",NA,NA,NA,"Southern America","Peru",NA,NA,NA,NA,NA,NA,"MBM154034","MBM154034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-12-21 16:35:31-03","MBM","MBM","166727","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D.Penn.",NA,"McDaniel, S.; et al.; et al.","31251",NA,NA,NA,"Southern America","Peru",NA,NA,NA,NA,NA,NA,"MBM166727","MBM166727",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:35:31-03","MBM","MBM","89852","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D.Penn.","Pennington, T.D.","Croat, T.B.","19907",NA,NA,NA,"Southern America","Bolivia",NA,NA,NA,NA,NA,NA,"MBM089852","MBM089852",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2008-05-27 22:02:00-03","MO","MOBOT","2834874","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.","T.D. Pennington","Boris A. Krukoff","Krukoff 4863","1933","6","15","South America","Brazil","Amazonas","Near mouth of Rio Embira (tributary of Rio Tarauaca).","-70.25","-7.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
