"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","infraspecificEpithet","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","777718","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Asterostigma","lividum","Asterostigma lividum","(Lodd.) Engl.","A. C. Cervi","A. C. Cervi","6793","1999","09","02","South America","Brazil","Paraná","Borda do Campo","-49.03","-25.4","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606478' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777718","NY00777718_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","495301","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Asterostigma","lividum","Asterostigma lividum","(Lodd.) Engl.","W. Hoehne","H. Luederwaldt","10704","1909","09",NA,"South America","Brazil","São Paulo","Ypiranga","-46.63","-23.5403","sheet","Cult. no Horto proc. do A. da Serra, Ex. Herv. do Museu Paulista n. 6271 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606479' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495301","NY00495301_01","Sao Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","495304","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Asterostigma","lividum","Asterostigma lividum","(Lodd.) Engl.","T. B. Croat","J. G. Jardim","1254","1998","01","15","South America","Brazil","Bahia","Rod. Almadina/Ibitupa, entrada ca. 5 km w da sede do município. Fazenda Cruzeiro do Sul. Serra do Sete-paus; ca. 8 km da entrada. Area do Inventário Florestal e Fitossociológico","-39.6961","-14.735","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=606477' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495304","NY00495304_01","Almadina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","495302","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Asterostigma","lividum","Asterostigma lividum lividum","(Lodd.) Engl.","R. Reitz","L. B. Smith","8738","1956","12","18","South America","Brazil","Santa Catarina","Near pôrto Uniao on the road to Santa Rosa","-51.0781","-26.2383","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=539794' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495302","NY00495302_01","Pôrto Uniao","lividum","750","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","495303","PreservedSpecimen","Plantae","Magnoliophyta","Alismatales","Araceae","Asterostigma","lividum","Asterostigma lividum lividum","(Lodd.) Engl.","R. Reitz","R. Reitz","2398","1956",NA,NA,"South America","Brazil","Santa Catarina","Guaramirim","-49.0028","-26.4733","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=539793' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495303","NY00495303_01","Guaramirim","lividum","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:29:00-03","UFRJ","RFA","6191","PreservedSpecimen","Plantae",NA,NA,"Araceae","Asterostigma","lividum","Asterostigma lividum","(Lodd.) Engl.","Nadruz","P. Occhioni","1009","1947","07","03",NA,"Brasil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos, km 4","-43.2075004577637","-22.9027996063232",NA,NA,"RFA52320",NA,"Rio de Janeiro",NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:26:23-03","PUCPR","HUCP","10638","S","Plantae","Monocotiledonea",NA,"Araceae","Asterostigma","lividum","Asterostigma lividum","(Lodd.) Engl.","Silva, SM","Bidá, A","s.n.","1993","09","17",NA,"Brasil","Paraná","Campina dos Martins","-49.4103012084961","-25.5930995941162",NA,NA,NA,NA,"Araucária",NA,NA,NA,"21346","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:42:54-03","NBC","NL-BOTANY","WAG.1876836","PreservedSpecimen","Plantae",NA,"Alismatales","Araceae","Asterostigma","lividum","Asterostigma lividum","(Lodd.) Engl.",NA,"Cordeiro J; Silva JM",NA,"1985","09","11","Southern America","Brazil",NA,"Véu de Noiva (mun. Morretes) Paraná.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1876836 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1876836","NL-WAG1876836",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:42:54-03","NBC","NL-BOTANY","U.1104045","PreservedSpecimen","Plantae",NA,"Alismatales","Araceae","Asterostigma","lividum","Asterostigma lividum","(Lodd.) Engl.",NA,"Lindeman JC; Haas JH de",NA,"1967","03","18","Southern America","Brazil",NA,"Brasiliae Australis. Est. Paraná, Fazenda Reserva, c. 85 km SW of Guarapuava, planalto, capão Cachambu N of Rio dos Torres.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1104045 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1104045","NL-U1104045",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:42:54-03","NBC","NL-BOTANY","U.1104046","PreservedSpecimen","Plantae",NA,"Alismatales","Araceae","Asterostigma","lividum","Asterostigma lividum","(Lodd.) Engl.",NA,"Lindeman JC; Haas JH de",NA,"1967","03","18","Southern America","Brazil",NA,"Brasiliae Australis. Est. Paraná, Fazenda Reserva, c. 85 km SW of Guarapuava, planalto, capão Cachambu N of Rio dos Torres.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1104046 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1104046","NL-U1104046",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
