"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","preparationType","continentOcean","verbatimLongitude","verbatimLatitude"
"1","2021-03-01 16:18:54-03","UNICAMP","UEC","185762","S","Plantae","Liliopsida","Amaryllidaceae","Griffinia","hyacinthina","Griffinia hyacinthina","(Ker Gawl.) Ker Gawl.","Campos-Rocha, A","2015","11","04","Campos-Rocha, A","1561","2015","11","04","Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica do Paraíso","-42.9818992614746","-22.5372009277344","21463","herbácea bulbosa, ca. 30 cm de altura; Floresta Ombrofila Densa","UEC109152","UEC109152","auto",NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:18:54-03","UNICAMP","UEC","170487","S","Plantae","Liliopsida","Amaryllidaceae","Griffinia","hyacinthina","Griffinia hyacinthina","(Ker Gawl.) Ker Gawl.",NA,NA,NA,NA,"Dutilh, JHA","s.n.","2008","04","11","Brazil","Rio de Janeiro","Paraty",NA,"-44.7131004333496","-23.2178001403809","34470","Restinga.","UEC010283","UEC010283","auto",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:18:54-03","UNICAMP","UEC","185360","S","Plantae","Liliopsida","Amaryllidaceae","Griffinia","hyacinthina","Griffinia hyacinthina","(Ker Gawl.) Ker Gawl.","Campos-Rocha, A","2015","06",NA,"Bernacci, LC","4790","2009","12","03","Brazil","São Paulo","Campinas","Brasil, São Paulo, Município de Campinas, IAC, Fazenda Santa Elisa - 22.9056N; 47.0608L.","-47.060001373291","-22.8999996185303","23900","Erva bulbosa, ca. 0,3m alt., folhas com nervação reticulada; base da pecíolo vináceo, escapo róseo na base achatado lateralmente com flores brancas, inflorescências rosadas no interior; anteras acinzentadas.","UEC105960","UEC105960","auto","650","650",NA,NA,NA,NA,NA
"4","2019-08-20 09:58:56-03","UNICAMP","UEC","138994","S","Plantae","Liliopsida","Amaryllidaceae","Griffinia","hyacinthina","Griffinia hyacinthina","(Ker Gawl.) Ker Gawl.","Dutilh, JHA","2014","03",NA,"Singer, RB","9904","1999","03","28","Brazil","São Paulo","Ubatuba","Parque Estadual Serra do Mar, Núcleo Picinguaba.","-45.0699996948242","-23.4300003051758","34265",NA,"UEC090275","UEC090275","auto",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:18:54-03","UNICAMP","UEC","173268","S","Plantae","Liliopsida","Amaryllidaceae","Griffinia","hyacinthina","Griffinia hyacinthina","(Ker Gawl.) Ker Gawl.",NA,NA,NA,NA,"Sanchez, M; Pedroni, F","2327","1997","03","12","Brazil","São Paulo","Ubatuba","Picinguaba, 23º 22'S ; 44º 48'W .","-45.0699996948242","-23.4300003051758","34265","Com pétalas brancas com margem lilás.; Mata Atlântica de encosta, margens do Rio da Fazenda.","UEC084307","UEC084307","auto",NA,NA,NA,NA,NA,NA,NA
"6","2019-08-20 09:58:56-03","UNICAMP","UEC","100244","S","Plantae","Liliopsida","Amaryllidaceae","Griffinia","hyacinthina","Griffinia hyacinthina","(Ker Gawl.) Ker Gawl.","Dutilh, JHA","2001","09",NA,"Pansarin, ER; Singer, RB; Castro, CC; Mendonça, TG; Mendonça, NG; Moura, deC","167","1998","03","15","Brazil","São Paulo","Ubatuba","Picinguaba, Trilha do Corisco","-45.0699996948242","-23.4300003051758","34265","flor","UEC090429","UEC090429","auto",NA,NA,NA,NA,NA,NA,NA
"7","2015-09-03 20:13:59-03","MNHN","RECOLNAT_MNHN_P","P02054643","PreservedSpecimen",NA,NA,"Amaryllidaceae","Griffinia","hyacinthina","Griffinia hyacinthina","(Ker Gawl.) Ker Gawl.",NA,NA,NA,NA,"Glaziou",NA,NA,NA,NA,"Brasil",NA,NA,"S. Vicente. Ponta de Taipu.",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02054643' target='other'> <mi>dwc_moreinfo</mi></a>","P02054643","P02054643_01",NA,NA,NA,"3704","hb",NA,NA,NA
"8","2015-09-03 20:13:59-03","MNHN","RECOLNAT_MNHN_P","P02054644","PreservedSpecimen",NA,NA,"Amaryllidaceae","Griffinia","hyacinthina","Griffinia hyacinthina","(Ker Gawl.) Ker Gawl.",NA,NA,NA,NA,"Glaziou, A.",NA,NA,NA,NA,"Brasil",NA,NA,"Brésil.",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02054644' target='other'> <mi>dwc_moreinfo</mi></a>","P02054644","P02054644_01",NA,NA,NA,"6736","hb",NA,NA,NA
"9","2015-09-03 20:13:59-03","MNHN","RECOLNAT_MNHN_P","P02054646","PreservedSpecimen",NA,NA,"Amaryllidaceae","Griffinia","hyacinthina","Griffinia hyacinthina","(Ker Gawl.) Ker Gawl.",NA,NA,NA,NA,"Glaziou, A.",NA,"1888","3","6","Brasil","Rio de Janeiro",NA,"Brésil R.J. Quinta.",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02054646' target='other'> <mi>dwc_moreinfo</mi></a>","P02054646","P02054646_01",NA,NA,NA,NA,"hb",NA,NA,NA
"10","2015-09-03 20:13:59-03","MNHN","RECOLNAT_MNHN_P","P02054645","PreservedSpecimen",NA,NA,"Amaryllidaceae","Griffinia","hyacinthina","Griffinia hyacinthina","(Ker Gawl.) Ker Gawl.",NA,NA,NA,NA,"Glaziou, A.",NA,"1888","3","6","Brasil","Rio de Janeiro","Rio de Janeiro","Quinta. Brésil. R.J.","-43.2075004577637","-22.9027996063232","57442","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02054645' target='other'> <mi>dwc_moreinfo</mi></a>","P02054645","P02054645_01","auto",NA,NA,NA,"hb",NA,NA,NA
"11","2020-12-11 11:43:19-03","UFMG","BHCB","59178","PreservedSpecimen","Plantae","Monocotyledon","Amaryllidaceae","Griffinia","hyacinthina","Griffinia hyacinthina","Ker-Gawl.",NA,"2015","06",NA,"Lombardi, JA","4343","2001","05","02","Brasil","São Paulo","Ubatuba","Núcleo Picinguaba, Trilha Casa da Farinha-Paraty.","-44.836956","-23.3403",NA,"Erva rupícola, carnosa, folhas papiráceas, pecíolo e pedúnculo avermelhados, frutos imaturos verdes.; Mata atlântica de encosta.","BHCB012361","BHCB012361",NA,NA,NA,NA,NA,"Southern America","-44.836956","-23.3403"
"12","2008-05-27 22:02:00-03","MO","MOBOT","3030403","PreservedSpecimen","Plantae",NA,"Amaryllidaceae","Griffinia","hyacinthina","Griffinia hyacinthina",NA,NA,NA,NA,NA,"* SCHWAN","SCHWAN 8","1906","10",NA,"Brazil","São Paulo",NA,"Pirassununga, Exp. do Río Frio.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA
"13","2020-06-17 15:23:53-03","UNESP-RC","HRCB","11519","PreservedSpecimen","Plantae",NA,"Amaryllidaceae","Griffinia","hyacinthina","Griffinia hyacinthina","(Ker Gawl.) Ker Gawl.","Julie Dutilh",NA,NA,NA,"Garcia, F. C. P.",NA,NA,NA,NA,"Brasil","São Paulo","Ubatuba","Picinguaba - Parque Estadual da Serra do Mar","-45.0699996948242","-23.4300003051758","34265",NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA
"14","2020-06-17 15:23:53-03","UNESP-RC","HRCB","10422","PreservedSpecimen","Plantae",NA,"Amaryllidaceae","Griffinia","hyacinthina","Griffinia hyacinthina","(Ker Gawl.) Ker Gawl.","Julie Dutilh",NA,NA,NA,"Garcia, F. C. P.",NA,NA,NA,NA,"Brasil","São Paulo","Ubatuba","Picinguaba","-45.0699996948242","-23.4300003051758","34265",NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA
"15","2020-06-15 15:28:17-03","UNESP-RC","HRCB","8817","PreservedSpecimen","Plantae",NA,"Amaryllidaceae","Griffinia","hyacinthina","Griffinia hyacinthina","(Ker Gawl.) Ker Gawl.","Campos-Rocha, A.",NA,NA,NA,"Ribeiro",NA,NA,NA,NA,"Brasil","São Paulo","Ubatuba","Pincinguaba","-45.0699996948242","-23.4300003051758","34265",NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA
"16","2020-06-15 15:28:17-03","UNESP-RC","HRCB","10001","PreservedSpecimen","Plantae",NA,"Amaryllidaceae","Griffinia","hyacinthina","Griffinia hyacinthina","(Ker Gawl.) Ker Gawl.","J.H.A. Dutilh",NA,NA,NA,"Furlan",NA,NA,NA,NA,"Brasil","São Paulo","Ubatuba","Pincinguaba","-45.0699996948242","-23.4300003051758","34265",NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA
"17","2020-06-15 15:28:17-03","UNESP-RC","HRCB","23859","PreservedSpecimen","Plantae",NA,"Amaryllidaceae","Griffinia","hyacinthina","Griffinia hyacinthina","(Ker Gawl.) Ker Gawl.","Campos-Rocha, A.",NA,NA,NA,"Assis",NA,NA,NA,NA,"Brasil","São Paulo","Ubatuba","Pincinguaba","-45.0699996948242","-23.4300003051758","34265",NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA
"18","2019-01-25 15:33:24-02","IAC","IAC","36315","S","Plantae",NA,"Amaryllidaceae","Griffinia","hyacinthina","Griffinia hyacinthina","Ker Gawl.","A.F.C. Tombolato","1995","03","10","A.F.C. Tombolato","s/nº","1995","03","10","Brasil","Rio de Janeiro","Parati","Condomínio Laranjeiras a 15 km sul de Parati","-44.7131","-23.2178",NA,"No. introd. 17408",NA,NA,NA,NA,NA,NA,NA,NA,"-44.7131","-23.2178"
"19","2019-01-25 15:38:03-02","IAC","IAC","50578","S","Plantae",NA,"Amaryllidaceae","Griffinia","hyacinthina","Griffinia hyacinthina","Ker Gawl.","J.A.M.A. Gomes et al.","2006","12","03","J.A.M.A. Gomes; L.C. Bernacci; O.A. Santos & S. Santos","687","2006","12","03","Brasil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela G (Parque Estadual da Serra do Mar, Núcleo Picinguaba)","-45.080833","-23.373889",NA,"23°22#?#26#?##?#S , 45°04#?#51#?##?#W",NA,NA,NA,NA,NA,NA,NA,NA,"-45.080833","-23.373889"
"20","2017-09-11 17:06:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Amaryllidaceae","Griffinia","hyacinthina","Griffinia hyacinthina","Ker Gawl.",NA,NA,NA,NA,"Pohl, JBE","s.n.",NA,NA,NA,"Brazil",NA,NA,"inter sepes ad Sapativa.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA
"21","2017-09-11 17:06:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Amaryllidaceae","Griffinia","hyacinthina","Griffinia hyacinthina","Ker Gawl.",NA,NA,NA,NA,"?","s.n.",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"in sylvis collinis.; HABITAT: in sylvis collinis.",NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA
"22","2021-01-11 11:19:31-03","IBt","SP","475114","S","Plantae",NA,"Amaryllidaceae","Griffinia","hyacinthina","Griffinia hyacinthina","(Ker Gawl.) Ker Gawl.",NA,NA,NA,NA,"Nicolau, SA","4027","2006","02","25","Brasil","São Paulo","Pindamonhangaba",NA,"-45.4599990844727","-22.9200000762939","24176",NA,NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA
