"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","verbatimLongitude","verbatimLatitude","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1163352","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Bactris","timbuiensis","Bactris timbuiensis","H.Q.B.Fern.","isotype","H. Q. B. Fernandes","2622","1988","11","13","South America","Brazil","Espírito Santo","Santa Teresa","Valao de Sao Lourenço, Estaçao Bioloógica da Caixa D'agua.","-40.609472","-19.9289","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1310167' target='other'> <mi>dwc_moreinfo</mi></a>","NY01163352","NY01163352_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1163353","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Bactris","timbuiensis","Bactris timbuiensis","H.Q.B.Fern.","isotype","H. Q. B. Fernandes","2622","1988","11","13","South America","Brazil","Espírito Santo","Santa Teresa","Valao de Sao Lourenço, Estaçao Bioloógica da Caixa D'agua.","-40.609472","-19.9289","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1310180' target='other'> <mi>dwc_moreinfo</mi></a>","NY01163353","NY01163353_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:55:14-03","JBP","HPL","4224","S","Plantae",NA,NA,"Arecaceae","Bactris","timbuiensis","Bactris timbuiensis","Boudet Fern.",NA,"H. Lorenzi et al.","5098","2005","03","02",NA,"Brasil","ES","Santa Teresa","Coletada na reserva Santa Lúcia, trilha do Sagui, em área de floresta.","-40.6003","-19.9356",NA,NA,NA,NA,"H. Lorenzi","2010","03","15","23813","600","700","auto",NA,NA,NA
"4","2019-02-15 11:33:23-02","IPA","IPA","50932","S","Plantae","Plantae",NA,"Arecaceae","Bactris","timbuiensis","Bactris timbuiensis","Boudet-Fernandes",NA,"Boone, W.","963","1985","12","10","Southern America","Brasil","Espirito Santo","Santa Teresa","Valsugana Velha, local seco em alto de encosta.","-40.6002998352051","-19.9356002807617",NA,"ArbustoCespitoso com 4 ramos, estipe até 18m, 30cm de diâmetro, intervalo entre anéis 1 a 2cm, com acúleos negros no estipe, bainha e peciolo (escassos nesta), espada com acúleos castanhos e marrons, espádia seco ciólfila.; Mata.","IPA0050932",NA,"Fernandes, H.Q.B.","2002","07","25","23813",NA,NA,"auto",NA,NA,NA
"5","2020-09-14 16:46:06-03","MBML","MBML-HERBARIO","1085",NA,"Plantae",NA,NA,"Palmae","Bactris","timbuiensis","Bactris timbuiensis","H.Q.B.Fern.","PARATIPO","H. Q. Boudet Fernandes; W. Boone","2082","1986","12","17",NA,"Brasil","Espírito Santo","Santa Teresa","Valsugana","-40.632778","-19.915",NA,"Arbustiva, cespitosa com poncos estipes, 3m, estipe anelado, 3,0cm X 1m, acúleos negros, folha 2m, raque 1,2m 40 pares de folíolos inseridos no mesmo plano, espádice em decomposição, ciófila, mata, parte superior de encosta (vide xilot","MBML001085","MBML001085_1 MBML001085_2 MBML001085_3 MBML001085_4 MBML001085_5","H. Q. Boudet Fernandes",NA,NA,NA,NA,NA,NA,NA,"40W37'58","19S54'54",NA
"6","2020-07-22 12:15:09-03","MBML","MBML-HERBARIO","12181",NA,"Plantae",NA,NA,"Palmae","Bactris","timbuiensis","Bactris timbuiensis","H.Q.B.Fern.",NA,"V. Demuner; et al","835","2000","03","22",NA,"Brasil","Espírito Santo","Santa Teresa","Mata do Tabajara","-40.556389","-19.951389",NA,"Polanta apresentando caule com 1,5m de altura, 50 pares de foliolos, raque 1,6m, peciolo 0,8m beinha 0,5m, altura total de 3,9m. Frutos imaturos de cor verde, maduros de cor laranja.","MBML012181",NA,"H. Q. Boudet Fernandes/2000",NA,NA,NA,NA,NA,NA,NA,"40W33'23","19S57'5",NA
"7","2020-09-14 16:46:06-03","MBML","MBML-HERBARIO","151",NA,"Plantae",NA,NA,"Palmae","Bactris","timbuiensis","Bactris timbuiensis","H.Q.B.Fern.","PARATIPO","H. Q. Boudet Fernandes; W. Boone","2006","1986","07","03",NA,"Brasil","Espírito Santo","Santa Leopoldina","Cabeceira do Rio Claro (adn em 11/9;2020 - possivelmente a localidade correta é Cabeceira do Rio Bonito - HQBF)","-40.598056","-19.977222",NA,"Arbusto 3m, estéril, estipe cerca de 20cm X3cm, 5 folhas contemporânea erectas 2,6m, raque 1,3m, acúleos finissizos, abundantes na bainha, tornando-se escassos para o ápice, ciófila, mata, encosta, pouco frequente na área percorrida.","MBML000151","MBML000151_1 MBML000151_2 MBML000151_3","H. Q. Boudet Fernandes",NA,NA,NA,NA,NA,NA,NA,"40W35'53","19S58'38",NA
"8","2020-07-10 09:48:40-03","MBML","MBML-HERBARIO","18452",NA,"Plantae",NA,NA,"Palmae","Bactris","timbuiensis","Bactris timbuiensis","H.Q.B.Fern.",NA,"L. Kollmann; et al","5761","2002","11","19",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","Belém","-40.697222","-20.043333",NA,"Estipe 1,80m, na sombra. Frutos verdes.","MBML018452",NA,"L. Kollmann/11-12-2002",NA,NA,NA,NA,NA,NA,NA,"40W41'50","20S2'36",NA
"9","2020-07-10 09:48:40-03","MBML","MBML-HERBARIO","18623",NA,"Plantae",NA,NA,"Palmae","Bactris","timbuiensis","Bactris timbuiensis","H.Q.B.Fern.",NA,"L. Kollmann; et al","5837","2002","12","10",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","Rio das Pedras","-40.725556","-20.069167",NA,"Touceira. estipe 3,8m. Folhas 2m. Frutos verdes.","MBML018623",NA,"H.Q.Boudet Fernandes/I-2004",NA,NA,NA,NA,NA,NA,NA,"40W43'32","20S4'9",NA
"10","2020-07-10 09:48:40-03","MBML","MBML-HERBARIO","19498",NA,"Plantae",NA,NA,"Palmae","Bactris","timbuiensis","Bactris timbuiensis","H.Q.B.Fern.",NA,"R.R. Vervloet; et al","1760","2003","01","31",NA,"Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,"Planta com 3m, frutos imaturos de cor verde, espinhos negros, fundo de vale, beira de córrego, dossel 18m.","MBML019498",NA,"H.Q.B. Fernandes/Nov.2003",NA,NA,NA,NA,NA,NA,NA,"40W33'11","19S54'27",NA
"11","2020-07-10 09:48:40-03","MBML","MBML-HERBARIO","4482",NA,"Plantae",NA,NA,"Palmae","Bactris","timbuiensis","Bactris timbuiensis","H.Q.B.Fern.","PARATIPO","H. Q. Boudet Fernandes","2415","1988","03","21",NA,"Brasil","Espírito Santo","Santa Teresa","Valão de São Lourenço","-40.620556","-19.931111",NA,"Palmeira 8 cespitosa 3m, estipe até 2m X 3cm, frutos verdes, espádice intra folhas secas, folhas 3 contemporâneas por estipe com indumento marrom, sombra, mata rala à margem do córrego.","MBML004482","MBML004482_1 MBML004482_2 MBML004482_3 MBML004482_4 MBML004482_5","H. Q. Boudet Fernandes",NA,NA,NA,NA,NA,NA,NA,"40W37'14","19S55'52","1"
"12","2020-07-10 09:48:40-03","MBML","MBML-HERBARIO","5321",NA,"Plantae",NA,NA,"Palmae","Bactris","timbuiensis","Bactris timbuiensis","H.Q.B.Fern.","PARATIPO","H. Q. Boudet Fernandes","2621","1988","11","13",NA,"Brasil","Espírito Santo","Santa Teresa","Valão de São Lourenço","-40.620556","-19.931111",NA,"Arbustiva 5,5m, caule múltiplo (8) até 4,5m X 3cm, aculeado, parcialmente encoberto por resíduos de bainhas, folha 3 contemporâneas por estipe, arqueada, raque 1,2m, e pecíolo 0,7m, revestidos por indumento castanhos e marrons, flores","MBML005321","MBML005321_1 MBML005321_2 MBML005321_3 MBML005321_4","H. Q. Boudet Fernandes",NA,NA,NA,NA,NA,NA,NA,"40W37'14","19S55'52",NA
"13","2020-07-10 09:48:40-03","MBML","MBML-HERBARIO","5322",NA,"Plantae",NA,NA,"Palmae","Bactris","timbuiensis","Bactris timbuiensis","H.Q.B.Fern.","HOLOTIPO","H. Q. Boudet Fernandes","2622","1988","11","13",NA,"Brasil","Espírito Santo","Santa Teresa","Valão de São Lourenço","-40.620556","-19.931111",NA,"Arbustiva 5m, caule múltiplo (10) até 4m X 2,5cm, aculeado, parcialmente encoberto por resíduos de bainhas, folha: 3 contemporâneas por estipe, arqueada, folíolos inseridos em um plano, raque e pecíolo com indumento castanho acinzentad","MBML005322","MBML005322_1 MBML005322_2 MBML005322_3 MBML005322_4 MBML005322_5 MBML005322_6","H. Q. Boudet Fernandes",NA,NA,NA,NA,NA,NA,NA,"40W37'14","19S55'52","1"
