"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","sex","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","infraspecificEpithet","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","3964","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Cassia","trachypus","Cassia trachypus","Benth.","isotype","G. Gardner","2119","South America","Brazil","Piauí","Oeiras","circa Oeiras","-42.1308","-7.0256","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32534' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003964","NY00003964_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00981691","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","trachypus","Senna trachypus","(Benth.) H.S.Irwin & Barneby",NA,"D. S. D. de Araújo","506","South America","Brazil","Piauí",NA,"Estrada Piracuruca- Buriti dos Lopes",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099565' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981691","NY00981691_01","R. C. Barneby","1973","10","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00981670","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","trachypus","Senna trachypus","(Benth.) H.S.Irwin & Barneby",NA,"G. Eiten","10781","South America","Brazil","Maranhão","Loreto","Ilha de Balsas region between the Balsas & Parnaíba Rivers. 35 km S of Loreto, a few hundred meters WNW of main house of Fazenda Morros, at Alto do Descalvado","-45.07","-7.38","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099591' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981670","NY00981670_01","H. S. Irwin; R. C. Barneby","1970","02","25","350","350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00981669","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","trachypus","Senna trachypus","(Benth.) H.S.Irwin & Barneby",NA,"F. E. Drouet","2433","South America","Brazil","Ceará","Quixadá","About Boa Agua","-39.0153","-4.9717","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099589' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981669","NY00981669_01","H. S. Irwin; R. C. Barneby","1935","09","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00981692","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","trachypus","Senna trachypus","(Benth.) H.S.Irwin & Barneby",NA,"B. D. Sucre","9232","South America","Brazil","Piauí","Buriti dos Lopes","Palmeira","-41.8667","-3.175","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099568' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981692","NY00981692_01","R. C. Barneby","1972","06","22","100","120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00981693","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","trachypus","Senna trachypus","(Benth.) H.S.Irwin & Barneby",NA,"A. Castellanos","573","South America","Brazil","Piauí",NA,"Picos, Oeiras, beira da estrada",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099572' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981693","NY00981693_01","R. C. Barneby","1964","07","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00470056","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","trachypus","Senna trachypus","(Benth.) H.S.Irwin & Barneby",NA,"J. E. R. Collares","195","South America","Brazil","Ceará","Jucás","Estrada Antonina do Norte","-39.55","-6.53","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=134726' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470056","NY00470056_01","R. C. Barneby",NA,NA,NA,"355","355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00470051","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","trachypus","Senna trachypus","(Benth.) H.S.Irwin & Barneby",NA,"M. J. N. Rodal","599","South America","Brazil","Pernambuco","Ibimirim","Estrada Ibimirim-Petrôlandia","-37.6903","-8.5408","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=134722' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470051","NY00470051_01","R. C. Barneby","1995","07","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-27 19:45:00-03","NY","NYBG","00470055","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","trachypus","Senna trachypus",NA,NA,"L. Coradin","5778","South America","Brazil","Bahia","Formosa do Rio Preto","Estrada Barreiras-Correntes, Km 150","-45.23","-10.98","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=134725' target='other'> <mi>dwc_moreinfo</mi></a>","NY00470055","NY00470055_01","R. C. Barneby","1983","06","17","670","670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00981667","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","trachypus","Senna trachypus","(Benth.) H.S.Irwin & Barneby",NA,"P. von Luetzelburg","26755","South America","Brazil","Ceará",NA,"Agreste. Serra do Araripé",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099587' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981667","NY00981667_01","H. S. Irwin; R. C. Barneby","1935","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
