"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","414903","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","pallidum","major","Cyrtopodium pallidum major","Hoehne","F. de Barros","G. G. Hatschbach","43409","1980","11","26","South America","Brazil","Paraná","Jaguariaíva","Fda. Cajuru, Paraná","-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=334540' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414903","NY00414903_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-12-16 12:22:00-02","NY","NYBG","414904","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum",NA,NA,"E. Hassler","4316","1900",NA,NA,"South America","Paraguay",NA,NA,"In regione fluminis Tapiraguay",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605606' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414904","NY00414904_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","414902","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb.f. & Warm.","G. F. J. Pabst","L. B. Smith","13337","1964","11","15","South America","Brazil","Santa Catarina","Abelardo Luz","8-12 km north of Abelardo Luz","-52.33","-26.53","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605605' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414902","NY00414902_01","900","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","414901","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb.f. & Warm.","G. A. Romero","A. M. Amorim","1818","1995","10","28","South America","Brazil","Bahia","Jacobina","Estrada Jacobina/Morro do Chapêu, ca de 24 km a partir de sede do município. Serra de Tombador","-40.5181","-11.1808","sheet","Flores em álcool 70% <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605603' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414901","NY00414901_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","519479","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb.f. & Warm.","G. A. Romero","A. M. Amorim","1818","1995","10","28","South America","Brazil","Bahia","Jacobina","Estrada Jacobina/Morro do Chapêu, ca de 24 km a partir de sede do município. Serra de Tombador","-40.5181","-11.1808","fluid-preserved","Flores em álcool 70% <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605604' target='other'> <mi>dwc_moreinfo</mi></a>","NY00519479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","20131","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb.f. & Warm.","Amaral Jr., A.","Bertoncini, A.P.","449","1994","10","20",NA,"Brasil","São Paulo","Agudos","Cia e cervejaria Brahma",NA,NA,NA,NA,"BOTU020131",NA,NA,NA,"1994","11","17","9999","9999",NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:26:36-03","PUCPR","HUCP","25096","S","Plantae","Monocotiledonea",NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb. f. & Warm.","Caxambu, MG","Caxambu, MG","5660","2014","05","24",NA,"Brasil","Paraná","Tibagi","Sitio Sete Quedas","-50.4136009216309","-24.5093994140625",NA,"Erva heliófita, rupícola. Flores amarelo-avermelhadas, com labelo rosa. Em alforamento arenítico. Relevo: ondulado. Vegetação: Estepe (Campos Gerais).","HUCP00025096","HUCP00025096",NA,NA,"2014","06","10",NA,NA,"56988","auto",NA,NA,NA,NA
"8","2020-02-08 08:46:07-03","NBC","NL-BOTANY","L.1505391","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb.f. & Warm.",NA,"Hatschbach GG",NA,"1962","11","21","Southern America","Brazil",NA,NA,"Est. Parana Mun. Ponta Grossa. Parque Vila Velha, Arroio Quebra Perna.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1505391 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1505391","NL-L1505391",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"9","2020-02-08 08:46:07-03","NBC","NL-BOTANY","U.1457420","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb.f. & Warm.",NA,"Hatschbach GG",NA,"1962","11","21","Southern America","Brazil",NA,NA,"Est. Parana Mun. Ponta Grossa. Parque Vila Velha, Arroio Quebra Perna.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1457420 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1457420","NL-U1457420",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"10","2021-03-31 13:40:49-03","MN","R","220530","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb. f. & Warm.","Pabst, G.F.J.","Silveira, A.A.","2687","1897","11",NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"Comissão Geográfica e Geologica de Minas",NA,NA,NA,NA,"1958","10","05",NA,NA,NA,NA,NA,NA,NA,NA
