"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","typeStatus","minimumElevationInMeters","maximumElevationInMeters","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"1","2021-04-05 14:25:14-03","UNESC","CRI","1986","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","ichthygaster","Croton ichthygaster","L.B.Sm. & Downs","L. B. Smith","R. Reitz; R. M. Klein","1962","02","23","Brasil","Santa Catarina","Porto União","Matos Costa.","-51.078611","-26.238611","51º4'43''W","26º14'19''S","Habito: erva","CRI002391","CRI002391",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","504170","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","ichthygaster","Croton ichthygaster","L.B.Sm. & Downs","L. B. Smith; S. F. Smith","G. G. Hatschbach","1966","10","18","Brazil","Paraná","General Carneiro","Rio Lageado","-51.3156","-26.4275",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355380' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504170","NY00504170_01","Magnoliophyta","Malpighiales","14976","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","262911","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","ichthygaster","Croton ichthygaster","L.B.Sm. & Downs",NA,"L. B. Smith","1957","02","06","Brazil","Santa Catarina",NA,"Mun. Cacador-Joacaba: Campo, eastern edge of the campos of Palmas, W of Cacador",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355381' target='other'> <mi>dwc_moreinfo</mi></a>","NY00262911","NY00262911_01","Magnoliophyta","Malpighiales","10937","South America","sheet","isotype","1000","1200",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:47:59-03","NBC","NL-BOTANY","U.1267629","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","ichthygaster","Croton ichthygaster","L.B.Sm. & Downs",NA,"Hatschbach GG; Lindeman JC; Haas H",NA,NA,NA,"Brazil",NA,NA,"Parana (brasil), Rio Lageado.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1267629 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1267629","NL-U1267629",NA,"Malpighiales",NA,"Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:47:59-03","NBC","NL-BOTANY","WAG.1798225","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","ichthygaster","Croton ichthygaster","L.B.Sm. & Downs",NA,"Hatschbach GG","1966","10","18","Brazil",NA,NA,"Paraná, Mun. Gal. Carneiro: Rio Lageado.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1798225 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1798225","NL-WAG1798225",NA,"Malpighiales",NA,"Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"6","2020-10-14 10:01:22-03","FURB","FURB","18659","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","ichthygaster","Croton ichthygaster","L.B.Sm. & Downs","Sobral, M","Korte, A.; Kruger, A.","2009","11","08","Brasil","Santa Catarina","Alfredo Wagner",NA,"-49.5","-27.63","-49.5000000","-27.6300000","Florística IFFSC p309 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Inicial; interior do fragmento Habito: arbusto;","FURB01553","FURB01553",NA,NA,"20",NA,NA,NA,"635","635",NA,"2010","01","25",NA,NA,NA,NA
"7","2021-03-16 17:53:16-03","UCS","HUCS","46166","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","ichthygaster","Croton ichthygaster","L.B. Sm.","Sobral, M.","Korte, A.","2009","11","08","Brasil","Santa Catarina","Alfredo Wagner",NA,"-49.5","-27.63","-49.5","-27.63","Florística IFFSC p309 (Arbusto)",NA,NA,"Angiospermae","Malpighiales","20",NA,NA,NA,"63","63",NA,"2010","01","25",NA,NA,NA,NA
"8","2020-12-21 16:24:18-03","MBM","MBM","40002","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","ichthygaster","Croton ichthygaster","L.B. Sm. & Downs","Smith, S.F.; L.B.","Hatschbach, G.; Lindeman, J.; Haas, H.; Lindeman, J.; Haas, H.","1966","02","12","Brazil","Paraná","General Carneiro","Rio Lajeado","-51.315601348877","-26.4274997711182",NA,NA,NA,"MBM040002","MBM040002",NA,NA,"13750","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,"33284","auto",NA,NA
"9","2020-12-21 16:24:18-03","MBM","MBM","1859","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","ichthygaster","Croton ichthygaster","L.B. Sm. & Downs","Smith, S.F.; L.B.","Hatschbach, G.","1966","10","18","Brazil","Paraná","General Carneiro","Rio Lajedo","-51.315601348877","-26.4274997711182",NA,NA,NA,"MBM001859","MBM001859",NA,NA,"14976","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,"33284","auto",NA,NA
"10","2015-09-05 09:08:10-03","MNHN","RECOLNAT_MNHN_P","P05534489","PreservedSpecimen",NA,"Euphorbiaceae","Croton","ichthygaster","Croton ichthygaster","L.B.Sm. & Downs",NA,"Hatschbach, g.|Haas, H.|Lindeman, J.","1966","2","12","Brasil","Paraná","General Carneiro","Rio Lageado.","-51.315601348877","-26.4274997711182",NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05534489' target='other'> <mi>dwc_moreinfo</mi></a>","P05534489","P05534489_01",NA,NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA,"33284","auto","13750",NA
