"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","county","locality","decimalLongitude","decimalLatitude","identifiedBy","typeStatus","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:43:11-03","E","E","205528","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus","Atkins, S.; Sakuragui, C.M.; Harley, R.M.; Sano, P.T. & Souza, V.C.","14568","1994","02","25","E. Tropical South America","BR","Bahia","herbarium specimen of unspecif","BGBASE:218494","<a href=http://data.rbge.org.uk/herb/E00205528 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00205528",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:11-03","E","E","205517","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus","Atkins, S.; Sakuragui, C.M.; Harley, R.M.; Sano, P.T. & Souza, V.C.","14569","1994","02","25","E. Tropical South America","BR","Bahia","herbarium specimen of unspecif","BGBASE:218483","<a href=http://data.rbge.org.uk/herb/E00205517 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00205517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","382329","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus spicatus","W. W. Thomas","6108","1988","02","24","South America","Brazil","Espírito Santo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272851' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382329","Magnoliophyta","Sapindales","spicatus","A.St.-Hil.","Guarapari","6 km N of Guarapari. In field on N edge of city.","-40.48","-20.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","67066","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus aracatensis","T. N. Guedes","553","1958","03","27","South America","Brazil","Ceará","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=461119' target='other'> <mi>dwc_moreinfo</mi></a>","NY00067066","Magnoliophyta","Sapindales","aracatensis","Kaastra","Pacatuba","Serra de Aratanha.","-38.6203","-3.9844","R. C. Kaastra","isotype","NY00067066_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02692472","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus","R. C. Forzza","7784","2014","02","14","South America","Brazil","Espírito Santo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2987612' target='other'> <mi>dwc_moreinfo</mi></a>","NY02692472","Magnoliophyta","Sapindales",NA,"A.St.-Hil.","Vila Pavão","Fazenda Rapadura. Inselbergue.","-40.581111","-18.684722",NA,NA,"NY02692472_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","382339","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus spicatus","R. M. Harley","18044","1977","01","17","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272845' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382339","Magnoliophyta","Sapindales","spicatus","A.St.-Hil.",NA,"Between Alcobaça and Caravelas on BA 001 highway. 20 km S of Alcobaça.","-39.23","-17.72","L. A. Skorupa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","382314","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus","B. L. Stannard","H51665","1992","02","28","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32192' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382314","Magnoliophyta","Sapindales",NA,"A.St.-Hil.","Abaíra","Gerais do Pastinho. Beira da estrada.","-41.75","-13.25","J. R. Pirani",NA,"NY00382314_01","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","382320","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus","L. Coradin","6545","1983","07","06","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32199' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382320","Magnoliophyta","Sapindales",NA,"A.St.-Hil.","Boninal","Estrada Boninal - Piata km 4.","-41.83","-13.22","J. A. Kallunki",NA,NA,"1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","634430","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus","W. W. Thomas","11134","1996","03","25","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32197' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634430","Magnoliophyta","Sapindales",NA,"A.St.-Hil.","Itambé","37.5 km west of Itapetinga on BR 415 to Itambé.","-40.5747","-15.2647","J. A. Kallunki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","382331","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus spicatus","W. Hoehne","5982","1964","05","20","South America","Brazil","Rio de Janeiro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272853' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382331","Magnoliophyta","Sapindales","spicatus","A.St.-Hil.","Rio de Janeiro","Estado da Guanabara: Rio de Janeiro, Barra da Tijuca.","-43.369099","-22.995332",NA,NA,"NY00382331_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","382328","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus spicatus","W. W. Thomas","11944","1999","02","02","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272852' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382328","Magnoliophyta","Sapindales","spicatus","A.St.-Hil.","Jussari","Ca. 2.5 km N of Palmira on road connecting Palmira to the Itaju do Colônia-Itapé road, Fazenda Sao Roque (owner Luis Fernando Verde)","-39.5717","-15.1383",NA,NA,NA,"300","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","382330","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus spicatus","T. S. dos Santos","4545","1990","05","23","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272839' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382330","Magnoliophyta","Sapindales","spicatus","A.St.-Hil.","Maraú","Km 60 a 62 na estrada de Ubaitaba para campihos.","-39.0144","-14.1033","J. A. Kallunki",NA,"NY00382330_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","382313","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus longeracemosus","R. M. Harley","19401","1977","03","04","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511838' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382313","Magnoliophyta","Sapindales","longeracemosus","(Mart. ex Engl.) Kaastra","Morro do Chapéu","27.5 km SE of the town of Morro do Chapeu on the BA052 road to Mundo Novo. Disturbed roadside site near small artificial lake and open grazed scrub.","-41.02","-11.65","R. C. Kaastra",NA,NA,"800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","382315","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus","M. Kuhlmann","3825","1956","06","28","South America","Brazil","São Paulo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32201' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382315","Magnoliophyta","Sapindales",NA,"A.St.-Hil.","Ubatuba","Sao Paulo, Ubatuba.","-45.0697","-23.4303","J. A. Kallunki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","632074","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus","R. M. Harley","H51665","1992","02","28","South America","Brazil","Bahia","sheet",NA,"Harley is not on the label, but we can assume he is the collector <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32195' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632074","Magnoliophyta","Sapindales",NA,"A.St.-Hil.","Abaíra","Gerais do Pastinho","-41.75","-13.25","J. R. Pirani",NA,NA,"1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","382322","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus longeracemosus","R. M. Harley","20011","1977","03","25","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511843' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382322","Magnoliophyta","Sapindales","longeracemosus","(Mart. ex Engl.) Kaastra",NA,"Serra do Rio de Contas. 10 km E of Vila do Rio de Contas on the road to Marcolino Moura.","-41.8","-13.58","L. A. Skorupa",NA,"NY00382322_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","382308","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus","J. A. Kallunki","577","1994","02","18","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32208' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382308","Magnoliophyta","Sapindales",NA,"A.St.-Hil.","Itamarajú","Faz. Nova Pau-Brasil located on dirt road turning W at ca. 4 km N of junction of BR-101 and road to Prado at N edge of Itamarajú. Disturbed forest and side of road from fazenda to base of Pedra da Pescoço.","-39.583","-16.958",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","382317","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus","M. C. H. Mamede","237","1990","03","13","South America","Brazil","São Paulo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32200' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382317","Magnoliophyta","Sapindales",NA,"A.St.-Hil.","Iguape","Iguape, Reserva Ecologica da Juréia, trilha em direçao ao Poço.","-47.5497","-24.7003","J. A. Kallunki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
