"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","locality","decimalLongitude","decimalLatitude","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","01252038","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","crassiflora","Pouteria crassiflora","Pires & T.D.Penn.","T. D. Pennington","B. V. Rabelo","3078","1984","12","29","South America","Brazil","Amapá","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1494596' target='other'> <mi>dwc_moreinfo</mi></a>","NY01252038","NY01252038_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01201268","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","crassiflora","Pouteria crassiflora","Pires & T.D.Penn.","T. D. Pennington","J. M. Pires","51387","1961","09","30","South America","Brazil","Amapá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452537' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201268","NY01201268_01",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01201265","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","crassiflora","Pouteria crassiflora","Pires & T.D.Penn.",NA,"J. M. Pires","51481","1961","10","03","South America","Brazil","Amapá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452529' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201265","NY01201265_01",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01201267","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","crassiflora","Pouteria crassiflora","Pires & T.D.Penn.","T. D. Pennington","B. V. Rabelo","3078","1984","12","29","South America","Brazil","Amapá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452536' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201267",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01201264","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","crassiflora","Pouteria crassiflora","Pires & T.D.Penn.",NA,"J. M. Pires","51428","1961","10","01","South America","Brazil","Amapá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452525' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201264","NY01201264_01","Rio Araguari. Vicinity Camp 12.","-52.13","1.18",NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01252042","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","crassiflora","Pouteria crassiflora","Pires & T.D.Penn.","T. D. Pennington","S. A. Mori","17721","1985","01","06","South America","Brazil","Amapá","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1494604' target='other'> <mi>dwc_moreinfo</mi></a>","NY01252042","NY01252042_01 NY01252042_02","Road from Cupixi to rio Vila Nova, 13 km SSW of Cupixi.","-51.87","0.53","Macapá",NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01252040","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","crassiflora","Pouteria crassiflora","Pires & T.D.Penn.","T. D. Pennington","B. V. Rabelo","3222","1985","01","06","South America","Brazil","Amapá","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1494600' target='other'> <mi>dwc_moreinfo</mi></a>","NY01252040","NY01252040_01","Road from Cupixi to rio Vila Nova, 8 km SSW of Cupixi","-51.87","0.53","Macapá",NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01252041","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","crassiflora","Pouteria crassiflora","Pires & T.D.Penn.","T. D. Pennington","B. V. Rabelo","3078","1984","12","29","South America","Brazil","Amapá","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1494601' target='other'> <mi>dwc_moreinfo</mi></a>","NY01252041","NY01252041_01 NY01252041_02",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01201261","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","crassiflora","Pouteria crassiflora","Pires & T.D.Penn.","T. D. Pennington","B. V. Rabelo","3078","1984","12","29","South America","Brazil","Amapá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452512' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201261","NY01201261_01",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01201266","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","crassiflora","Pouteria crassiflora","Pires & T.D.Penn.","T. D. Pennington","S. A. Mori","17721","1985","01","06","South America","Brazil","Amapá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452532' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201266",NA,"Road from Cupixi to rio Vila Nova, 13 km SSW of Cupixi.","-51.87","0.53","Macapá",NA,NA,NA,NA
