"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","coordinatePrecision","geoFlag","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","354955","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo","isotype","G. G. Hatschbach","6682","1960","01","31","South America","Brazil","Paraná","Guaratuba","Serra de Araçatuba.","-48.5744","-25.8831","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=585399' target='other'> <mi>dwc_moreinfo</mi></a>","NY00354955","NY00354955_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","459802","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo",NA,"G. G. Hatschbach","17324","1967","10","05","South America","Brazil","Paraná","Campina Grande do Sul","Pico Caratuva","-48.829656","-25.241299","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=585398' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459802","NY00459802_01","H. H. van der Werff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-02-15 11:40:49-02","IPA","IPA","21675","S","Plantae","Plantae",NA,"Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"Andrade-Lima; Irgang, B.E.; Irgang, B.E.","s.n.","1974","10","28","Southern America","Brasil","Rio Grande do Sul","Butiazal",NA,NA,NA,NA,"Arbusto.","IPA0021675",NA,"Teixeira, B.C.","1980","12","12",NA,NA,NA,NA,NA,NA,NA,NA
"4","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0021739","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"J. M. Silva; H. M. Longhi-Wagner","3942","2004","1","12",NA,"Brazil","Paraná",NA,"Serra do Araçatuba (Mun. Guaratuba) Paraná, Brazil","-48.5667","-25.9",NA,"PMC - DPP 004; Árvore, 5m, flor creme. Matinha nebular.",NA,NA,"H. van der Werff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0021740","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"J. M. Silva; J. Cordeiro","526","1988","4","12",NA,"Brazil","Paraná",NA,"Morro Mãe Catira (mun. Quatro Barras) Paraná, Brazil","-49.0833","-25.3667",NA,"pmc - smma 004; Arbusto 1 m, flor creme. Matinha nebular.",NA,NA,"H. van der Werff",NA,NA,NA,"1300",NA,NA,NA,NA,NA,NA,NA
"6","2020-10-14 10:02:12-03","FURB","FURB","60603","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"Kassner-Filho, A.; Santos, D.; Bollmann, G.; Althoff, L.F.","3493","2018","09","27",NA,"Brasil","Santa Catarina","Apiúna","Faxinalzinho.","-49.3936111","-27.1802778",NA,NA,"FURB60603","FURB60603","Kassner-Filho, A.","2018","09","27","793","-49.3936111","-27.1802778","793",NA,NA,NA,NA
"7","2021-03-16 17:53:04-03","UCS","HUCS","24918","PreservedSpecimen","Plantae","Angiospermae","Lauraceae","Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"Ribas, O.S.","5804","2004","01","16",NA,"Brasil","Paraná","Bocaiuva do Sul","Serra da Bocaina","-49.1150016784668","-25.2061004638672",NA,"arbusto 2 m - flor creme - Herbário MBM; Floresta Ombrófila Densa Altomontana",NA,NA,"Werff, H.","2004",NA,NA,NA,NA,NA,NA,"61623","auto",NA,NA
"8","2019-08-16 08:39:40-03","UTFPR","HCF","15419","S","Plantae",NA,NA,"Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"M.L. Brotto","784","2012","01","07",NA,"Brasil","PR","Guaratuba","Pico Araraquara, Serra de Araraquara","-48.879336","-25.937483",NA,"árvore de 3 m de alt., flores alvas.",NA,NA,"M.L. Brotto","2012","01","07","1100","48°52'45,61 W","25°56'14,94 S","1100",NA,NA,NA,NA
"9","2020-12-21 16:30:44-03","MBM","MBM","293487","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"Ribas, O.S.; Silva, J.M.; Simon, G.F.; Silva, J.M.; Simon, G.F.","5804","2004","01","16","Southern America","Brazil","Paraná","Bocaiúva do Sul","Serra da Bocaina","-49.1150016784668","-25.2061004638672",NA,NA,"MBM293487","MBM293487","Werff, H. van der",NA,NA,NA,NA,NA,NA,NA,"61623","auto",NA,NA
"10","2020-12-21 16:30:44-03","MBM","MBM","23288","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil","ISOTYPE","Hatschbach, G.","6682","1960","01","31","Southern America","Brazil","Paraná","Guaratuba","Serra de Araçatuba","-48.5746994018555","-25.8827991485596",NA,"Arvoreta da matinha nebular, flor creme; Arvoreta, flor creme.; Matinha nebular.","MBM023288","MBM023288","Vattimo, I.",NA,NA,NA,"1350",NA,NA,"1350","41937","auto",NA,NA
