nome_aceito_correto,nomes_originais,elegivel_produto_1,notas_all,cat_ameaca_cr_lac,cat_ameaca_iucn,cat_ameaca_mpo_sp,cat_ameaca_br,cat_ameaca_cncflora,cat_ameaca_sp,cat_ameaca_geral,splink_t20,gbif_t20,splink_rbcv,gbif_rbcv,splink_sp,gbif_sp,sum,especialista
Aphelandra squarrosa,Aphelandra squarrosa,apta,NA,NA,NA,NA,NA,LC,EW,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Justicia genuflexa,Justicia genuflexa,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,VU,NA,NA,entra,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3,FBnao- OCCScruzam
Justicia pygmaea,Justicia catharinensis,apta,Nome original era sinônimo,NA,NA,NA,NA,NT,NA,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Justicia tijucensis,Justicia tijucensis,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,VU,NA,NA,entra,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,FBnao- OCCScruzam
Staurogyne vauthieriana,Staurogyne vauthieriana,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,EN,NA,NA,entra,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3,FBnao- OCCScruzam
Stenostephanus lobeliiformis,Stenostephanus lobeliiformis,apta,NA,NA,NA,NA,NA,DD,NA,entra,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4,NA
Stenandrium dulce,Stenandrium diphyllum-Stenandrium diphyllum,examinar,nome duplicado com critério conflitante na base original/Nome original era sinônimo,NA,NA,NA,NA,LC,EX,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,NA
Ruellia chamaedrys,Ruellia chamaedrys,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,NA,DD,NA,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,FBnao- OCCScruzam
Echinodorus paniculatus,Echinodorus paniculatus,apta,NA,NA,NA,EX,NA,LC,EX,entra,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4,NA
Alstroemeria caryophyllaea,Alstroemeria caryophyllaea,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,EW,EN,NA,EW,entra,TRUE,NA,TRUE,NA,TRUE,NA,3,FBnao- OCCScruzam
Alstroemeria foliosa,Alstroemeria foliosa,apta,NA,NA,NA,NA,NA,NA,EN,entra,TRUE,NA,TRUE,NA,TRUE,NA,3,NA
Alstroemeria plantaginea,Alstroemeria plantaginea,apta,NA,NA,NA,NA,NA,NA,EN,entra,TRUE,NA,TRUE,NA,TRUE,NA,3,NA
Herbstia brasiliana,Herbstia brasiliana,apta,NA,NA,NA,EX,NA,DD,EX,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,NA
Froelichia interrupta,Froelichia interrupta,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,NA,DD,NA,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,FBnao- OCCScruzam
Froelichia procera,Froelichia procera,apta,NA,NA,NA,NA,NA,DD,NA,entra,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4,NA
Alternanthera aquatica,Alternanthera aquatica,apta,NA,NA,NA,NA,NA,NA,VU,entra,TRUE,NA,TRUE,NA,TRUE,NA,3,NA
Alternanthera paronychioides,Alternanthera paronychioides,apta,NA,NA,NA,EX,NA,LC,EX,entra,TRUE,NA,TRUE,NA,TRUE,NA,3,NA
Alternanthera kurtzii,Alternanthera decurrens,apta,Nome original era sinônimo,NA,NA,NA,EN,EN,NA,entra,TRUE,NA,TRUE,NA,TRUE,NA,3,NA
Alternanthera flavescens,Alternanthera flavescens,apta,NA,NA,NA,NA,NA,NA,VU,entra,TRUE,NA,TRUE,NA,TRUE,NA,3,NA
Crinum americanum,Crinum americanum,apta,NA,NA,NA,NA,NA,NA,VU,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Griffinia espiritensis,Griffinia espiritensis,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,EN,NA,NA,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,FBnao- OCCScruzam
Hippeastrum psittacinum,Hippeastrum psittacinum,apta,NA,NA,NA,EN,EN,EN,EN,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,NA
Hippeastrum striatum,Hippeastrum striatum,apta,NA,NA,NA,NA,EN,EN,EN,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Griffinia liboniana,Griffinia liboniana,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,EN,NA,NA,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,FBnao- OCCScruzam
Hippeastrum morelianum,Hippeastrum morelianum,apta,NA,NA,NA,NA,VU,VU,VU,entra,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5,NA
Hippeastrum reginae,Hippeastrum reginae,apta,NA,NA,NA,NA,EN,EN,EN,entra,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,5,NA
Hippeastrum vittatum,Hippeastrum vittatum,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,EN,NA,NA,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,FBnao- OCCScruzam
Worsleya procera,Worsleya procera,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,EN,NA,NA,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,FBnao- OCCScruzam
Zephyranthes candida,Zephyranthes candida,apta,NA,NA,NA,NA,EN,EN,EN,entra,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,4,NA
Zephyranthes blumenavia,Eithea blumenavia,apta,Nome original era sinônimo,NA,NA,NA,EN,EN,EN,entra,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4,NA
Schinus engleri,Schinus engleri,apta,NA,NA,DD,NA,NA,NT,NA,entra,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5,NA
Astronium urundeuva,Astronium urundeuva-Myracrodruon urundeuva,apta,Nome original era sinônimo-NA,NA-NA,DD-NA,NA-NA,NA-NA,NA-LC,NA-NA,entra,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5,NA
Anemia blechnoides,Anemia blechnoides,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,VU,NA,NA,entra,TRUE,NA,FALSE,NA,TRUE,NA,2,FBnao- OCCScruzam
Anemia phyllitidis,Anemia candidoi,apta,Nome original era sinônimo,NA,DD,NA,NA,NA,NA,entra,TRUE,NA,TRUE,NA,TRUE,NA,3,NA
Annona dolabripetala,Annona dolabripetala-Annona neosericea-Annona ubatubensis,apta,Nome original era sinônimo-NA,NA-NA,LC-LR/nt,NA-NA,NA-EN,LC-EN,NA-EN,entra,TRUE,NA,TRUE,NA,TRUE,NA,3,NA
Annona emarginata,Annona emarginata-Annona maritima-Annona neosalicifolia-Annona rugulosa,apta,Nome original era sinônimo-NA,NA-NA-NA,LC-LC-LC,NA-NA-NA,VU-NA-NA,VU-LC-NA,NA-NA-NA,entra,TRUE,NA,TRUE,NA,TRUE,NA,3,NA
Annona parviflora,Annona parviflora,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,EN,NA,NA,entra,TRUE,NA,TRUE,NA,TRUE,NA,3,FBnao- OCCScruzam
Annona xylopiifolia,Annona xylopiifolia,apta,NA,NA,LR/nt,NA,NA,NT,EX,entra,TRUE,NA,TRUE,NA,TRUE,NA,3,NA
Duguetia salicifolia,Duguetia salicifolia,apta,NA,NA,NA,VU,NA,LC,VU,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Trigynaea oblongifolia,Trigynaea oblongifolia,apta,NA,NA,NA,NA,EN,EN,EN,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Xylopia brasiliensis,Xylopia brasiliensis,apta,NA,NA,NA,NA,NA,VU,NA,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Eryngium eurycephalum,Eryngium eurycephalum,apta,NA,NA,NA,NA,NA,NT,NA,entra,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4,NA
Eryngium scirpinum,Eryngium scirpinum,apta,NA,NA,NA,EN,EN,EN,EN,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,NA
Eryngium koehneanum,Eryngium koehneanum,apta,NA,NA,NA,EN,VU,VU,EN,entra,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4,NA
Apium prostratum,Apium prostratum,apta,NA,NA,NA,NA,NA,LC,VU,entra,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,NA
Asclepias aequicornu,Asclepias aequicornu,apta,NA,NA,NA,EN,NA,LC,EN,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,NA
Asclepias langsdorffii,Asclepias langsdorffii-Asclepias langsdorfii,apta,Nome original mal escrito-NA,NA-NA,NA-NA,NA-NA,NA-NA,LC-NA,EX-EX,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,NA
Aspidosperma compactinervium,Aspidosperma compactinervium,apta,NA,NA,DD,NA,NA,NA,NA,entra,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3,NA
Aspidosperma parvifolium,Aspidosperma ingratum,apta,Nome original era sinônimo,NA,DD,NA,NA,NA,NA,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Aspidosperma polyneuron,Aspidosperma polyneuron,apta,NA,NA,EN,NA,NA,NT,NA,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Aspidosperma quirandy,Aspidosperma quirandy,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,NA,NA,EN,entra,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,4,FBnao- OCCScruzam
Aspidosperma riedelii,Aspidosperma riedelii,apta,NA,NA,NA,EN,NA,LC,EN,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Macroditassa marianae,Macroditassa marianae,apta,NA,NA,NA,NA,CR,CR,EN,entra,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,4,NA
Matelea glaziovii,Matelea glaziovii,apta,NA,NA,NA,VU,VU,VU,VU,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Oxypetalum strictum,Oxypetalum strictum,apta,NA,NA,NA,NA,NA,LC,EX,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,NA
Prestonia solanifolia,Prestonia solanifolia,apta,NA,NA,NA,NA,EN,EN,EX,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
