sp,splink_t20,gbif_t20,splink_rbcv,gbif_rbcv,splink_sp,gbif_sp,sum
Abarema acreana,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Abarema brachystachya,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6
Abarema cochliacarpos,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6
Abarema langsdorffii,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6
Abarema villifera,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Abatia angeliana,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2
Abuta selloana,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6
Abutilon anodoides,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Abutilon costicalyx,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6
Abutilon nigricans,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2
Abutilon venosum,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6
Acaena eupatoria,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4
Acalypha brasiliensis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6
Acalypha macrostachya,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6
Acalypha villosa,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4
Acanthocladus brasiliensis,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6
Acanthostachys pitcairnioides,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3
Acanthosyris paulo-alvinii,NA,FALSE,NA,FALSE,NA,FALSE,0
Accara elegans,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
Achatocarpus praecox,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4
Achyrocline eriodes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Acianthera adiri,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Acianthera aphthosa,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4
Acianthera auriculata,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5
Acianthera bragae,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4
Acianthera crinita,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3
Acianthera glumacea,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1
Acianthera guimaraensii,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2
Acianthera heringeri,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Acianthera karlii,FALSE,NA,FALSE,NA,FALSE,NA,0
Acianthera langeana,FALSE,NA,FALSE,NA,FALSE,NA,0
Acianthera ophiantha,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,3
Acianthera papillosa,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Acianthera pectinata,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3
Acianthera pernambucensis,FALSE,NA,FALSE,NA,FALSE,NA,0
Acianthera saundersiana,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6
Acianthera saurocephala,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6
Acianthera strupifolia,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6
Acianthera translucida,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3
Acianthera tricarinata,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6
Acicarpha tribuloides,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3
Acmella pusilla,FALSE,NA,FALSE,NA,FALSE,NA,0
Acmella uliginosa,TRUE,NA,TRUE,NA,TRUE,NA,3
Acritopappus catolesensis,FALSE,NA,FALSE,NA,FALSE,NA,0
Acritopappus connatifolius,FALSE,NA,FALSE,NA,FALSE,NA,0
Acritopappus irwinii,FALSE,NA,FALSE,NA,FALSE,NA,0
Acritopappus pintoi,FALSE,NA,FALSE,NA,FALSE,NA,0
Acroceras excavatum,FALSE,NA,FALSE,NA,TRUE,NA,1
Acroceras zizanioides,TRUE,NA,TRUE,NA,TRUE,NA,3
Acrocomia emensis,FALSE,NA,FALSE,NA,TRUE,NA,1
Acrocomia hassleri,FALSE,NA,FALSE,NA,TRUE,NA,1
Acrostichum aureum,TRUE,NA,TRUE,NA,TRUE,NA,3
Acrostichum danaeifolium,TRUE,NA,TRUE,NA,TRUE,NA,3
Actinocephalus cabralensis,FALSE,NA,FALSE,NA,FALSE,NA,0
Actinocephalus ciliatus,FALSE,NA,FALSE,NA,FALSE,NA,0
Actinocephalus cipoensis,FALSE,NA,FALSE,NA,FALSE,NA,0
Actinocephalus claussenianus,FALSE,NA,FALSE,NA,FALSE,NA,0
Actinocephalus heterotrichus,FALSE,NA,FALSE,NA,FALSE,NA,0
