nome_aceito_correto,nomes_originais,elegivel_produto_1,grupo,familia,genero,epiteto_especifico,nivel_taxonomico,epiteto_infraespecifico,notas_all,fontes,cat_ameaca_cr_lac,cat_ameaca_iucn,cat_ameaca_mpo_sp,cat_ameaca_br,cat_ameaca_cncflora,cat_ameaca_sp,CR,EN,VU,DD,EX,NT,EW,LR,cat_ameaca_geral,splink_t20,gbif_t20,splink_sp,gbif_sp,sum,entra_revisado
Aphelandra espirito-santensis,Aphelandra espirito-santensis,examinar,Angiospermas,Acanthaceae,Aphelandra,espirito-santensis,especie,NA,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,sima-Portaria 443/2014,NA,NA,NA,EN,NA,NA,0,1,0,0,0,0,0,0,1,NA,FALSE,NA,FALSE,0,NA
Aphelandra longiflora,Aphelandra longiflora,apta,Angiospermas,Acanthaceae,Aphelandra,longiflora,especie,NA,NA,sima-cncflora_web,NA,NA,NA,NA,LC,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Aphelandra maximiliana,Aphelandra maximiliana,examinar,Angiospermas,Acanthaceae,Aphelandra,maximiliana,especie,NA,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,sima-Portaria 443/2014,NA,NA,NA,EN,NA,NA,0,1,0,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,NA
Aphelandra prismatica,Aphelandra prismatica,apta,Angiospermas,Acanthaceae,Aphelandra,prismatica,especie,NA,NA,cncflora_web,NA,NA,NA,NA,LC,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Aphelandra schottiana,Aphelandra schottiana,apta,Angiospermas,Acanthaceae,Aphelandra,schottiana,especie,NA,NA,sima-cncflora_web,NA,NA,NA,NA,LC,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Aphelandra squarrosa,Aphelandra squarrosa,apta,Angiospermas,Acanthaceae,Aphelandra,squarrosa,especie,NA,NA,sima-SP_oficial-cncflora_web,NA,NA,NA,NA,LC,EW,0,0,0,0,0,0,1,0,1,TRUE,TRUE,TRUE,TRUE,4,SIM
Dicliptera squarrosa,Dicliptera squarrosa,apta,Angiospermas,Acanthaceae,Dicliptera,squarrosa,especie,NA,NA,sima-cncflora_web,NA,NA,NA,NA,LC,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Dyschoriste lavandulacea,Dyschoriste lavandulacea,examinar,Angiospermas,Acanthaceae,Dyschoriste,lavandulacea,especie,NA,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,sima-Portaria 443/2014,NA,NA,NA,EN,NA,NA,0,1,0,0,0,0,0,0,1,FALSE,FALSE,TRUE,FALSE,1,NA
Justicia brasiliana,Justicia brasiliana,apta,Angiospermas,Acanthaceae,Justicia,brasiliana,especie,NA,NA,sima-cncflora_web,NA,NA,NA,NA,LC,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Justicia genuflexa,Justicia genuflexa,examinar,Angiospermas,Acanthaceae,Justicia,genuflexa,especie,NA,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,sima-Portaria 443/2014,NA,NA,NA,VU,NA,NA,0,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,NAO
